,L,a,b,name
0,61.7,-4.52,-39.18,1
1,81.35,-19.64,-4.3,2
2,51.57,55.2,68.32,3
3,20.54,24.14,-14.33,4
4,81.35,-33.04,4.96,5
5,81.35,14.87,30.96,6
6,61.7,-46.97,64.65,7
7,30.77,47.63,5.24,8
8,41.22,22.15,41.13,9
9,20.54,7.63,-35.92,10
10,20.54,-16.13,-4.67,11
11,81.35,-10.94,87.9,12
12,20.54,-27.79,7.33,13
13,20.54,-9.52,-13.99,14
14,81.35,18.74,-12.74,15
15,81.35,-0.05,0.06,16
16,61.7,46.38,35.47,17
17,20.54,-1.74,11.57,18
18,61.7,-16.81,-28.31,19
19,51.57,-56.86,49.22,20
20,61.7,49.38,2.78,21
21,91.08,-5.25,45.24,22
22,51.57,31.24,-29.94,23
23,30.77,-0.15,26.58,24
24,41.22,-24.01,-14.24,25
25,30.77,7.86,-43.39,26
26,91.08,5.21,7.67,27
27,61.7,40.07,-3.44,28
28,71.6,-41.95,14.43,29
29,51.57,29.45,64.44,30
30,81.35,-18.27,-7.01,31
31,61.7,37.1,-18.34,32
32,71.6,-40.28,53.23,33
33,51.57,-11.88,-38.56,34
34,71.6,38.22,29.22,35
35,20.54,-26.87,1.22,36
36,61.7,2.64,-39.49,37
37,41.22,52.58,-0.05,38
38,41.22,-38.39,31.53,39
39,61.7,-29.22,-21.27,40
40,30.77,52.68,34.06,41
41,61.7,-1.4,71.61,42
42,20.54,0.11,-26.61,43
43,91.08,5.44,1.5,44
44,61.7,-51.58,26.3,45
45,51.57,-0.03,0.04,46
46,20.54,-17.35,7.46,47
47,61.7,14.45,76.93,48
48,71.6,-22.32,-14.67,49
49,20.54,22.74,-16.65,50
50,30.77,9.51,37.16,51
51,91.08,-12.29,10.56,52
52,30.77,46.93,-2.51,53
53,41.22,-33.18,41.15,54
54,61.7,-33.16,-16.42,55
55,81.35,21.06,22.4,56
56,30.77,-22.84,-15.29,57
57,51.57,-0.48,57.27,58
58,81.35,9.68,-11.26,59
59,20.54,-11.72,-12.03,60
60,30.77,46.08,20.6,61
61,61.7,15.28,-29.05,62
62,71.6,32.18,12.57,63
63,41.22,-2.09,-40.81,64
64,51.57,59.69,1.53,65
65,91.08,1.28,14.41,66
66,81.35,-33.8,12.41,67
67,61.7,38.67,-11.63,68
68,41.22,-9.31,43.05,69
69,81.35,5.82,-13.42,70
70,20.54,36.82,3.13,71
71,41.22,-53.43,8.61,72
72,30.77,36.9,-32.14,73
73,81.35,-13.22,-11.59,74
74,20.54,-16.46,11.28,75
75,51.57,40.53,69.04,76
76,51.57,-32.36,-17.71,77
77,81.35,21.03,-9.69,78
78,30.77,-0.02,0.03,79
79,41.22,-10.54,-39.65,80
80,61.7,-30.13,65.11,81
81,71.6,-39.21,-4.56,82
82,91.08,-0.46,29.79,83
83,81.35,22.67,17.48,84
84,51.57,-52.87,15.46,85
85,71.6,38.97,-10.98,86
86,20.54,-4.47,9.36,87
87,41.22,46.93,-24.7,88
88,15.6,-0.02,0.02,89
89,20.54,-15.07,-7.11,90
90,71.6,-24.87,85.15,91
91,91.08,3.14,12.37,92
92,41.22,-21.08,-28.21,93
93,20.54,3.62,11.09,94
94,91.08,-13.24,5.48,95
95,81.35,-3.69,100.18,96
96,30.77,28.36,-39.75,97
97,41.22,61.4,17.92,98
98,71.6,16.13,-17.52,99
99,81.35,-21.19,-1.35,100
100,30.77,46.25,-9.51,101
101,71.6,6.06,-22.71,102
102,41.22,-4.87,43.26,103
103,71.6,-14.22,-19.9,104
104,41.22,36.48,-25.75,105
105,91.08,-12.17,45.9,106
106,91.08,3.36,-4.24,107
107,91.08,-12.69,1.23,108
108,41.22,20.81,-48.05,109
109,71.6,15.62,90.72,110
110,30.77,-13.04,21.97,111
111,51.57,59.79,10.72,112
112,20.54,-0.11,12.03,113
113,30.77,-25.67,-10.89,114
114,30.77,47.34,12.58,115
115,81.35,-10.44,-12.79,116
116,20.54,13.28,18.21,117
117,71.6,40.04,-2.7,118
118,61.7,-51.88,5.51,119
119,91.08,1.12,-5.38,120
120,61.7,49.15,56.82,121
121,41.22,-53.57,23.28,122
122,41.22,-20.46,-17.64,123
123,81.35,-30.49,65.57,124
124,61.7,44.69,79.79,125
125,71.6,32.41,7.97,126
126,20.54,-17.18,-1.47,127
127,81.35,-17.25,87.99,128
128,91.08,5.53,2.22,129
129,30.77,-6.44,26.57,130
130,30.77,39.78,-27.99,131
131,41.22,51.06,58.81,132
132,30.77,-39.62,10.61,133
133,20.54,15.99,14.49,134
134,41.22,49.84,-17.34,135
135,61.7,-36.77,-10.9,136
136,30.77,-23.96,27.29,137
137,71.6,-12.05,-29.46,138
138,81.35,8.19,-12.62,139
139,30.77,-7.86,-33.8,140
140,96.0,-0.06,0.06,141
141,81.35,3.22,-14.27,142
142,71.6,-34.49,79.15,143
143,20.54,23.12,-31.33,144
144,71.6,-41.54,5.41,145
145,71.6,-2.3,85.64,146
146,61.7,-41.11,0.19,147
147,41.22,59.5,30.17,148
148,81.35,-38.45,34.02,149
149,20.54,29.26,-25.01,150
150,71.6,31.7,17.23,151
151,71.6,26.62,-18.32,152
152,61.7,-13.07,-37.55,153
153,41.22,-0.03,0.03,154
154,30.77,3.1,25.71,155
155,41.22,-52.68,3.36,156
156,30.77,13.89,33.8,157
157,91.08,-0.37,-5.58,158
158,81.35,14.98,47.04,159
159,81.35,23.82,2.52,160
160,71.6,-41.85,9.77,161
