complexity,accuracy
0.48079443,0.44486666
0.48079443,0.44486666
0.4807949,0.44486713
0.48079443,0.44486666
0.48079395,0.44486618
0.48079443,0.44486666
0.48079395,0.44486618
0.48079443,0.44486666
0.48079348,0.44486618
0.48079443,0.44486666
0.48079443,0.44486666
0.48079443,0.44486618
0.4804778,0.44461107
0.48047733,0.44461155
0.4804783,0.44461107
0.48047733,0.44461107
0.48047733,0.44461107
0.48047733,0.44461107
0.48047733,0.44461203
0.48047733,0.44461107
0.48047733,0.4446106
0.48047733,0.44461203
0.48047733,0.44461107
0.48047686,0.44461155
0.48080492,0.4448743
0.48080635,0.4448743
0.48080635,0.44487476
0.4808054,0.4448743
0.48080587,0.4448743
0.48080587,0.4448743
0.48080635,0.4448743
0.48080587,0.44487476
0.48080587,0.44487524
0.48080587,0.44487524
0.48080587,0.44487476
0.48080587,0.44487524
0.48084307,0.44490385
0.48084354,0.44490433
0.48084354,0.4449048
0.48084354,0.44490433
0.48084307,0.44490433
0.48084354,0.4449048
0.48084354,0.44490433
0.48084307,0.44490433
0.48084307,0.44490433
0.48084402,0.44490337
0.48084354,0.44490385
0.48084307,0.44490385
0.48083115,0.4448948
0.48083162,0.44489574
0.48083115,0.4448948
0.48083162,0.44489527
0.48083115,0.4448948
0.48083115,0.44489527
0.48083115,0.44489527
0.4808321,0.44489527
0.48083162,0.4448948
0.48083162,0.44489574
0.48083115,0.44489527
0.48083115,0.44489527
0.48078394,0.44485617
0.480783,0.44485712
0.48078346,0.44485617
0.480783,0.44485664
0.48078346,0.44485664
0.480783,0.44485712
0.48078346,0.44485664
0.48078346,0.44485664
0.48078346,0.44485664
0.48078394,0.44485664
0.48078346,0.44485712
0.48078346,0.44485664
0.48084688,0.4449072
0.48084688,0.44490767
0.4808464,0.4449072
0.4808464,0.4449067
0.48084593,0.44490767
0.4808464,0.44490767
0.48084688,0.44490814
0.4808464,0.4449067
0.48084688,0.4449072
0.48084593,0.44490576
0.4808464,0.44490814
0.48084688,0.4449072
0.4807868,0.4448595
0.4807868,0.4448595
0.4807868,0.44485903
0.48078632,0.44485903
0.4807868,0.44485855
0.4807868,0.44485903
0.48078728,0.44485998
0.4807868,0.44485998
0.48078632,0.44485998
0.48078632,0.4448595
0.48078632,0.44485998
0.48078728,0.44485903
