complexity,accuracy
0.8596208,0.73667574
0.85962045,0.73667586
0.85962045,0.7366761
0.8596208,0.736676
0.85962045,0.7366756
0.8596207,0.7366761
0.8596209,0.7366761
0.8596206,0.73667586
0.8596208,0.7366762
0.8596207,0.7366761
0.8596207,0.736676
0.85962033,0.7366761
0.86049795,0.73712146
0.86049795,0.7371216
0.86049795,0.7371218
0.8604977,0.7371216
0.86049783,0.7371218
0.86049783,0.73712146
0.86049783,0.7371218
0.86049783,0.7371216
0.8604977,0.7371218
0.86049783,0.73712194
0.86049783,0.7371218
0.8604977,0.7371218
0.8601264,0.7369219
0.8601265,0.736922
0.8601266,0.7369219
0.8601266,0.73692226
0.8601266,0.7369219
0.8601266,0.7369219
0.8601265,0.7369218
0.8601264,0.736922
0.860127,0.7369218
0.8601265,0.7369218
0.8601265,0.73692214
0.8601266,0.7369218
0.85959697,0.7366642
0.85959685,0.73666406
0.8595971,0.73666406
0.8595971,0.73666406
0.85959685,0.7366638
0.8595971,0.7366642
0.8595967,0.7366637
0.8595967,0.73666406
0.8595971,0.73666406
0.85959685,0.73666394
0.8595967,0.73666406
0.85959697,0.7366642
0.860234,0.73699653
0.86023366,0.7369971
0.8602339,0.7369971
0.860234,0.7369971
0.8602339,0.7369971
0.860234,0.7369971
0.86023366,0.7369971
0.86023355,0.73699665
0.86023414,0.736997
0.86023414,0.7369971
0.8602339,0.7369971
0.86023414,0.736997
0.86001,0.7368679
0.8600099,0.7368679
0.8600097,0.7368679
0.8600099,0.73686755
0.86001,0.73686755
0.86001,0.73686755
0.8600098,0.73686767
0.8600098,0.7368674
0.8600098,0.73686767
0.8600099,0.7368679
0.8600099,0.73686755
0.8600097,0.7368674
0.8596635,0.7366973
0.8596635,0.73669684
0.8596631,0.7366972
0.85966325,0.7366971
0.85966337,0.73669744
0.85966337,0.7366972
0.85966337,0.7366972
0.8596635,0.73669696
0.8596636,0.7366973
0.85966325,0.73669684
0.85966337,0.7366972
0.85966325,0.7366973
0.85898674,0.7363584
0.8589864,0.7363584
0.8589866,0.7363583
0.8589866,0.7363584
0.8589866,0.7363584
0.8589866,0.7363584
0.8589865,0.73635817
0.8589866,0.7363585
0.8589866,0.7363584
0.8589866,0.7363585
0.8589866,0.7363583
0.85898674,0.7363584
