complexity,accuracy
5.258544681417679e-09,2.39455714535634e-11
4.009128690336263e-09,1.8256063532322424e-11
3.5359124942168015e-09,1.610132792470286e-11
2.4237482765371525e-09,1.103717049673791e-11
2.055363906159999e-09,9.359522162004952e-12
1.54898991296687e-09,7.0538656239431e-12
1.1440474563052657e-09,5.209640173912448e-12
1.0765563489406636e-09,4.9026085696289e-12
8.283192686065503e-10,3.7722413983654056e-12
5.276027657962328e-10,2.4032473051813127e-12
3.941012889079491e-10,1.7951928875598395e-12
2.5854810676823674e-10,1.1778935326876061e-12
1.8927705283234948e-10,8.622985371538946e-13
1.273362101848421e-10,5.803245786536684e-13
8.876729489200267e-11,4.04824606883759e-13
5.882772360312874e-11,2.6858456035214104e-13
3.709270705005792e-11,1.6960610258795992e-13
2.605956377193976e-11,1.194662099934372e-13
1.4661194484727014e-11,6.74836967991696e-14
8.064117270126254e-12,3.7404469993958783e-14
4.424045227642027e-12,2.051477420977008e-14
1.9825471350672265e-12,9.46404823516329e-15
9.472654125060478e-13,4.990616114973163e-15
3.282184033801939e-13,1.956160344431014e-15
1.1600510058341282e-13,1.248633401773393e-15
3.269611106787641e-14,9.977514342725575e-16
5.685210875682824e-15,5.38067454173391e-16
4.65467262471307e-16,4.3490555177568824e-16
