complexity,accuracy,distortion,mse,round,trial
0.02013731,0.0002770424,0.13819122,16.465445,0.0,1.0
0.046680927,0.0010514259,0.13741684,16.372047,1.0,1.0
0.07891178,0.001185894,0.13728237,16.355846,2.0,1.0
0.09149361,0.0022244453,0.13624382,16.223452,3.0,1.0
0.14850473,0.0030460358,0.13542223,16.119402,4.0,1.0
0.2155118,0.004769802,0.13369846,15.907928,5.0,1.0
0.28910542,0.00828743,0.13018084,15.482195,6.0,1.0
0.29677725,0.0088095665,0.1296587,15.414896,7.0,1.0
0.38682175,0.012617588,0.12585068,14.954789,8.0,1.0
0.48548174,0.019133568,0.1193347,14.138872,9.0,1.0
0.58399487,0.02330494,0.115163326,13.6101885,10.0,1.0
0.70412064,0.025939465,0.1125288,13.281813,11.0,1.0
0.8179693,0.02598381,0.112484455,13.301697,12.0,1.0
0.7725816,0.02284956,0.115618706,13.703701,13.0,1.0
0.79894495,0.024319172,0.11414909,13.515781,14.0,1.0
0.8147416,0.026159286,0.11230898,13.261623,15.0,1.0
0.9495759,0.030276775,0.10819149,12.778619,16.0,1.0
1.0445852,0.032325268,0.106143,12.549534,17.0,1.0
1.1772494,0.038706303,0.09976196,11.754192,18.0,1.0
1.2168384,0.040088654,0.09837961,11.604859,19.0,1.0
1.2078967,0.04189825,0.096570015,11.346132,20.0,1.0
1.2571826,0.04489994,0.093568325,10.97076,21.0,1.0
1.271522,0.045334816,0.09313345,10.907352,22.0,1.0
1.3105674,0.045276165,0.0931921,10.916022,23.0,1.0
1.3395057,0.045545578,0.09292269,10.906274,24.0,1.0
1.318582,0.03725052,0.10121775,11.985247,25.0,1.0
1.2729502,0.036028385,0.10243988,12.110815,26.0,1.0
1.2898602,0.037291527,0.10117674,11.964983,27.0,1.0
1.3432302,0.033288002,0.10518026,12.517957,28.0,1.0
1.3702722,0.031643867,0.1068244,12.745613,29.0,1.0
1.424993,0.030735016,0.10773325,12.885563,30.0,1.0
1.4521108,0.027847767,0.1106205,13.234997,31.0,1.0
1.522306,0.029633999,0.10883427,13.030864,32.0,1.0
1.466321,0.026873112,0.111595154,13.335798,33.0,1.0
1.4485121,0.026832104,0.11163616,13.317207,34.0,1.0
1.5218172,0.027833462,0.110634804,13.212346,35.0,1.0
1.5050921,0.02838993,0.110078335,13.144675,36.0,1.0
1.382771,0.027432442,0.111035824,13.2111635,37.0,1.0
1.4438672,0.030712605,0.10775566,12.80254,38.0,1.0
1.5278172,0.03452587,0.103942394,12.339625,39.0,1.0
1.5854983,0.037307262,0.101161,12.00928,40.0,1.0
1.5719337,0.03911209,0.099356174,11.767492,41.0,1.0
1.5667305,0.043066025,0.09540224,11.274471,42.0,1.0
1.5974226,0.03907299,0.099395275,11.814533,43.0,1.0
1.6039095,0.03577137,0.102696896,12.220376,44.0,1.0
1.5794773,0.03668499,0.101783276,12.078718,45.0,1.0
1.5310869,0.03245592,0.106012344,12.569686,46.0,1.0
1.6064439,0.027090073,0.11137819,13.308399,47.0,1.0
1.6245589,0.027937412,0.11053085,13.204,48.0,1.0
1.6810837,0.027577877,0.11089039,13.27241,49.0,1.0
1.6460924,0.028542042,0.109926224,13.136133,50.0,1.0
1.673883,0.0316844,0.10678387,12.732376,51.0,1.0
1.7725897,0.030918121,0.107550144,12.88221,52.0,1.0
1.839612,0.032479286,0.10598898,12.717369,53.0,1.0
1.7824993,0.0353384,0.103129864,12.307198,54.0,1.0
1.7622705,0.035630226,0.10283804,12.275342,55.0,1.0
1.7608614,0.03790617,0.100562096,11.970484,56.0,1.0
1.7883544,0.03618002,0.102288246,12.198055,57.0,1.0
1.7892747,0.036902905,0.10156536,12.128809,58.0,1.0
1.7921286,0.035107613,0.10336065,12.373441,59.0,1.0
1.7891364,0.03553629,0.10293198,12.282341,60.0,1.0
1.7986536,0.0333333,0.105134964,12.57205,61.0,1.0
1.7507586,0.03745842,0.101009846,12.00668,62.0,1.0
1.800015,0.046583176,0.09188509,10.8075485,63.0,1.0
1.8354034,0.058138847,0.08032942,9.35263,64.0,1.0
1.7287083,0.04626274,0.092205524,10.868277,65.0,1.0
1.7151947,0.043313503,0.09515476,11.251956,66.0,1.0
1.7241015,0.04552746,0.09294081,10.968785,67.0,1.0
1.7331247,0.047097206,0.09137106,10.78066,68.0,1.0
1.7351141,0.04774618,0.090722084,10.69779,69.0,1.0
1.780098,0.058241367,0.0802269,9.349353,70.0,1.0
1.7626572,0.05597496,0.082493305,9.631325,71.0,1.0
1.7397594,0.051076412,0.08739185,10.275222,72.0,1.0
1.7451925,0.051341057,0.08712721,10.246363,73.0,1.0
1.7969003,0.05585718,0.082611084,9.692672,74.0,1.0
1.7997775,0.059126854,0.07934141,9.257001,75.0,1.0
1.859611,0.06596708,0.07250118,8.410442,76.0,1.0
1.8964801,0.06769323,0.07077503,8.216111,77.0,1.0
1.8797364,0.0652976,0.07317066,8.520868,78.0,1.0
1.951838,0.073018074,0.06545019,7.569544,79.0,1.0
1.9075522,0.07053375,0.06793451,7.853131,80.0,1.0
1.9994912,0.07889223,0.059576035,6.8420925,81.0,1.0
2.0527725,0.08254337,0.055924892,6.420084,82.0,1.0
2.195922,0.09258652,0.04588175,5.2467546,83.0,1.0
2.2161946,0.09495115,0.043517113,4.9627275,84.0,1.0
2.251873,0.09696102,0.041507244,4.7344356,85.0,1.0
2.2657123,0.09697914,0.041489124,4.7373433,86.0,1.0
2.2862525,0.09748793,0.04098034,4.68493,87.0,1.0
2.2260938,0.09438276,0.044085503,5.0321927,88.0,1.0
2.2963777,0.098305225,0.04016304,4.5842867,89.0,1.0
2.317461,0.09849453,0.039973736,4.5669594,90.0,1.0
2.359529,0.09890556,0.039562702,4.5242295,91.0,1.0
2.3507376,0.09885883,0.039609432,4.529773,92.0,1.0
2.3668282,0.098986626,0.03948164,4.5151005,93.0,1.0
2.3955662,0.099522114,0.03894615,4.46,94.0,1.0
2.3860393,0.09943771,0.039030552,4.469644,95.0,1.0
2.3921087,0.09948254,0.03898573,4.4642982,96.0,1.0
2.3955662,0.099522114,0.03894615,4.46,97.0,1.0
2.4077294,0.09969473,0.038773537,4.440604,98.0,1.0
0.004948616,0.0001296997,0.13833857,16.483936,0.0,2.0
0.018349648,0.00019598007,0.13827229,16.478443,1.0,2.0
0.036905766,0.00037574768,0.13809252,16.458372,2.0,2.0
0.055088997,0.0019245148,0.13654375,16.263222,3.0,2.0
0.08022213,0.0021414757,0.13632679,16.238817,4.0,2.0
0.105568886,0.0025758743,0.13589239,16.188206,5.0,2.0
0.12998962,0.0028162003,0.13565207,16.16225,6.0,2.0
0.14638567,0.003941059,0.1345272,16.021524,7.0,2.0
0.15744972,0.0041513443,0.13431692,15.990638,8.0,2.0
0.1798377,0.005218506,0.13324976,15.859844,9.0,2.0
0.21990061,0.007080078,0.13138819,15.61964,10.0,2.0
0.2577982,0.005636692,0.13283157,15.808347,11.0,2.0
0.2960539,0.0052075386,0.13326073,15.870835,12.0,2.0
0.4289422,0.008631706,0.12983656,15.447712,13.0,2.0
0.52390623,0.009177685,0.12929058,15.390102,14.0,2.0
0.52913284,0.01013422,0.12833405,15.243195,15.0,2.0
0.58309364,0.012315273,0.12615299,14.986666,16.0,2.0
0.59650946,0.01133585,0.12713242,15.109222,17.0,2.0
0.57734585,0.010764122,0.12770414,15.161835,18.0,2.0
0.61659575,0.010024548,0.12844372,15.268182,19.0,2.0
0.65354395,0.0105724335,0.12789583,15.188137,20.0,2.0
0.8462286,0.012359619,0.12610865,14.958888,21.0,2.0
0.7674074,0.010335922,0.12813234,15.226522,22.0,2.0
0.82246923,0.012116432,0.12635183,14.996735,23.0,2.0
0.88327694,0.01525116,0.123217106,14.6158695,24.0,2.0
0.89511585,0.01642847,0.122039795,14.477089,25.0,2.0
