complexity,accuracy
2.3599093,1.1571302
2.3599093,1.1571307
2.3599095,1.1571302
2.3599093,1.1571293
2.3599093,1.1571293
2.35991,1.1571298
2.359909,1.1571302
2.3599093,1.1571302
2.3599093,1.1571302
2.3599093,1.1571293
2.3599093,1.1571302
2.359909,1.1571302
1.789041,1.0700884
1.789041,1.0700879
1.789041,1.0700884
1.789041,1.0700879
1.7890406,1.0700879
1.789041,1.0700879
1.789041,1.0700874
1.7890406,1.0700884
1.789041,1.0700874
1.789041,1.0700884
1.789041,1.0700879
1.789041,1.0700874
2.0035448,0.8079181
2.0035453,0.8079181
2.0035448,0.8079176
2.0035453,0.80791855
2.0035453,0.8079176
2.0035453,0.8079181
2.0035448,0.8079176
2.0035453,0.8079176
2.0035448,0.8079176
2.0035453,0.8079181
2.0035453,0.8079181
2.0035448,0.80791664
2.5219283,1.3231034
2.5219283,1.323103
2.5219278,1.323103
2.5219283,1.323103
2.5219283,1.323103
2.5219283,1.3231034
2.5219278,1.323103
2.5219283,1.3231039
2.5219283,1.323103
2.5219276,1.323103
2.5219278,1.323103
2.5219278,1.323103
2.5950475,1.2952185
2.5950475,1.2952185
2.5950477,1.2952185
2.595048,1.2952185
2.5950475,1.2952185
2.5950477,1.295218
2.5950482,1.295218
2.595048,1.295218
2.595048,1.2952175
2.5950477,1.295218
2.5950475,1.2952185
2.5950477,1.2952185
2.0371156,1.0177236
2.037115,1.0177236
2.0371156,1.0177236
2.037116,1.0177231
2.037116,1.0177236
2.0371156,1.0177231
2.0371156,1.0177231
2.037115,1.0177245
2.0371156,1.0177236
2.0371156,1.0177236
2.0371156,1.0177236
2.0371156,1.0177231
2.3219278,1.1758056
2.3219278,1.175806
2.321928,1.1758065
2.321928,1.1758056
2.321928,1.1758065
2.3219285,1.175806
2.321928,1.175806
2.321928,1.1758065
2.321928,1.175806
2.321928,1.175806
2.321928,1.1758065
2.321928,1.1758056
2.4028676,1.247036
2.4028676,1.2470355
2.4028673,1.247036
2.4028673,1.2470365
2.4028676,1.2470365
2.4028676,1.247036
2.4028673,1.247036
2.4028678,1.2470355
2.4028676,1.2470355
2.4028676,1.2470355
2.4028673,1.2470355
2.4028673,1.247036
