complexity,accuracy
1.3599076,1.167521
1.3598766,1.1674967
1.3600674,1.1676197
1.3586359,1.166688
1.3592381,1.1670756
1.3593221,1.1671305
1.3592949,1.1671124
1.3588371,1.16682
1.3589354,1.1668715
1.359622,1.1673212
1.359098,1.1669812
1.3586817,1.166718
1.3590236,1.1669393
1.3593512,1.1671538
1.3573775,1.1658678
1.3595843,1.1673093
1.3591428,1.1670108
1.3597355,1.1674094
1.3594613,1.1672297
1.3602662,1.1677518
1.3602691,1.1677566
1.3594499,1.167212
1.3601689,1.1676888
1.3591628,1.1670294
1.3597484,1.1674156
1.359488,1.1672468
1.3579445,1.1662383
1.357718,1.1660943
1.3590126,1.1669316
1.3601599,1.1676836
1.3592052,1.1670551
1.3602719,1.1677575
1.35992,1.1675296
1.3581977,1.1664028
1.3588257,1.1668053
1.359343,1.1671362
1.3592963,1.1671085
1.3600821,1.1676297
1.3597207,1.1673956
1.3594165,1.1671948
1.3585238,1.1666155
1.3596878,1.1673775
1.3581867,1.1663952
1.3595023,1.1672511
1.3592944,1.1671104
1.3588305,1.1668062
1.3578591,1.1661863
1.3596535,1.1673517
1.3591471,1.1670246
1.3596473,1.1673498
1.3583527,1.1665039
1.3591743,1.1670303
1.3598747,1.1674957
1.3587122,1.166739
1.3595982,1.1673112
1.3591547,1.1670227
1.3588467,1.1668267
1.3589306,1.1668706
1.3591523,1.1670303
1.3584213,1.1665483
1.3590302,1.1669483
1.358748,1.1667609
1.3557324,1.1647954
1.3594742,1.1672368
1.3591075,1.1669946
1.3569646,1.1656036
1.3600035,1.1675816
1.3571033,1.1656876
1.3602557,1.1677451
1.3586841,1.1667204
1.3593416,1.1671433
1.3592062,1.1670485
1.3601494,1.167675
1.3593063,1.1671147
1.358881,1.1668491
1.3592939,1.1671104
1.3575392,1.165976
1.3559971,1.1649723
1.3592706,1.1670966
1.3551793,1.1644368
1.3593187,1.1671324
1.3592486,1.1670837
1.359458,1.1672192
1.3562336,1.1651216
1.3601165,1.167656
1.3597789,1.1674323
1.3588142,1.1668019
1.3588161,1.1668057
1.3592515,1.1670794
1.3561225,1.1650496
1.3592854,1.1671076
1.3593097,1.1671185
1.3545246,1.1640072
1.3571286,1.165709
1.3601618,1.1676855
1.35883,1.1668143
1.358994,1.1669102
1.3597803,1.1674347
1.3558211,1.164856
1.3592458,1.1670837
