complexity,accuracy
1.926085,1.4985108
1.9387345,1.5043116
1.9322586,1.500689
1.9387345,1.5043111
1.9317145,1.5004454
1.9387083,1.5043006
1.9387245,1.5043082
1.9515018,1.5101724
1.9519839,1.510375
1.9384508,1.5041695
1.9255924,1.497695
1.951582,1.5102053
1.9523482,1.5105252
1.9517837,1.5102887
1.9516382,1.5102301
1.9516339,1.5102282
1.938695,1.5042944
1.931911,1.5005293
1.9517307,1.5102692
1.9387474,1.5043135
1.9516516,1.5102344
1.9516096,1.5102177
1.9387121,1.504302
1.9516234,1.5102239
1.9160914,1.4931479
1.9516025,1.5102148
1.938704,1.5042987
1.9317241,1.5004482
1.952455,1.5105724
1.9517012,1.5102563
1.9516807,1.5102472
1.9514198,1.5101376
1.9319592,1.5005589
1.9516177,1.51022
1.9388866,1.5043683
1.9519086,1.5103445
1.9516549,1.5102363
1.9314532,1.500329
1.9387693,1.5043259
1.9515786,1.5102048
1.9387355,1.5043116
1.9513531,1.510108
1.9386954,1.5042949
1.9515691,1.5102
1.952065,1.5104094
1.9388561,1.5043631
1.938705,1.5042992
1.9384556,1.5041938
1.9518609,1.5103192
1.9515896,1.5102081
1.9516444,1.5102301
1.9516807,1.5102477
1.9516959,1.5102534
1.9522152,1.510448
1.938673,1.5042849
1.9387107,1.504302
1.9517965,1.5102963
1.9501958,1.5096045
1.9518499,1.5103188
1.9393926,1.5046234
1.9257112,1.4983406
1.9327621,1.5015745
1.9496174,1.5093446
1.9387159,1.5043035
1.916903,1.4935246
1.9387507,1.5043187
1.9299049,1.4995966
1.9462543,1.5078168
1.9170098,1.4935694
1.9518924,1.5103369
1.9389176,1.5043879
1.9388003,1.5043387
1.9388204,1.5043254
1.951653,1.5102358
1.9427023,1.5058236
1.9387264,1.5043039
1.9257107,1.4983401
1.9169474,1.493547
1.9405851,1.505188
1.9320898,1.5013089
1.9078674,1.4893355
1.9518294,1.5103106
1.9516697,1.5102429
1.9516535,1.5102363
1.9309602,1.5001006
1.938776,1.5043297
1.9518051,1.5102935
1.9278564,1.4992666
1.9521413,1.510438
1.9251828,1.4980779
1.9380374,1.5040092
1.9405127,1.5050583
1.9385314,1.5042248
1.9479976,1.5086021
1.9261394,1.4985256
1.9249287,1.4973583
1.9251404,1.4976273
1.9314046,1.5003023
1.9452314,1.5073452
1.9378543,1.5037899
