complexity,accuracy,distortion,mse,round,trial
0.018498898,0.0070996284,1.9049282,16.431767,0.0,1.0
0.0498209,0.01691866,1.8951092,16.386936,1.0,1.0
0.0848856,0.030137539,1.8818903,16.30066,2.0,1.0
0.10812616,0.035749912,1.8762779,16.319496,3.0,1.0
0.121881485,0.037495613,1.8745322,16.376492,4.0,1.0
0.12875032,0.041270256,1.8707576,16.347744,5.0,1.0
0.17019987,0.057487965,1.8545399,16.331982,6.0,1.0
0.21134281,0.08135462,1.8306732,16.166918,7.0,1.0
0.24389172,0.09327221,1.8187556,16.156012,8.0,1.0
0.29865026,0.12725782,1.78477,15.917761,9.0,1.0
0.45755243,0.18230104,1.7297268,15.729855,10.0,1.0
0.455616,0.16765594,1.7443719,15.732019,11.0,1.0
0.49705887,0.18378925,1.7282386,15.630336,12.0,1.0
0.62554026,0.23579264,1.6762352,15.604757,13.0,1.0
0.6834092,0.2895341,1.6224937,15.566305,14.0,1.0
0.67732,0.26775503,1.6442728,15.570324,15.0,1.0
0.6954098,0.2820692,1.6299586,15.1581335,16.0,1.0
0.7032118,0.28517103,1.6268568,15.062685,17.0,1.0
0.6969328,0.29341412,1.6186137,14.84913,18.0,1.0
0.6599655,0.27781057,1.6342173,15.236888,19.0,1.0
0.6927872,0.29965973,1.6123681,14.83765,20.0,1.0
0.7098217,0.30748558,1.6045423,14.99155,21.0,1.0
0.79201794,0.33362722,1.5784006,14.773156,22.0,1.0
0.8287926,0.35195827,1.5600696,14.516451,23.0,1.0
0.90042543,0.3838315,1.5281963,14.423472,24.0,1.0
0.9742179,0.42700768,1.4850202,13.987575,25.0,1.0
1.0171313,0.45552397,1.4565039,13.839771,26.0,1.0
1.1305962,0.510283,1.4017448,13.645609,27.0,1.0
1.0659652,0.48352528,1.4285026,13.399099,28.0,1.0
1.1307049,0.49398804,1.4180398,13.811642,29.0,1.0
1.1211438,0.48735714,1.4246707,13.62416,30.0,1.0
1.1751022,0.49340248,1.4186254,13.571126,31.0,1.0
1.2276073,0.49421358,1.4178143,13.577225,32.0,1.0
1.2708716,0.53676796,1.3752599,13.300131,33.0,1.0
1.3286805,0.5868249,1.325203,12.570189,34.0,1.0
1.2952986,0.5496006,1.3624272,13.057423,35.0,1.0
1.3269591,0.5729332,1.3390946,12.72512,36.0,1.0
1.3994904,0.6152029,1.2968249,12.5514965,37.0,1.0
1.3668828,0.58760786,1.32442,13.183809,38.0,1.0
1.372364,0.5954318,1.316596,13.399393,39.0,1.0
1.4416337,0.63040113,1.2816267,12.66651,40.0,1.0
1.5144544,0.6731529,1.2388749,12.053823,41.0,1.0
1.4856734,0.6425028,1.269525,12.478821,42.0,1.0
1.3995743,0.59149647,1.3205314,13.395878,43.0,1.0
1.4614897,0.6323676,1.2796602,13.025444,44.0,1.0
1.545085,0.69093037,1.2210975,12.907527,45.0,1.0
1.5687127,0.70120525,1.2108226,12.7419405,46.0,1.0
1.593904,0.72417784,1.18785,12.54298,47.0,1.0
1.6193485,0.73880625,1.1732216,12.421491,48.0,1.0
1.6392899,0.76562977,1.1463981,12.046671,49.0,1.0
1.7524614,0.82517576,1.0868521,11.133326,50.0,1.0
1.8838229,0.91012096,1.0019069,10.061293,51.0,1.0
1.8323264,0.881464,1.0305638,10.31571,52.0,1.0
1.8522778,0.8923011,1.0197268,10.291934,53.0,1.0
1.8866639,0.9115801,1.0004478,9.993299,54.0,1.0
1.8688669,0.9000125,1.0120153,10.11097,55.0,1.0
1.954361,0.95363903,0.9583888,9.4520855,56.0,1.0
1.9977589,0.97092724,0.9411006,8.954018,57.0,1.0
1.9983253,0.9610615,0.95096636,9.219408,58.0,1.0
2.0408745,1.0043101,0.9077177,8.532309,59.0,1.0
1.895637,0.9028559,1.009172,9.798271,60.0,1.0
1.7772408,0.81157494,1.1004529,11.054989,61.0,1.0
1.7953076,0.8090925,1.1029353,10.994274,62.0,1.0
1.7693448,0.79601574,1.1160121,11.132565,63.0,1.0
1.7796717,0.801918,1.1101098,11.052303,64.0,1.0
1.7813644,0.79653835,1.1154895,11.196376,65.0,1.0
1.8598638,0.8398361,1.0721917,10.693633,66.0,1.0
1.9017057,0.8544121,1.0576158,10.71023,67.0,1.0
1.879406,0.8347354,1.0772924,10.91996,68.0,1.0
1.887744,0.8394213,1.0726066,10.799917,69.0,1.0
1.8684869,0.8334584,1.0785694,11.118388,70.0,1.0
1.8739462,0.8373852,1.0746427,11.2722645,71.0,1.0
1.8914261,0.84967947,1.0623484,11.099287,72.0,1.0
1.9189544,0.87177753,1.0402503,10.802717,73.0,1.0
1.9221268,0.88266134,1.0293665,10.549259,74.0,1.0
1.9727082,0.9248781,0.9871497,10.055029,75.0,1.0
1.9506607,0.91009235,1.0019355,10.337428,76.0,1.0
1.9385314,0.88976,1.0222678,10.637281,77.0,1.0
1.9014444,0.8686824,1.0433455,11.046172,78.0,1.0
1.9152517,0.87082577,1.0412021,11.273008,79.0,1.0
1.9351044,0.89060974,1.0214181,10.723215,80.0,1.0
1.908936,0.8646574,1.0473704,10.995388,81.0,1.0
1.9091339,0.8598914,1.0521364,11.047273,82.0,1.0
1.9097357,0.8570304,1.0549974,11.3151045,83.0,1.0
1.9168777,0.85571575,1.0563121,11.366334,84.0,1.0
