complexity,accuracy,distortion,mse,round,trial
0.012496948,0.005378723,1.9066491,16.448725,0.0,1.0
0.03080225,0.008959293,1.9030685,16.474358,1.0,1.0
0.05351448,0.015400887,1.896627,16.421356,2.0,1.0
0.084302425,0.029253483,1.8827744,16.369522,3.0,1.0
0.12107897,0.044080257,1.8679476,16.342243,4.0,1.0
0.13545275,0.05335951,1.8586683,16.303051,5.0,1.0
0.15066719,0.061196804,1.850831,16.256742,6.0,1.0
0.16577339,0.07165718,1.8403707,16.158676,7.0,1.0
0.21355295,0.092764854,1.819263,16.024046,8.0,1.0
0.24289465,0.0944128,1.817615,16.09285,9.0,1.0
0.28466797,0.103598595,1.8084292,15.946931,10.0,1.0
0.32044363,0.12192583,1.790102,15.767887,11.0,1.0
0.3889413,0.14556074,1.7664671,15.389643,12.0,1.0
0.51696014,0.19585657,1.7161713,14.867799,13.0,1.0
0.7061353,0.3047862,1.6072416,14.136856,14.0,1.0
0.8528533,0.3570485,1.5549793,13.860763,15.0,1.0
0.9218259,0.4052286,1.5067992,13.2891865,16.0,1.0
0.98619366,0.4429145,1.4691133,12.707266,17.0,1.0
0.97412586,0.42969894,1.4823289,12.830477,18.0,1.0
1.1607323,0.5286064,1.3834214,11.473717,19.0,1.0
1.266973,0.5841775,1.3278503,10.960897,20.0,1.0
1.288856,0.59710026,1.3149276,10.7283745,21.0,1.0
1.335177,0.61051655,1.3015113,10.790909,22.0,1.0
1.3489304,0.611351,1.3006768,10.729955,23.0,1.0
1.3672867,0.63168716,1.2803407,10.410341,24.0,1.0
1.4026537,0.63618755,1.2758403,10.58636,25.0,1.0
1.3480806,0.60225725,1.3097706,10.834105,26.0,1.0
1.4276614,0.6407652,1.2712626,10.611009,27.0,1.0
1.4205651,0.6368327,1.2751951,10.763338,28.0,1.0
1.5598164,0.7427182,1.1693096,9.226342,29.0,1.0
1.5789361,0.74940205,1.1626258,9.217332,30.0,1.0
1.556735,0.73687506,1.1751528,9.229995,31.0,1.0
1.5478148,0.7401352,1.1718926,9.029434,32.0,1.0
1.560071,0.7427645,1.1692634,9.145685,33.0,1.0
1.5516167,0.7280922,1.1839356,9.450332,34.0,1.0
1.5353389,0.69741774,1.2146101,10.217196,35.0,1.0
1.5819898,0.73882246,1.1732054,9.645744,36.0,1.0
1.6805773,0.80310583,1.108922,8.770764,37.0,1.0
1.7454648,0.84761333,1.0644145,8.223912,38.0,1.0
1.8117385,0.8996396,1.0123882,7.5779214,39.0,1.0
1.7156391,0.82015467,1.0918732,8.695089,40.0,1.0
1.7286053,0.8231869,1.088841,8.705051,41.0,1.0
1.7320404,0.81923866,1.0927892,8.892543,42.0,1.0
1.7343659,0.81423473,1.0977931,9.1028,43.0,1.0
1.7584648,0.8305731,1.0814548,8.906496,44.0,1.0
1.8219323,0.88458204,1.0274458,8.38147,45.0,1.0
1.8499665,0.90522003,1.0068078,8.1007595,46.0,1.0
1.8443766,0.9012704,1.0107574,8.349598,47.0,1.0
1.9493804,0.96000195,0.9520259,7.9148836,48.0,1.0
1.9029174,0.9168196,0.99520826,8.508732,49.0,1.0
1.8922834,0.9088993,1.0031285,8.51937,50.0,1.0
1.9084454,0.9103699,1.001658,8.702722,51.0,1.0
1.9183097,0.9286103,0.9834175,8.6886215,52.0,1.0
2.035184,1.0230994,0.8889284,7.588693,53.0,1.0
2.0261793,1.0172381,0.8947897,7.5881915,54.0,1.0
2.039287,1.0255866,0.88644123,7.8707423,55.0,1.0
2.060915,1.0429358,0.869092,7.820821,56.0,1.0
2.127471,1.0970421,0.81498575,7.134665,57.0,1.0
2.1303487,1.0913568,0.8206711,7.240862,58.0,1.0
2.1018896,1.0653672,0.8466606,7.7765727,59.0,1.0
2.0295033,1.0039291,0.9080987,8.669565,60.0,1.0
2.0597916,1.0422792,0.8697486,8.267371,61.0,1.0
2.054112,1.0239983,0.8880296,8.725296,62.0,1.0
2.056553,1.0334263,0.87860155,8.640812,63.0,1.0
2.1103473,1.0685039,0.843524,8.371991,64.0,1.0
2.0989256,1.0563602,0.8556676,8.54072,65.0,1.0
2.108687,1.0753565,0.83667135,8.393473,66.0,1.0
2.0812535,1.0530658,0.85896206,8.655169,67.0,1.0
2.0525231,1.0393667,0.8726611,8.736959,68.0,1.0
2.0828137,1.0462337,0.8657942,8.743027,69.0,1.0
2.119762,1.0652161,0.8468118,8.602653,70.0,1.0
2.117043,1.0621171,0.84991074,8.637188,71.0,1.0
2.119762,1.0652161,0.8468118,8.602653,72.0,1.0
2.1415029,1.0885191,0.82350874,8.289739,73.0,1.0
2.107235,1.049922,0.86210585,8.734373,74.0,1.0
2.1145778,1.059238,0.8527899,8.666689,75.0,1.0
0.0064463615,0.0028309822,1.9091969,16.486408,0.0,2.0
0.018735409,0.008605957,1.9034219,16.429409,1.0,2.0
0.03549719,0.014283657,1.8977442,16.384848,2.0,2.0
0.05280733,0.018630505,1.8933973,16.36316,3.0,2.0
0.06682396,0.023586273,1.8884416,16.338524,4.0,2.0
0.0865531,0.033775806,1.878252,16.256424,5.0,2.0
0.14449024,0.05854225,1.8534856,16.03407,6.0,2.0
0.16895008,0.07261324,1.8394146,15.900724,7.0,2.0
0.18809652,0.08129835,1.8307295,15.798719,8.0,2.0
0.20053816,0.073856354,1.8381715,15.938849,9.0,2.0
0.24447346,0.097762585,1.8142653,15.702193,10.0,2.0
0.2708683,0.10104036,1.8109875,15.867152,11.0,2.0
0.34033203,0.1273799,1.784648,15.678844,12.0,2.0
0.45729208,0.15536594,1.7566619,15.641258,13.0,2.0
0.5413852,0.19400263,1.7180252,15.335156,14.0,2.0
0.60575724,0.21138811,1.7006397,15.443702,15.0,2.0
0.7117944,0.2429204,1.6691074,15.223869,16.0,2.0
0.69598484,0.23901701,1.6730108,15.5462265,17.0,2.0
0.73497343,0.27145863,1.6405692,15.232418,18.0,2.0
0.88480616,0.35108376,1.5609441,14.742495,19.0,2.0
0.89344597,0.34713984,1.564888,14.683006,20.0,2.0
0.9709382,0.39887094,1.5131569,14.257533,21.0,2.0
1.0719995,0.45511675,1.4569111,13.787288,22.0,2.0
1.1183782,0.48004818,1.4319797,13.374886,23.0,2.0
1.2499776,0.5706582,1.3413696,12.917505,24.0,2.0
1.2243586,0.55385494,1.3581729,13.075305,25.0,2.0
1.3349195,0.6059108,1.306117,12.648866,26.0,2.0
1.3727207,0.6055808,1.306447,12.977365,27.0,2.0
1.422699,0.6305804,1.2814474,13.225648,28.0,2.0
1.6419406,0.76258373,1.1494441,11.742751,29.0,2.0
1.7101483,0.7844262,1.1276016,11.891492,30.0,2.0
1.6920176,0.77601004,1.1360178,11.93476,31.0,2.0
1.6981626,0.77721834,1.1348095,12.107669,32.0,2.0
1.6884704,0.8009186,1.1111093,11.276802,33.0,2.0
1.7215786,0.828948,1.0830798,10.8876295,34.0,2.0
1.8135376,0.87535,1.0366778,10.439403,35.0,2.0
1.7821808,0.86423874,1.0477891,10.726233,36.0,2.0
1.8136292,0.8876128,1.024415,10.479117,37.0,2.0
1.8243003,0.9118781,1.0001497,9.749582,38.0,2.0
1.8666577,0.939034,0.97299385,9.767531,39.0,2.0
1.9826417,0.9913349,0.9206929,9.374112,40.0,2.0
2.0045419,1.0080576,0.90397024,9.471208,41.0,2.0
2.0082455,1.0167999,0.8952279,9.161007,42.0,2.0
2.0647306,1.0504127,0.8616152,8.94833,43.0,2.0
2.1465368,1.0892572,0.8227706,8.837485,44.0,2.0
2.1638396,1.0984178,0.8136101,9.017669,45.0,2.0
2.0981154,1.0663886,0.8456392,8.720737,46.0,2.0
2.1333368,1.0782366,0.83379126,8.730828,47.0,2.0
2.147139,1.0952778,0.81675005,8.497583,48.0,2.0
2.3106992,1.177928,0.73409986,8.07851,49.0,2.0
2.3499236,1.1968756,0.71515226,7.8373985,50.0,2.0
2.3386881,1.1878304,0.7241974,7.8732796,51.0,2.0
2.3950999,1.214807,0.6972208,7.846904,52.0,2.0
2.3944345,1.2169609,0.6950669,7.8471775,53.0,2.0
2.3674612,1.1963873,0.71564054,7.874939,54.0,2.0
2.3385768,1.1758928,0.736135,7.8882995,55.0,2.0
2.3657289,1.1971512,0.71487665,7.823942,56.0,2.0
2.3638058,1.1965933,0.71543455,7.859356,57.0,2.0
2.3588567,1.1934915,0.7185364,7.82725,58.0,2.0
2.359601,1.1942353,0.7177925,7.817741,59.0,2.0
2.3790884,1.2088628,0.70316505,7.8163166,60.0,2.0
2.36453,1.1973166,0.7147112,7.8501844,61.0,2.0
2.363497,1.1962838,0.715744,7.863266,62.0,2.0
2.3601825,1.1939077,0.7181201,7.857417,63.0,2.0
2.3721175,1.2039328,0.7080951,7.80284,64.0,2.0
2.3766553,1.207468,0.7045598,7.795514,65.0,2.0
2.3808522,1.2095466,0.70248127,7.846817,66.0,2.0
2.3548875,1.1895247,0.7225032,7.877686,67.0,2.0
2.3455741,1.1819596,0.7300682,7.904876,68.0,2.0
2.3507056,1.1862288,0.7257991,7.8848286,69.0,2.0
2.3405209,1.1777477,0.7342801,7.9247484,70.0,2.0
2.3223183,1.1634636,0.74856424,7.9465446,71.0,2.0
2.30792,1.1519232,0.76010466,7.9734793,72.0,2.0
2.3277996,1.1674304,0.74459743,7.9583354,73.0,2.0
2.3240166,1.164413,0.74761486,7.9652157,74.0,2.0
2.3156111,1.1574936,0.75453424,7.991411,75.0,2.0
2.3466468,1.1821723,0.72985554,7.935849,76.0,2.0
2.3550901,1.1888185,0.7232094,7.9215193,77.0,2.0
2.3638773,1.1956973,0.7163305,7.9070067,78.0,2.0
2.3550901,1.1888185,0.7232094,7.9215193,79.0,2.0
2.3638773,1.1956973,0.7163305,7.9070067,80.0,2.0
2.3385067,1.1757336,0.73629427,7.950001,81.0,2.0
2.3156111,1.1574936,0.75453424,7.991411,82.0,2.0
0.0,4.7683716e-07,1.9120274,16.500002,0.0,3.0
0.0047078133,0.0014595985,1.9105682,16.489128,1.0,3.0
0.016234398,0.0067510605,1.9052768,16.460289,2.0,3.0
0.028000355,0.0112428665,1.900785,16.449352,3.0,3.0
0.04834795,0.017366886,1.894661,16.405657,4.0,3.0
0.063969135,0.01996231,1.8920655,16.427336,5.0,3.0
0.08798838,0.026411533,1.8856163,16.403433,6.0,3.0
0.11482334,0.03776121,1.8742666,16.328201,7.0,3.0
0.11668825,0.03557062,1.8764572,16.37875,8.0,3.0
0.17216825,0.05778122,1.8542466,16.233625,9.0,3.0
0.17829704,0.07032347,1.8417044,16.028587,10.0,3.0
0.1703639,0.055695534,1.8563323,16.263489,11.0,3.0
0.18310022,0.057393074,1.8546348,16.269636,12.0,3.0
0.23841143,0.070652485,1.8413754,16.155678,13.0,3.0
0.26189995,0.07901049,1.8330173,16.10204,14.0,3.0
0.3001399,0.08838558,1.8236423,16.155655,15.0,3.0
0.3518448,0.101228714,1.8107991,16.140972,16.0,3.0
0.34126186,0.09920454,1.8128233,15.881746,17.0,3.0
0.38988447,0.13459873,1.7774291,15.245972,18.0,3.0
0.44243336,0.1491394,1.7628884,15.247222,19.0,3.0
0.44023752,0.15762377,1.7544041,15.084345,20.0,3.0
0.46917248,0.17773676,1.7342911,14.92416,21.0,3.0
0.4665947,0.1542778,1.75775,15.56445,22.0,3.0
0.54918766,0.18265629,1.7293715,15.418993,23.0,3.0
0.61464787,0.22435093,1.6876769,14.842791,24.0,3.0
0.6441126,0.234406,1.6776218,14.89464,25.0,3.0
0.7180767,0.26360273,1.6484251,14.668485,26.0,3.0
0.79452944,0.30761957,1.6044083,14.078595,27.0,3.0
0.97119236,0.4004178,1.51161,13.582843,28.0,3.0
1.163188,0.48400974,1.4280181,12.991522,29.0,3.0
1.1797543,0.5128126,1.3992152,12.880992,30.0,3.0
1.3743596,0.625227,1.2868009,11.907642,31.0,3.0
1.6298437,0.76654434,1.1454835,11.112414,32.0,3.0
1.8550668,0.8844495,1.0275784,10.2499485,33.0,3.0
2.032586,0.9803467,0.93168116,9.685732,34.0,3.0
2.3027258,1.125608,0.78641987,8.788697,35.0,3.0
2.3166575,1.1323247,0.77970314,8.502587,36.0,3.0
2.4245694,1.2092738,0.702754,7.98139,37.0,3.0
2.4748127,1.2372246,0.67480326,7.607456,38.0,3.0
2.519539,1.2580009,0.654027,7.5055623,39.0,3.0
2.5700605,1.2790179,0.6330099,7.437723,40.0,3.0
2.6603346,1.3269253,0.58510256,7.107917,41.0,3.0
2.6686668,1.3301535,0.5818744,7.1374645,42.0,3.0
2.675422,1.3312135,0.58081436,7.1699243,43.0,3.0
2.684545,1.3348594,0.57716846,7.2120357,44.0,3.0
2.6952567,1.33458,0.5774479,7.2924256,45.0,3.0
2.7217128,1.345459,0.56656885,7.2766776,46.0,3.0
2.735043,1.3487644,0.5632634,7.292582,47.0,3.0
2.7278008,1.348197,0.56383085,7.2424397,48.0,3.0
2.7130694,1.3392076,0.5728202,7.255815,49.0,3.0
2.7101429,1.3363457,0.57568216,7.2926393,50.0,3.0
2.7368977,1.3505669,0.561461,7.2025576,51.0,3.0
2.7206707,1.341188,0.5708399,7.291651,52.0,3.0
2.7110705,1.3420963,0.5699315,7.197628,53.0,3.0
2.7254598,1.3458838,0.566144,7.2383986,54.0,3.0
2.7321906,1.352498,0.5595298,7.125414,55.0,3.0
2.7547574,1.3583937,0.55363417,7.1309795,56.0,3.0
2.7604055,1.3639579,0.54806995,7.0447,57.0,3.0
2.7643223,1.367795,0.54423285,7.0601845,58.0,3.0
2.7692664,1.3726659,0.53936195,6.9995403,59.0,3.0
2.7744112,1.3777971,0.5342307,6.7758646,60.0,3.0
2.7849622,1.3882256,0.5238023,6.6002345,61.0,3.0
2.7975094,1.4006548,0.51137304,6.3646917,62.0,3.0
2.7906175,1.393815,0.5182128,6.5183396,63.0,3.0
2.7845411,1.3878403,0.52418756,6.5437107,64.0,3.0
2.7793493,1.3827248,0.5293031,6.592569,65.0,3.0
2.775058,1.3784823,0.5335455,6.6659155,66.0,3.0
2.7885876,1.3918042,0.5202236,6.556143,67.0,3.0
2.7946904,1.3978496,0.5141783,6.4403734,68.0,3.0
2.8087535,1.4117546,0.5002732,6.2484202,69.0,3.0
2.8110576,1.4140234,0.49800444,6.2378073,70.0,3.0
2.7919962,1.3951845,0.5168433,6.482666,71.0,3.0
2.7911537,1.3943715,0.5176563,6.455578,72.0,3.0
2.8227317,1.4256988,0.48632908,5.844344,73.0,3.0
2.828619,1.4314742,0.48055363,5.8628173,74.0,3.0
2.8439288,1.4466572,0.46537066,5.6267433,75.0,3.0
2.8565984,1.459229,0.45279884,5.4365435,76.0,3.0
2.851788,1.4545164,0.45751143,5.403572,77.0,3.0
2.8472757,1.4499559,0.4620719,5.613938,78.0,3.0
2.8445163,1.4471464,0.46488142,5.7982287,79.0,3.0
2.851559,1.4541345,0.45789337,5.687494,80.0,3.0
2.8650093,1.4675245,0.4445033,5.408406,81.0,3.0
2.8672032,1.4697795,0.44224834,5.2453966,82.0,3.0
2.88467,1.487113,0.42491484,5.0254297,83.0,3.0
2.8818774,1.4843197,0.42770815,5.0909915,84.0,3.0
2.8918114,1.4941244,0.41790342,5.010552,85.0,3.0
2.894798,1.4971108,0.414917,4.9433765,86.0,3.0
2.9015272,1.50384,0.40818787,4.8034534,87.0,3.0
2.8980203,1.5003333,0.41169453,4.8743587,88.0,3.0
2.9053922,1.5077057,0.40432215,4.730614,89.0,3.0
2.9097412,1.5120544,0.3999734,4.655793,90.0,3.0
2.9148378,1.5171518,0.394876,4.5789394,91.0,3.0
0.0056476593,0.0018949509,1.9101329,16.487633,0.0,4.0
0.015865326,0.0063614845,1.9056664,16.4646,1.0,4.0
0.02606821,0.008257389,1.9037704,16.42385,2.0,4.0
0.04376459,0.017136574,1.8948913,16.365915,3.0,4.0
0.06929779,0.024306297,1.8877215,16.347734,4.0,4.0
0.10191965,0.038911343,1.8731165,16.328812,5.0,4.0
0.13947487,0.059391975,1.8526359,16.12835,6.0,4.0
0.18352985,0.072910786,1.839117,16.046492,7.0,4.0
0.22557783,0.0852499,1.8267779,15.92638,8.0,4.0
0.22664642,0.0808754,1.8311524,15.997999,9.0,4.0
0.24711943,0.08708525,1.8249426,15.958254,10.0,4.0
0.25613213,0.08812857,1.8238993,16.010725,11.0,4.0
0.28466225,0.10909939,1.8029284,16.006433,12.0,4.0
0.40907812,0.18204832,1.7299795,15.410312,13.0,4.0
0.44658422,0.21797657,1.6940513,14.938307,14.0,4.0
0.5741739,0.26691675,1.6451111,14.776762,15.0,4.0
0.63217497,0.31617117,1.5958567,13.955427,16.0,4.0
0.7386427,0.38416004,1.5278678,13.114937,17.0,4.0
0.75021124,0.38623667,1.5257912,12.918142,18.0,4.0
0.8447771,0.44941235,1.4626155,12.066654,19.0,4.0
0.86698914,0.45491076,1.4571171,11.928581,20.0,4.0
0.9374709,0.5109916,1.4010363,11.358522,21.0,4.0
