complexity,accuracy,distortion,mse,round,run
5.865097e-05,2.2888184e-05,1.912005,16.399866,0.0,1.0
3.1471252e-05,2.1457672e-05,1.9120064,16.399729,1.0,1.0
5.722046e-05,5.197525e-05,1.9119759,16.399015,2.0,1.0
0.00016403198,0.0001540184,1.9118738,16.39671,3.0,1.0
0.00048542023,0.00045967102,1.9115682,16.389847,4.0,1.0
0.0013957024,0.0013237,1.9107041,16.370403,5.0,1.0
0.0038719177,0.0036754608,1.9083524,16.317568,6.0,1.0
0.010359287,0.009836674,1.9021912,16.179758,7.0,1.0
0.026603222,0.025250912,1.8867769,15.838865,8.0,1.0
0.064442635,0.06110859,1.8509192,15.0674,9.0,1.0
0.14176893,0.13417482,1.777853,13.583836,10.0,1.0
0.2685914,0.25329018,1.6587377,11.397093,11.0,1.0
0.4241891,0.39782667,1.5142012,9.09289,12.0,1.0
0.56900454,0.5300517,1.3819761,7.3029995,13.0,1.0
0.68059015,0.62970734,1.2823205,6.1586604,14.0,1.0
0.7589021,0.69802666,1.2140012,5.4810677,15.0,1.0
0.81249475,0.7438221,1.1682057,5.0773454,16.0,1.0
0.8496957,0.77511454,1.1369133,4.824809,17.0,1.0
0.8763766,0.79732656,1.1147013,4.6566334,18.0,1.0
0.896245,0.81376743,1.0982604,4.537649,19.0,1.0
0.9115567,0.8264022,1.0856256,4.4490943,20.0,1.0
0.9236903,0.8364053,1.0756226,4.38059,21.0,1.0
0.9335084,0.84450054,1.0675273,4.326109,22.0,1.0
0.9415698,0.85115194,1.0608759,4.281947,23.0,1.0
0.9482565,0.8566747,1.0553532,4.245688,24.0,1.0
0.9538379,0.86128855,1.0507393,4.215662,25.0,1.0
0.95851755,0.86516047,1.0468674,4.190656,26.0,1.0
0.9624505,0.8684187,1.0436091,4.1697516,27.0,1.0
0.96575737,0.8711629,1.040865,4.152231,28.0,1.0
0.96854115,0.8734751,1.0385528,4.1375227,29.0,1.0
0.97088194,0.87542343,1.0366044,4.125162,30.0,1.0
