complexity,accuracy,distortion,mse,round,trial
1.2517567,0.5692277,1.3428001,13.5352,0.0,1.0
1.2530565,0.5705061,1.3415217,13.508899,1.0,1.0
1.254415,0.5718436,1.3401842,13.481165,2.0,1.0
1.2558317,0.5732398,1.338788,13.451989,3.0,1.0
1.2573056,0.5746951,1.3373327,13.421358,4.0,1.0
1.2588401,0.57620955,1.3358183,13.389268,5.0,1.0
1.2604342,0.5777831,1.3342447,13.355706,6.0,1.0
1.2620878,0.57941675,1.3326111,13.320665,7.0,1.0
1.263803,0.5811119,1.3309159,13.284137,8.0,1.0
1.2655802,0.5828695,1.3291583,13.246113,9.0,1.0
1.2674198,0.5846877,1.3273401,13.206588,10.0,1.0
1.2693224,0.5865679,1.32546,13.165555,11.0,1.0
1.2712884,0.58851147,1.3235164,13.123007,12.0,1.0
1.2733178,0.590518,1.3215098,13.078937,13.0,1.0
1.2754121,0.5925865,1.3194413,13.033341,14.0,1.0
1.2775712,0.59472036,1.3173075,12.9862175,15.0,1.0
1.2797961,0.59691715,1.3151107,12.937559,16.0,1.0
1.2820859,0.59917784,1.31285,12.887366,17.0,1.0
1.284442,0.6015034,1.3105245,12.835635,18.0,1.0
1.2868657,0.60389423,1.3081336,12.782366,19.0,1.0
1.2893548,0.60634995,1.3056779,12.727559,20.0,1.0
1.2919126,0.608871,1.3031569,12.671211,21.0,1.0
1.2945375,0.61145735,1.3005705,12.613333,22.0,1.0
1.2972302,0.61410904,1.2979188,12.55392,23.0,1.0
1.2999916,0.616827,1.2952008,12.49298,24.0,1.0
1.3028193,0.61960936,1.2924185,12.430519,25.0,1.0
1.3057175,0.6224594,1.2895684,12.366545,26.0,1.0
1.3086824,0.6253743,1.2866535,12.301065,27.0,1.0
1.311717,0.628356,1.2836719,12.234089,28.0,1.0
1.3148212,0.63140297,1.2806249,12.165629,29.0,1.0
1.3179917,0.63451576,1.2775121,12.095698,30.0,1.0
1.3212314,0.6376934,1.2743344,12.024308,31.0,1.0
1.3245387,0.6409364,1.2710915,11.951482,32.0,1.0
1.3279147,0.64424515,1.2677827,11.87723,33.0,1.0
1.3313584,0.6476188,1.2644091,11.80158,34.0,1.0
1.3348699,0.6510563,1.2609715,11.7245455,35.0,1.0
1.338448,0.6545582,1.2574697,11.646154,36.0,1.0
1.342094,0.65812397,1.2539039,11.566427,37.0,1.0
1.3458061,0.6617522,1.2502756,11.485395,38.0,1.0
1.3495822,0.66544247,1.2465854,11.403088,39.0,1.0
1.353425,0.6691952,1.2428327,11.319532,40.0,1.0
1.3573322,0.67300844,1.2390194,11.234761,41.0,1.0
1.3613024,0.67688084,1.235147,11.148811,42.0,1.0
1.365335,0.68081427,1.2312136,11.061718,43.0,1.0
1.3694296,0.68480587,1.227222,10.973517,44.0,1.0
1.3735867,0.6888547,1.2231731,10.884251,45.0,1.0
1.3778028,0.69296074,1.2190671,10.793958,46.0,1.0
1.3820782,0.69712114,1.2149067,10.702684,47.0,1.0
1.3864098,0.70133734,1.2106905,10.610475,48.0,1.0
1.3908,0.70560455,1.2064233,10.517374,49.0,1.0
1.3952446,0.7099242,1.2021036,10.423432,50.0,1.0
1.3997421,0.7142949,1.1977329,10.328698,51.0,1.0
1.404294,0.71871376,1.1933141,10.233222,52.0,1.0
1.4088945,0.7231803,1.1888475,10.137056,53.0,1.0
1.4135466,0.7276921,1.1843357,10.040253,54.0,1.0
1.4182458,0.7322478,1.17978,9.942869,55.0,1.0
1.4229903,0.7368455,1.1751823,9.844958,56.0,1.0
1.4277802,0.7414861,1.1705418,9.746576,57.0,1.0
1.4326129,0.7461648,1.165863,9.647783,58.0,1.0
1.4374843,0.7508807,1.1611471,9.548635,59.0,1.0
1.4423952,0.7556324,1.1563954,9.449188,60.0,1.0
1.4473438,0.760417,1.1516109,9.349503,61.0,1.0
1.4523268,0.76523256,1.1467953,9.249635,62.0,1.0
1.4573421,0.7700777,1.1419501,9.149647,63.0,1.0
1.462388,0.77495146,1.1370764,9.049595,64.0,1.0
1.4674625,0.7798495,1.1321783,8.949537,65.0,1.0
1.4725652,0.7847705,1.1272573,8.849534,66.0,1.0
1.4776912,0.7897134,1.1223145,8.74964,67.0,1.0
1.4828386,0.7946758,1.117352,8.649914,68.0,1.0
1.4880071,0.79965496,1.1123729,8.550411,69.0,1.0
1.4931927,0.8046484,1.1073794,8.451187,70.0,1.0
1.498394,0.80965567,1.1023722,8.352295,71.0,1.0
1.5036092,0.8146734,1.0973544,8.253788,72.0,1.0
1.5088353,0.81969976,1.0923281,8.155718,73.0,1.0
1.5140715,0.8247328,1.087295,8.058138,74.0,1.0
1.5193138,0.82976913,1.0822587,7.961093,75.0,1.0
1.5245619,0.8348079,1.07722,7.8646317,76.0,1.0
1.5298114,0.83984756,1.0721803,7.7688007,77.0,1.0
1.5350609,0.8448858,1.067142,7.6736436,78.0,1.0
1.5403104,0.84991837,1.0621095,7.579203,79.0,1.0
