complexity,accuracy,distortion,mse,round,trial
0.9451761,0.38019705,1.5318308,14.791546,0.0,1.0
0.6677284,0.5211172,1.3909106,10.868477,1.0,1.0
1.0571313,0.87524986,1.036778,6.2851267,2.0,1.0
1.2819796,1.077528,0.83449984,3.5715072,3.0,1.0
1.3892779,1.1719823,0.74004555,2.353023,4.0,1.0
1.4446397,1.2165804,0.69544744,1.919821,5.0,1.0
1.4721394,1.2377439,0.674284,1.7356149,6.0,1.0
1.4855609,1.247951,0.6640768,1.6582589,7.0,1.0
1.4906821,1.2515383,0.66048956,1.6419883,8.0,1.0
1.493062,1.2531867,0.65884113,1.6351062,9.0,1.0
1.4942465,1.2540488,0.657979,1.631376,10.0,1.0
1.4947476,1.2544589,0.65756893,1.6294584,11.0,1.0
1.4948134,1.2545795,0.6574483,1.6286988,12.0,1.0
1.4945979,1.2545128,0.65751505,1.6287038,13.0,1.0
1.4942122,1.2543292,0.65769863,1.6291903,14.0,1.0
1.4937425,1.2540808,0.65794706,1.6299448,15.0,1.0
1.4932456,1.2538118,0.658216,1.6308159,16.0,1.0
1.4927616,1.2535415,0.65848637,1.6317067,17.0,1.0
1.49231,1.2532883,0.65873957,1.632561,18.0,1.0
1.4919,1.2530546,0.6589732,1.6333503,19.0,1.0
1.4915347,1.2528477,0.65918016,1.6340626,20.0,1.0
1.4912138,1.2526631,0.6593647,1.6346955,21.0,1.0
1.4909325,1.252502,0.6595259,1.6352514,22.0,1.0
1.4906888,1.2523618,0.65966606,1.6357358,23.0,1.0
1.49048,1.2522407,0.6597872,1.6361543,24.0,1.0
1.4903002,1.2521372,0.65989065,1.6365134,25.0,1.0
1.4901476,1.252049,0.65997887,1.6368189,26.0,1.0
1.4900179,1.2519736,0.6600542,1.6370766,27.0,1.0
1.4899092,1.2519121,0.6601157,1.6372913,28.0,1.0
1.4898205,1.2518601,0.6601677,1.6374681,29.0,1.0
1.4897475,1.2518182,0.66020966,1.6376107,30.0,1.0
1.4896889,1.2517848,0.66024303,1.6377232,31.0,1.0
1.4896431,1.2517586,0.66026926,1.6378089,32.0,1.0
1.4896111,1.2517395,0.66028833,1.6378708,33.0,1.0
1.4895868,1.2517271,0.66030073,1.6379114,34.0,1.0
1.4895711,1.2517185,0.6603093,1.6379331,35.0,1.0
1.4895644,1.2517147,0.6603131,1.6379379,36.0,1.0
1.4895649,1.2517161,0.6603117,1.6379278,37.0,1.0
1.4895716,1.2517209,0.66030693,1.6379044,38.0,1.0
1.4895835,1.25173,0.6602979,1.6378688,39.0,1.0
1.4896011,1.2517395,0.66028833,1.6378222,40.0,1.0
1.4896221,1.2517533,0.6602745,1.6377661,41.0,1.0
1.4896483,1.2517686,0.66025925,1.6377009,42.0,1.0
1.4896774,1.2517877,0.6602402,1.6376274,43.0,1.0
1.4897103,1.2518077,0.66022015,1.6375463,44.0,1.0
1.4897461,1.2518296,0.6601982,1.637458,45.0,1.0
1.4897838,1.251854,0.6601739,1.6373628,46.0,1.0
1.4898257,1.2518802,0.66014767,1.6372613,47.0,1.0
1.4898701,1.2519069,0.66012096,1.6371534,48.0,1.0
1.4899163,1.2519364,0.6600914,1.6370398,49.0,1.0
1.489965,1.2519655,0.6600623,1.6369202,50.0,1.0
1.490016,1.2519984,0.6600294,1.6367952,51.0,1.0
1.4900699,1.2520308,0.659997,1.6366649,52.0,1.0
1.4901237,1.2520647,0.65996313,1.636529,53.0,1.0
1.490181,1.2521005,0.65992737,1.6363883,54.0,1.0
1.4902406,1.2521372,0.65989065,1.6362426,55.0,1.0
1.4903016,1.2521758,0.659852,1.6360923,56.0,1.0
1.4903636,1.2522149,0.6598129,1.6359377,57.0,1.0
1.490427,1.252255,0.6597729,1.6357795,58.0,1.0
1.4904928,1.2522955,0.65973234,1.6356177,59.0,1.0
1.4905591,1.252337,0.65969086,1.6354529,60.0,1.0
1.4906268,1.2523799,0.65964794,1.6352854,61.0,1.0
1.490695,1.2524228,0.659605,1.6351156,62.0,1.0
1.4907632,1.2524657,0.6595621,1.6349442,63.0,1.0
1.4908328,1.2525091,0.6595187,1.6347718,64.0,1.0
1.490902,1.2525535,0.6594744,1.6345985,65.0,1.0
1.4909716,1.2525969,0.659431,1.6344247,66.0,1.0
1.4910417,1.2526407,0.6593871,1.6342508,67.0,1.0
1.4911113,1.2526846,0.65934324,1.6340773,68.0,1.0
1.49118,1.2527285,0.6592994,1.6339042,69.0,1.0
1.4912486,1.2527714,0.65925646,1.633732,70.0,1.0
1.4913177,1.2528152,0.6592126,1.6335601,71.0,1.0
1.4913869,1.2528582,0.6591697,1.6333892,72.0,1.0
1.4914541,1.2529006,0.65912724,1.6332195,73.0,1.0
1.4915223,1.252944,0.65908384,1.6330507,74.0,1.0
1.4915891,1.252986,0.6590419,1.6328826,75.0,1.0
1.4916549,1.2530284,0.65899944,1.6327157,76.0,1.0
1.4917216,1.2530704,0.6589575,1.6325496,77.0,1.0
1.4917874,1.2531118,0.658916,1.6323844,78.0,1.0
1.4918532,1.2531524,0.65887547,1.63222,79.0,1.0
1.4919176,1.2531943,0.6588335,1.6320562,80.0,1.0
1.4919834,1.2532353,0.6587925,1.6318932,81.0,1.0
1.4920473,1.2532754,0.65875244,1.6317308,82.0,1.0
1.4921117,1.2533169,0.65871096,1.631569,83.0,1.0
1.492176,1.2533569,0.6586709,1.6314077,84.0,1.0
1.492239,1.253398,0.6586299,1.6312472,85.0,1.0
1.4923029,1.2534385,0.65858936,1.6310872,86.0,1.0
1.4923663,1.253478,0.6585498,1.6309277,87.0,1.0
1.4924288,1.2535181,0.65850973,1.6307687,88.0,1.0
1.4924922,1.2535586,0.6584692,1.6306105,89.0,1.0
1.4925542,1.2535973,0.6584306,1.6304524,90.0,1.0
1.4926171,1.2536368,0.658391,1.6302954,91.0,1.0
1.4926782,1.2536769,0.65835094,1.6301391,92.0,1.0
1.4927397,1.2537155,0.6583123,1.6299834,93.0,1.0
1.4928002,1.2537541,0.6582737,1.6298286,94.0,1.0
1.4928613,1.2537923,0.65823555,1.6296748,95.0,1.0
1.4929218,1.2538319,0.658196,1.6295221,96.0,1.0
1.4929819,1.2538686,0.65815926,1.6293701,97.0,1.0
1.493041,1.2539067,0.6581211,1.6292193,98.0,1.0
