complexity,accuracy,distortion,mse,round,trial
0.02369833,0.023697853,3.2982306,16.461063,0.0,1.0
0.035432816,0.03543234,3.2864962,16.440838,1.0,1.0
0.06519556,0.06519508,3.2567334,16.38398,2.0,1.0
0.10321951,0.10321951,3.218709,16.32026,3.0,1.0
0.14570522,0.14570475,3.1762238,16.42441,4.0,1.0
0.2310934,0.23109388,3.0908346,16.018843,5.0,1.0
0.28968287,0.2896824,3.032246,15.779518,6.0,1.0
0.33275127,0.3327508,2.9891777,15.723135,7.0,1.0
0.39137173,0.39137173,2.9305568,15.52307,8.0,1.0
0.40821028,0.40821028,2.9137182,15.462057,9.0,1.0
0.49707127,0.4970708,2.8248577,15.233128,10.0,1.0
0.68170834,0.68170834,2.6402202,14.782548,11.0,1.0
0.67662954,0.67662954,2.645299,14.846853,12.0,1.0
0.7375865,0.7375879,2.5843406,14.972868,13.0,1.0
0.7446718,0.74467134,2.5772572,14.94983,14.0,1.0
0.7703128,0.7703128,2.5516157,15.098488,15.0,1.0
0.86752176,0.86752176,2.4544067,14.902251,16.0,1.0
0.9375901,0.93758965,2.3843389,15.015727,17.0,1.0
1.0230451,1.0230446,2.298884,14.800077,18.0,1.0
1.048666,1.0486665,2.273262,14.535551,19.0,1.0
1.1216855,1.1216855,2.200243,14.524666,20.0,1.0
1.1099987,1.1099987,2.2119298,14.582699,21.0,1.0
1.0982828,1.0982828,2.2236457,14.581918,22.0,1.0
1.166089,1.1660886,2.15584,14.10281,23.0,1.0
1.2042494,1.2042499,2.1176786,13.639967,24.0,1.0
1.297329,1.2973294,2.024599,13.287228,25.0,1.0
1.2892652,1.2892656,2.0326629,13.166772,26.0,1.0
1.327908,1.3279076,1.9940209,13.61978,27.0,1.0
1.3245177,1.3245182,1.9974103,13.61875,28.0,1.0
1.4527001,1.4527001,1.8692284,13.204203,29.0,1.0
1.5651479,1.5651474,1.7567811,13.091291,30.0,1.0
1.5562277,1.5562272,1.7657013,13.174328,31.0,1.0
1.649611,1.649611,1.6723175,12.809827,32.0,1.0
1.6632371,1.6632366,1.6586919,12.5442505,33.0,1.0
1.6873641,1.6873636,1.6345649,12.489991,34.0,1.0
1.6693025,1.6693025,1.652626,13.144208,35.0,1.0
1.6269007,1.6269011,1.6950274,13.010648,36.0,1.0
1.681426,1.6814265,1.640502,12.673416,37.0,1.0
1.7472382,1.7472377,1.5746908,12.303481,38.0,1.0
1.7346449,1.7346449,1.5872836,12.3413105,39.0,1.0
1.744833,1.744833,1.5770955,12.888647,40.0,1.0
1.7252221,1.7252221,1.5967064,13.01717,41.0,1.0
1.7948384,1.7948384,1.5270901,12.875324,42.0,1.0
1.8281512,1.8281512,1.4937773,13.018497,43.0,1.0
1.9244766,1.9244766,1.3974519,12.753033,44.0,1.0
1.9567742,1.9567742,1.3651543,12.827774,45.0,1.0
2.025704,2.025704,1.2962246,12.692071,46.0,1.0
2.0369925,2.0369925,1.284936,12.6971245,47.0,1.0
2.075141,2.075141,1.2467875,12.685456,48.0,1.0
2.0610304,2.0610304,1.2608981,12.73913,49.0,1.0
2.162807,2.1628065,1.159122,12.632711,50.0,1.0
2.174087,2.174087,1.1478415,12.566529,51.0,1.0
2.193114,2.1931143,1.1288142,12.5703535,52.0,1.0
2.1738133,2.1738133,1.1481152,12.604977,53.0,1.0
2.222443,2.2224433,1.0994852,12.415215,54.0,1.0
2.325958,2.3259578,0.9959707,12.1185465,55.0,1.0
2.3449693,2.3449688,0.9769597,12.117947,56.0,1.0
2.3426356,2.3426354,0.9792931,12.161009,57.0,1.0
2.3262444,2.3262444,0.99568415,12.167418,58.0,1.0
2.3348386,2.3348386,0.9870899,12.055473,59.0,1.0
