complexity,accuracy,distortion,mse,round,trial
6.9618225e-05,7.6293945e-06,3.4807653,1579.7717,0.0,1.0
9.536743e-07,0.0,3.480773,1579.772,1.0,1.0
0.0,0.0,3.480773,1579.7717,2.0,1.0
9.536743e-07,0.0,3.480773,1579.7714,3.0,1.0
1.9073486e-06,0.0,3.480773,1579.7711,4.0,1.0
9.536743e-07,0.0,3.480773,1579.7709,5.0,1.0
1.9073486e-06,2.861023e-06,3.48077,1579.7705,6.0,1.0
9.536743e-07,9.536743e-07,3.480772,1579.77,7.0,1.0
2.861023e-06,9.536743e-07,3.480772,1579.7699,8.0,1.0
2.861023e-06,1.9073486e-06,3.480771,1579.7694,9.0,1.0
2.861023e-06,1.9073486e-06,3.480771,1579.7689,10.0,1.0
1.9073486e-06,1.9073486e-06,3.480771,1579.7683,11.0,1.0
5.722046e-06,4.7683716e-06,3.4807682,1579.7676,12.0,1.0
5.722046e-06,4.7683716e-06,3.4807682,1579.7668,13.0,1.0
5.722046e-06,4.7683716e-06,3.4807682,1579.7661,14.0,1.0
6.67572e-06,5.722046e-06,3.4807673,1579.765,15.0,1.0
7.6293945e-06,7.6293945e-06,3.4807653,1579.7635,16.0,1.0
9.536743e-06,8.583069e-06,3.4807644,1579.7623,17.0,1.0
9.536743e-06,9.536743e-06,3.4807634,1579.7607,18.0,1.0
1.2397766e-05,1.1444092e-05,3.4807615,1579.7587,19.0,1.0
1.335144e-05,1.335144e-05,3.4807596,1579.7565,20.0,1.0
1.6212463e-05,1.5258789e-05,3.4807577,1579.7539,21.0,1.0
1.9073486e-05,1.8119812e-05,3.4807549,1579.7506,22.0,1.0
2.0980835e-05,2.002716e-05,3.480753,1579.7473,23.0,1.0
2.3841858e-05,2.2888184e-05,3.48075,1579.7429,24.0,1.0
2.9563904e-05,2.861023e-05,3.4807444,1579.7383,25.0,1.0
3.4332275e-05,3.33786e-05,3.4807396,1579.7325,26.0,1.0
4.005432e-05,3.9100647e-05,3.4807339,1579.7262,27.0,1.0
4.4822693e-05,4.386902e-05,3.480729,1579.7185,28.0,1.0
5.2452087e-05,5.2452087e-05,3.4807205,1579.7098,29.0,1.0
6.1035156e-05,6.1035156e-05,3.480712,1579.6997,30.0,1.0
7.247925e-05,7.1525574e-05,3.4807014,1579.6877,31.0,1.0
