complexity,accuracy,distortion,mse,round,trial
7.1525574e-05,8.583069e-06,3.4807634,1666.4984,0.0,1.0
0.00014305115,1.7166138e-05,3.4807549,1666.4966,1.0,1.0
0.00092315674,0.000111579895,3.4806604,1666.4769,2.0,1.0
0.006307602,0.00076675415,3.4800053,1666.3407,3.0,1.0
0.043227196,0.005373955,3.475398,1665.3723,4.0,1.0
0.29440212,0.04226494,3.438507,1656.8245,5.0,1.0
1.7497339,0.42786407,3.052908,1525.7899,6.0,1.0
4.466548,1.7669525,1.7138195,996.9196,7.0,1.0
5.6037097,2.5824146,0.8983574,646.48285,8.0,1.0
6.0268373,2.9189682,0.5618038,443.46362,9.0,1.0
6.2160482,3.0870008,0.39377117,330.8145,10.0,1.0
6.2982244,3.1618423,0.31892967,283.92807,11.0,1.0
6.334468,3.194646,0.28612614,253.47995,12.0,1.0
6.3546944,3.2126036,0.26816845,241.26195,13.0,1.0
6.3621874,3.2189693,0.26180267,236.00656,14.0,1.0
6.3659506,3.2227163,0.2580557,230.27289,15.0,1.0
6.3686676,3.2254353,0.25533676,227.87868,16.0,1.0
6.368759,3.225525,0.25524712,227.8433,17.0,1.0
0.0071411133,0.0008573532,3.4799156,1666.3246,0.0,2.0
0.014140129,0.0016803741,3.4790926,1666.2256,1.0,2.0
0.09078407,0.011191368,3.4695816,1664.7845,2.0,2.0
0.58966637,0.09058857,3.3901844,1651.9211,3.0,2.0
2.6557522,0.71536446,2.7654085,1512.4221,4.0,2.0
4.8695354,1.9583092,1.5224638,1100.0306,5.0,2.0
5.8273087,2.7379446,0.74282837,695.7334,6.0,2.0
6.197312,3.0741482,0.4066248,458.54727,7.0,2.0
6.3418403,3.2048864,0.27588654,355.19464,8.0,2.0
6.392888,3.2501144,0.23065853,323.17456,9.0,2.0
6.411054,3.2629414,0.21783161,306.3626,10.0,2.0
6.4239216,3.2726898,0.20808315,295.29428,11.0,2.0
6.4253726,3.2740088,0.20676422,293.78183,12.0,2.0
6.425853,3.2744884,0.20628452,292.22488,13.0,2.0
6.426585,3.275219,0.20555401,289.80634,14.0,2.0
6.4277983,3.276433,0.20433998,285.71497,15.0,2.0
6.430025,3.2786598,0.20211315,278.01813,16.0,2.0
6.434416,3.2830505,0.19772243,262.61145,17.0,2.0
6.4411316,3.2897663,0.19100666,241.70784,18.0,2.0
6.4438133,3.292447,0.18832588,236.25182,19.0,2.0
6.4438562,3.292492,0.18828106,236.20999,20.0,2.0
0.6789961,0.114572525,3.3661995,1641.2825,0.0,3.0
1.2749538,0.26337242,3.2173996,1607.8959,1.0,3.0
3.9031105,1.3997478,2.0810242,1251.9839,2.0,3.0
