complexity,accuracy,distortion,mse,round,trial
7.247925e-05,3.8146973e-06,1.9178619,1650.6094,0.0,1.0
6.67572e-06,5.722046e-06,1.91786,1650.607,1.0,1.0
2.0980835e-05,1.8119812e-05,1.9178476,1650.5863,2.0,1.0
0.00011253357,9.8228455e-05,1.9177675,1650.4537,3.0,1.0
0.0006389618,0.0005760193,1.9172897,1649.6113,4.0,1.0
0.0037345886,0.0034275055,1.9144382,1644.297,5.0,1.0
0.021930695,0.020311356,1.8975544,1611.8628,6.0,1.0
0.11810398,0.10972786,1.8081379,1444.61,7.0,1.0
0.43862915,0.40380478,1.514061,979.34717,8.0,1.0
0.87704563,0.78759193,1.1302738,538.24664,9.0,1.0
1.185915,1.0375843,0.88028145,340.16006,10.0,1.0
1.3452816,1.1551876,0.76267815,277.24768,11.0,1.0
1.4209509,1.2069426,0.7109232,255.80772,12.0,1.0
1.4584045,1.2315168,0.6863489,246.82877,13.0,1.0
1.4778538,1.2439919,0.6738739,242.5755,14.0,1.0
1.4882364,1.2505541,0.66731167,240.45924,15.0,1.0
1.4939461,1.2541246,0.6637411,239.36697,16.0,1.0
1.4971952,1.2561398,0.661726,238.7796,17.0,1.0
1.4990997,1.2573185,0.66054726,238.44887,18.0,1.0
1.5002308,1.2580223,0.65984344,238.25455,19.0,1.0
1.5008917,1.2584438,0.6594219,238.13737,20.0,1.0
1.5012493,1.2586813,0.65918446,238.06734,21.0,1.0
1.5014048,1.2587996,0.6590662,238.02826,22.0,1.0
1.5014229,1.2588348,0.6590309,238.01047,23.0,1.0
1.5013475,1.2588129,0.65905285,238.00752,24.0,1.0
1.501215,1.2587538,0.659112,238.0145,25.0,1.0
1.5010462,1.2586756,0.6591902,238.02773,26.0,1.0
1.500865,1.2585859,0.6592798,238.04433,27.0,1.0
1.5006838,1.2584944,0.6593714,238.06229,28.0,1.0
1.5005074,1.2584047,0.659461,238.08022,29.0,1.0
1.5003443,1.2583199,0.6595459,238.09724,30.0,1.0
1.5001974,1.2582445,0.65962124,238.11281,31.0,1.0
1.5000668,1.2581749,0.65969086,238.12671,32.0,1.0
1.4999504,1.2581177,0.6597481,238.13885,33.0,1.0
1.4998493,1.2580662,0.6597996,238.14928,34.0,1.0
1.4997616,1.2580204,0.65984535,238.15811,35.0,1.0
1.4996881,1.2579823,0.6598835,238.16542,36.0,1.0
1.4996271,1.2579527,0.65991306,238.17139,37.0,1.0
1.4995747,1.257925,0.6599407,238.1761,38.0,1.0
1.4995308,1.257905,0.65996075,238.17978,39.0,1.0
1.4994965,1.2578888,0.65997696,238.18248,40.0,1.0
1.499466,1.2578745,0.65999126,238.1844,41.0,1.0
1.4994421,1.257865,0.6600008,238.18568,42.0,1.0
1.499423,1.2578554,0.66001034,238.18645,43.0,1.0
1.4994059,1.2578497,0.66001606,238.18692,44.0,1.0
1.4993916,1.257843,0.66002274,238.18729,45.0,1.0
1.4993763,1.2578382,0.6600275,238.18762,46.0,1.0
1.499363,1.2578335,0.6600323,238.18806,47.0,1.0
1.4993515,1.2578278,0.660038,238.18861,48.0,1.0
1.4993382,1.2578211,0.66004467,238.18924,49.0,1.0
1.4993267,1.2578173,0.6600485,238.18993,50.0,1.0
1.4993162,1.2578115,0.6600542,238.19061,51.0,1.0
1.4993029,1.2578087,0.66005707,238.1913,52.0,1.0
1.4992933,1.257802,0.66006374,238.19197,53.0,1.0
1.4992847,1.2577991,0.6600666,238.1926,54.0,1.0
1.4992762,1.2577953,0.6600704,238.19324,55.0,1.0
1.4992676,1.2577925,0.6600733,238.1938,56.0,1.0
1.4992609,1.2577906,0.6600752,238.19435,57.0,1.0
1.4992533,1.2577868,0.660079,238.19485,58.0,1.0
1.4992466,1.257782,0.6600838,238.19537,59.0,1.0
1.4992399,1.2577801,0.6600857,238.19588,60.0,1.0
1.4992352,1.2577772,0.66008854,238.1964,61.0,1.0
1.4992304,1.2577753,0.66009045,238.19687,62.0,1.0
1.4992247,1.2577753,0.66009045,238.1974,63.0,1.0
1.4992199,1.2577724,0.6600933,238.1979,64.0,1.0
1.4992161,1.2577715,0.66009426,238.19843,65.0,1.0
1.4992104,1.2577686,0.6600971,238.19894,66.0,1.0
1.4992046,1.2577658,0.6601,238.19948,67.0,1.0
1.4991999,1.2577648,0.66010094,238.20004,68.0,1.0
1.4991951,1.257762,0.6601038,238.20062,69.0,1.0
1.4991913,1.257761,0.66010475,238.20122,70.0,1.0
1.4991875,1.2577591,0.66010666,238.20183,71.0,1.0
1.4991827,1.2577553,0.6601105,238.20244,72.0,1.0
1.4991789,1.2577534,0.6601124,238.20308,73.0,1.0
1.4991741,1.2577505,0.66011524,238.20374,74.0,1.0
1.4991684,1.2577477,0.6601181,238.20439,75.0,1.0
1.4991646,1.2577467,0.66011906,238.20508,76.0,1.0
1.4991589,1.2577438,0.6601219,238.20573,77.0,1.0
1.499156,1.2577419,0.6601238,238.20644,78.0,1.0
1.4991503,1.25774,0.66012573,238.20715,79.0,1.0
1.4991474,1.2577391,0.6601267,238.20787,80.0,1.0
1.4991426,1.2577362,0.66012955,238.20862,81.0,1.0
1.4991369,1.2577343,0.66013145,238.20932,82.0,1.0
1.4991331,1.2577314,0.6601343,238.21008,83.0,1.0
1.4991283,1.2577276,0.66013813,238.21082,84.0,1.0
1.4991226,1.2577257,0.66014004,238.21155,85.0,1.0
1.4991179,1.2577238,0.66014194,238.21231,86.0,1.0
1.499115,1.2577219,0.66014385,238.21307,87.0,1.0
1.4991093,1.257719,0.6601467,238.21384,88.0,1.0
1.4991055,1.2577152,0.6601505,238.21455,89.0,1.0
1.4991007,1.2577143,0.6601515,238.21533,90.0,1.0
1.4990969,1.2577133,0.66015244,238.21611,91.0,1.0
1.4990921,1.2577095,0.66015625,238.21686,92.0,1.0
1.4990883,1.2577076,0.66015816,238.21764,93.0,1.0
1.4990826,1.2577047,0.660161,238.21837,94.0,1.0
1.4990788,1.2577028,0.6601629,238.21913,95.0,1.0
1.499074,1.2577,0.6601658,238.21988,96.0,1.0
1.4990702,1.2576971,0.66016865,238.22061,97.0,1.0
1.4990654,1.2576952,0.66017056,238.22137,98.0,1.0
1.4990616,1.2576942,0.6601715,238.22212,99.0,1.0
1.4990578,1.2576923,0.6601734,238.22287,100.0,1.0
1.4990549,1.2576895,0.6601763,238.22359,101.0,1.0
1.4990501,1.2576866,0.66017914,238.2243,102.0,1.0
1.4990463,1.2576847,0.66018105,238.22504,103.0,1.0
1.4990416,1.2576828,0.66018295,238.22575,104.0,1.0
1.4990377,1.2576799,0.6601858,238.22644,105.0,1.0
1.4990339,1.2576771,0.6601887,238.22714,106.0,1.0
1.4990292,1.2576752,0.6601906,238.22787,107.0,1.0
1.4990253,1.2576723,0.66019344,238.22858,108.0,1.0
1.4990215,1.2576714,0.6601944,238.22925,109.0,1.0
1.4990158,1.2576694,0.6601963,238.22993,110.0,1.0
1.4990139,1.2576666,0.66019917,238.2306,111.0,1.0
1.499011,1.2576656,0.6602001,238.23128,112.0,1.0
1.4990072,1.2576637,0.660202,238.23193,113.0,1.0
1.4990034,1.2576618,0.66020393,238.23259,114.0,1.0
1.4989996,1.2576599,0.66020584,238.23323,115.0,1.0
1.4989958,1.2576561,0.66020966,238.23387,116.0,1.0
1.498992,1.2576561,0.66020966,238.23453,117.0,1.0
1.4989882,1.2576513,0.6602144,238.23515,118.0,1.0
1.4989843,1.2576513,0.6602144,238.2358,119.0,1.0
1.4989815,1.2576485,0.6602173,238.23639,120.0,1.0
1.4989796,1.2576485,0.6602173,238.23701,121.0,1.0
1.4989748,1.2576456,0.66022015,238.23761,122.0,1.0
1.4989719,1.2576447,0.6602211,238.23819,123.0,1.0
1.4989691,1.2576418,0.66022396,238.23878,124.0,1.0
1.4989662,1.2576408,0.6602249,238.23933,125.0,1.0
1.4989614,1.2576408,0.6602249,238.23994,126.0,1.0
1.4989595,1.257638,0.6602278,238.24048,127.0,1.0
1.4989557,1.2576361,0.6602297,238.24106,128.0,1.0
1.4989529,1.2576342,0.6602316,238.2416,129.0,1.0
1.498951,1.2576313,0.66023445,238.24216,130.0,1.0
1.4989481,1.2576313,0.66023445,238.24269,131.0,1.0
1.4989443,1.2576294,0.66023636,238.24321,132.0,1.0
1.4989424,1.2576284,0.6602373,238.24373,133.0,1.0
1.4989386,1.2576237,0.6602421,238.24426,134.0,1.0
1.4989347,1.2576237,0.6602421,238.24478,135.0,1.0
1.4989338,1.2576237,0.6602421,238.24529,136.0,1.0
1.4989309,1.2576208,0.66024494,238.24577,137.0,1.0
1.4989271,1.2576199,0.6602459,238.24625,138.0,1.0
1.4989262,1.2576189,0.66024685,238.24675,139.0,1.0
1.4989214,1.257617,0.66024876,238.24722,140.0,1.0
1.4989204,1.2576151,0.66025066,238.24767,141.0,1.0
1.4989176,1.2576141,0.6602516,238.24817,142.0,1.0
1.4989147,1.2576103,0.66025543,238.24861,143.0,1.0
1.49891,1.2576103,0.66025543,238.24907,144.0,1.0
1.49891,1.2576103,0.66025543,238.2495,145.0,1.0
1.4989071,1.2576065,0.66025925,238.24995,146.0,1.0
1.4989052,1.2576065,0.66025925,238.25038,147.0,1.0
1.4989033,1.2576065,0.66025925,238.25084,148.0,1.0
1.4989004,1.2576036,0.6602621,238.25127,149.0,1.0
1.4988985,1.2576036,0.6602621,238.25168,150.0,1.0
1.4988956,1.2576017,0.660264,238.25209,151.0,1.0
1.4988937,1.2576008,0.66026497,238.25249,152.0,1.0
1.4988909,1.2575998,0.6602659,238.2529,153.0,1.0
1.498888,1.2575989,0.6602669,238.25328,154.0,1.0
1.4988871,1.2575979,0.66026783,238.25368,155.0,1.0
1.4988852,1.257596,0.66026974,238.25406,156.0,1.0
1.4988832,1.2575951,0.6602707,238.25444,157.0,1.0
