complexity,accuracy,distortion,mse,round,trial
7.1525574e-05,9.536743e-07,0.5661535,1666.4987,0.0,1.0
0.0001411438,9.536743e-07,0.5661535,1666.4965,1.0,1.0
0.0009212494,9.536743e-06,0.56614494,1666.4752,2.0,1.0
0.0063199997,4.9591064e-05,0.5661049,1666.3289,3.0,1.0
0.043510437,0.00036239624,0.5657921,1665.2878,4.0,1.0
0.29892159,0.0029258728,0.5632286,1656.794,5.0,1.0
1.808281,0.03701687,0.5291376,1545.6501,6.0,1.0
4.630883,0.21566868,0.3504858,1001.61945,7.0,1.0
5.7954865,0.36816692,0.19798756,579.78253,8.0,1.0
6.139444,0.43265438,0.1335001,404.5799,9.0,1.0
6.2966623,0.46441936,0.101735115,321.76773,10.0,1.0
6.3728104,0.47725296,0.08890152,294.50888,11.0,1.0
6.401759,0.4823494,0.083805084,286.29703,12.0,1.0
6.4155407,0.4860325,0.080121994,281.4071,13.0,1.0
6.420809,0.485404,0.080750465,288.45132,14.0,1.0
6.425025,0.48451138,0.081643105,292.95358,15.0,1.0
6.425821,0.48456,0.08159447,292.9179,16.0,1.0
6.4261146,0.48469734,0.08145714,292.51645,17.0,1.0
6.426527,0.4848938,0.08126068,291.9461,18.0,1.0
6.4271436,0.48518753,0.08096695,291.0852,19.0,1.0
6.4281397,0.48566628,0.080488205,289.6756,20.0,1.0
6.429915,0.4865284,0.07962608,287.11307,21.0,1.0
6.4334064,0.48825645,0.077898026,281.99884,22.0,1.0
6.4395905,0.4913187,0.07483578,273.56442,23.0,1.0
6.443659,0.4930935,0.07306099,269.62753,24.0,1.0
6.4438562,0.4931488,0.073005676,269.52997,25.0,1.0
0.006955147,5.340576e-05,0.5661011,1666.3243,0.0,2.0
0.013814926,9.346008e-05,0.566061,1666.2009,1.0,2.0
0.08995819,0.00065231323,0.56550217,1664.4485,2.0,2.0
0.60072136,0.0061473846,0.5600071,1647.0947,3.0,2.0
2.8701725,0.07540989,0.4907446,1418.1361,4.0,2.0
5.0939503,0.24548912,0.32066536,887.603,5.0,2.0
5.8354626,0.35531998,0.2108345,571.8275,6.0,2.0
6.0977325,0.41239166,0.15376282,407.12067,7.0,2.0
6.2349815,0.44270515,0.123449326,329.46936,8.0,2.0
6.3035026,0.45575333,0.11040115,296.79834,9.0,2.0
6.33398,0.46412277,0.10203171,273.8891,10.0,2.0
6.3580594,0.47251987,0.093634605,250.84686,11.0,2.0
6.378815,0.47653484,0.08961964,242.46716,12.0,2.0
6.3835964,0.4769535,0.08920097,241.73055,13.0,2.0
6.3838573,0.4769659,0.089188576,241.71,14.0,2.0
0.68812275,0.008997917,0.55715656,1636.7954,0.0,3.0
1.3265715,0.025670052,0.5404844,1581.7421,1.0,3.0
4.1191883,0.19072819,0.3754263,1043.5742,2.0,3.0
5.660743,0.3740387,0.19211578,520.54565,3.0,3.0
