complexity,accuracy,distortion,mse,round,run
7.247925e-05,1.9073486e-06,0.5661526,1579.7717,0.0,1.0
8.010864e-05,1.9073486e-06,0.5661526,1579.7708,1.0,1.0
0.00015258789,7.6293945e-06,0.56614685,1579.7615,2.0,1.0
0.00054836273,4.196167e-05,0.5661125,1579.6981,3.0,1.0
0.0027942657,0.00028324127,0.56587124,1579.2645,4.0,1.0
0.01606083,0.0019197464,0.56423473,1576.3037,5.0,1.0
0.09523773,0.013021469,0.553133,1556.3667,6.0,1.0
0.5284672,0.0821228,0.48403168,1436.4716,7.0,1.0
1.8761921,0.31355476,0.25259972,1068.0441,8.0,1.0
3.0787678,0.504611,0.061543465,780.25665,9.0,1.0
3.597868,0.55183506,0.01431942,712.2864,10.0,1.0
3.8783922,0.5610323,0.0051221848,698.3712,11.0,1.0
4.076645,0.5637865,0.0023679733,694.5918,12.0,1.0
4.230591,0.5645008,0.0016536713,693.76764,13.0,1.0
4.357705,0.5647745,0.0013799667,693.49475,14.0,1.0
4.466977,0.56495667,0.0011978149,693.3232,15.0,1.0
4.5632505,0.56509495,0.0010595322,693.1952,16.0,1.0
4.6491585,0.5652056,0.00094890594,693.09515,17.0,1.0
4.726384,0.56529427,0.00086021423,693.0146,18.0,1.0
4.7962418,0.56537056,0.0007839203,692.948,19.0,1.0
4.8597383,0.5654316,0.00072288513,692.892,20.0,1.0
4.91758,0.56548595,0.0006685257,692.8444,21.0,1.0
4.9702845,0.56553173,0.0006227493,692.80383,22.0,1.0
5.0183043,0.5655699,0.00058460236,692.76904,23.0,1.0
5.0620847,0.5656023,0.00055217743,692.73926,24.0,1.0
5.1020727,0.5656309,0.0005235672,692.71356,25.0,1.0
5.1386986,0.5656557,0.00049877167,692.69135,26.0,1.0
5.1723647,0.5656748,0.00047969818,692.67194,27.0,1.0
5.2034264,0.56569386,0.0004606247,692.655,28.0,1.0
5.2321873,0.56571007,0.00044441223,692.6402,29.0,1.0
5.2589145,0.5657244,0.00043010712,692.627,30.0,1.0
5.283828,0.5657377,0.00041675568,692.615,31.0,1.0
5.307116,0.5657482,0.00040626526,692.6043,32.0,1.0
5.328943,0.56575966,0.00039482117,692.5945,33.0,1.0
5.349454,0.5657692,0.00038528442,692.58545,34.0,1.0
5.368786,0.56577873,0.00037574768,692.5771,35.0,1.0
5.387063,0.56578636,0.0003681183,692.5692,36.0,1.0
5.4044027,0.565794,0.0003604889,692.5619,37.0,1.0
5.420916,0.56580067,0.00035381317,692.555,38.0,1.0
5.4367023,0.56580925,0.0003452301,692.54834,39.0,1.0
5.45185,0.56581306,0.0003414154,692.54205,40.0,1.0
5.466442,0.56581974,0.00033473969,692.5361,41.0,1.0
5.4805517,0.56582546,0.00032901764,692.53033,42.0,1.0
5.494237,0.56583214,0.00032234192,692.52484,43.0,1.0
5.5075545,0.5658369,0.00031757355,692.5194,44.0,1.0
5.520547,0.5658407,0.00031375885,692.51434,45.0,1.0
5.533257,0.56584454,0.00030994415,692.5092,46.0,1.0
5.5457196,0.56585026,0.0003042221,692.50446,47.0,1.0
5.5579624,0.5658541,0.0003004074,692.4998,48.0,1.0
5.5700126,0.56585884,0.00029563904,692.4952,49.0,1.0
5.5818915,0.56586266,0.00029182434,692.4907,50.0,1.0
5.5936217,0.5658674,0.00028705597,692.4864,51.0,1.0
5.6052146,0.5658703,0.00028419495,692.4821,52.0,1.0
5.6166906,0.56587505,0.00027942657,692.4779,53.0,1.0
5.6280575,0.5658779,0.00027656555,692.4737,54.0,1.0
5.63933,0.5658817,0.00027275085,692.46967,55.0,1.0
5.650512,0.56588745,0.0002670288,692.46576,56.0,1.0
5.6616116,0.5658903,0.0002641678,692.46185,57.0,1.0
5.672633,0.5658932,0.00026130676,692.45807,58.0,1.0
5.6835823,0.565897,0.00025749207,692.4543,59.0,1.0
5.694455,0.56589985,0.00025463104,692.45056,60.0,1.0
5.705256,0.5659027,0.00025177002,692.44696,61.0,1.0
