complexity,accuracy,distortion,mse,round,run
7.05719e-05,9.536743e-07,0.5661535,1579.7716,0.0,1.0
0.00014400482,9.536743e-07,0.5661535,1579.7709,1.0,1.0
0.00092983246,6.67572e-06,0.5661478,1579.7621,2.0,1.0
0.0063705444,4.386902e-05,0.5661106,1579.7017,3.0,1.0
0.043634415,0.0003004074,0.5658541,1579.2805,4.0,1.0
0.29532528,0.00233078,0.5638237,1575.9438,5.0,1.0
1.7256899,0.02558899,0.5405655,1537.9067,6.0,1.0
4.4821854,0.16153145,0.40462303,1317.3835,7.0,1.0
5.682494,0.33026314,0.23589134,1054.0289,8.0,1.0
6.0990214,0.41417122,0.15198326,933.67633,9.0,1.0
6.2591734,0.44615364,0.12000084,888.433,10.0,1.0
6.3411827,0.46928596,0.096868515,849.02673,11.0,1.0
6.3772726,0.48089314,0.085261345,831.1079,12.0,1.0
6.389195,0.486063,0.08009148,822.95386,13.0,1.0
6.393175,0.48804092,0.078113556,819.2658,14.0,1.0
6.398186,0.49116993,0.07498455,813.18616,15.0,1.0
6.403248,0.4940672,0.07208729,808.481,16.0,1.0
6.4038563,0.4943161,0.07183838,808.1629,17.0,1.0
0.0067768097,4.673004e-05,0.56610775,1579.6954,0.0,2.0
0.014058113,0.00010585785,0.5660486,1579.5911,1.0,2.0
0.09170246,0.0007286072,0.5654259,1578.5192,2.0,2.0
0.61138725,0.006187439,0.55996704,1569.2284,3.0,2.0
2.8890228,0.07660866,0.48954582,1447.8207,4.0,2.0
5.1298018,0.26969433,0.29646015,1138.5889,5.0,2.0
5.9113426,0.39783096,0.16832352,943.7277,6.0,2.0
6.1613383,0.45121193,0.11494255,865.9478,7.0,2.0
6.2613525,0.4691925,0.096961975,839.69293,8.0,2.0
6.315234,0.4835348,0.08261967,813.9788,9.0,2.0
6.3498964,0.49423504,0.07191944,797.4987,10.0,2.0
6.3615417,0.4967594,0.069395065,793.9484,11.0,2.0
6.364813,0.49739456,0.06875992,792.94867,12.0,2.0
6.370373,0.49858665,0.067567825,791.0603,13.0,2.0
6.37906,0.5004091,0.06574535,788.2791,14.0,2.0
6.384431,0.5015831,0.06457138,786.4175,15.0,2.0
6.389229,0.5030842,0.0630703,783.85645,16.0,2.0
6.3950996,0.5047083,0.06144619,781.2912,17.0,2.0
6.396303,0.5049257,0.061228752,780.9774,18.0,2.0
6.396308,0.50492764,0.061226845,780.9769,19.0,2.0
0.67313766,0.0070114136,0.55914307,1567.4835,0.0,3.0
1.2708988,0.016022682,0.5501318,1552.0679,1.0,3.0
3.9198637,0.13616943,0.42998505,1347.2318,2.0,3.0
5.532243,0.3184433,0.24771118,1065.814,3.0,3.0
6.0402555,0.39958763,0.16656685,949.50006,4.0,3.0
6.2241125,0.43955612,0.12659836,890.454,5.0,3.0
6.3363056,0.4693489,0.09680557,845.77136,6.0,3.0
6.389633,0.48581886,0.08033562,819.8089,7.0,3.0
6.4148445,0.49473858,0.0714159,805.6083,8.0,3.0
6.423971,0.4970913,0.06906319,802.3714,9.0,3.0
6.4245157,0.49716854,0.06898594,802.2597,10.0,3.0
6.4245725,0.49719524,0.068959236,802.2149,11.0,3.0
6.424638,0.49722576,0.06892872,802.1627,12.0,3.0
6.424715,0.49726105,0.06889343,802.1012,13.0,3.0
6.4248075,0.49730492,0.06884956,802.02795,14.0,3.0
6.424918,0.4973564,0.068798065,801.9389,15.0,3.0
6.4250555,0.4974203,0.06873417,801.8289,16.0,3.0
6.425229,0.49750233,0.06865215,801.68945,17.0,3.0
6.425453,0.49760628,0.0685482,801.50793,18.0,3.0
6.4257555,0.49774837,0.068406105,801.2628,19.0,3.0
6.4261775,0.49794674,0.06820774,800.9159,20.0,3.0
6.4268064,0.4982443,0.067910194,800.3944,21.0,3.0
6.427816,0.49872684,0.067427635,799.54395,22.0,3.0
6.429607,0.49959183,0.06656265,798.0045,23.0,3.0
6.4331064,0.5013132,0.06484127,794.9386,24.0,3.0
6.4393396,0.5043678,0.06178665,789.8111,25.0,3.0
6.4436255,0.5062046,0.059949875,787.2859,26.0,3.0
6.443857,0.50626755,0.059886932,787.21564,27.0,3.0
5.509055,0.31908035,0.24707413,1074.7845,0.0,4.0
5.4307313,0.3129034,0.25325108,1079.5872,1.0,4.0
5.849003,0.40347576,0.16267872,933.6774,2.0,4.0
6.0736504,0.4288807,0.13727379,906.49396,3.0,4.0
6.134015,0.4397068,0.12644768,891.6748,4.0,4.0
6.151264,0.44161415,0.12454033,888.9732,5.0,4.0
6.153698,0.44166565,0.12448883,888.913,6.0,4.0
6.153721,0.44166946,0.124485016,888.9109,7.0,4.0
6.153741,0.44167042,0.12448406,888.90765,8.0,4.0
