complexity,accuracy
3.753107,3.6579466
3.7526321,3.6575375
3.7533236,3.6581287
3.7516222,3.656642
3.752843,3.6577072
3.7528915,3.6577606
3.7529402,3.6578045
3.7524004,3.6573343
3.752715,3.657607
3.7524738,3.6573925
3.7530937,3.6579294
3.753436,3.6582327
3.7531948,3.6580124
3.753047,3.657899
3.7529526,3.6578035
3.7523584,3.6572847
3.7520447,3.6570148
3.7528896,3.6577606
3.7530375,3.6578856
3.7529354,3.657793
3.7523556,3.6572876
3.7526646,3.6575537
3.7521982,3.6571503
3.7531338,3.6579704
3.753335,3.658142
3.7517347,3.6567526
3.7533016,3.6581125
3.7526493,3.6575384
3.7527437,3.6576252
3.7527657,3.657648
3.752593,3.6575022
3.752922,3.6577835
3.7531042,3.6579466
3.7531881,3.658022
3.7523365,3.6572666
3.7521992,3.6571474
3.753315,3.6581278
3.7532015,3.6580276
3.752756,3.6576338
3.7522697,3.6572037
3.7524624,3.6573744
3.752718,3.6576033
3.7523727,3.6573057
3.751608,3.65662
3.7531815,3.6580076
3.7514687,3.6565037
3.7530632,3.657898
3.7516956,3.656723
3.7525816,3.657486
3.7524557,3.6573715
3.7531252,3.6579542
3.7519026,3.65689
3.7529354,3.6577978
3.7526884,3.6575823
3.7522116,3.6571703
3.7527065,3.6575966
3.751996,3.6569786
3.75276,3.6576443
3.752325,3.6572657
3.7528152,3.657692
3.752509,3.657424
3.752637,3.6575375
3.7510557,3.6561346
3.753004,3.657855
3.7522392,3.6571846
3.7522526,3.6571875
3.75179,3.656784
3.7523909,3.6573095
3.7528477,3.6577072
3.7521563,3.6571198
3.7526045,3.6575031
3.7525358,3.657444
3.7527905,3.657668
3.7528048,3.6576805
3.7517567,3.656767
3.7528324,3.6577053
3.751813,3.6568127
3.752325,3.6572542
3.7525387,3.6574545
3.7532473,3.6580687
3.7520008,3.6569786
3.752533,3.6574335
3.753005,3.6578503
3.7515259,3.6565533
3.752695,3.6575766
3.7522335,3.6571922
3.7520971,3.6570635
3.7522755,3.6572208
3.7530375,3.6578913
3.7524672,3.6573868
3.7525206,3.657421
3.7521582,3.6571112
3.752365,3.657298
3.751711,3.6567297
3.7528963,3.6577644
3.7521496,3.6571054
3.7522907,3.6572247
3.7516003,3.6566286
3.7509403,3.656044
3.7521782,3.6571293
