complexity,accuracy
5.806863,4.3186703
5.806863,4.318671
5.806863,4.318671
5.806863,4.3186703
5.806863,4.318671
5.8068633,4.318671
5.806862,4.318671
5.806863,4.318671
5.806863,4.3186703
5.806863,4.318672
5.806863,4.3186703
5.806863,4.3186703
5.257557,3.7767467
5.257557,3.7767477
5.257557,3.7767467
5.257556,3.7767467
5.257557,3.7767477
5.257556,3.7767467
5.257557,3.7767477
5.257557,3.7767477
5.257556,3.7767467
5.2575564,3.7767467
5.257556,3.7767477
5.257555,3.7767467
5.700393,4.1839924
5.700393,4.1839914
5.700393,4.1839933
5.700393,4.1839924
5.700393,4.1839914
5.700394,4.1839924
5.700393,4.1839933
5.7003937,4.1839933
5.700394,4.1839933
5.700393,4.1839914
5.700393,4.1839914
5.700394,4.1839924
5.3084574,3.8178825
5.3084574,3.8178825
5.3084574,3.8178825
5.3084574,3.8178825
5.308457,3.8178835
5.3084574,3.8178825
5.3084574,3.8178835
5.3084574,3.8178825
5.3084574,3.8178825
5.3084574,3.8178825
5.3084574,3.8178835
5.3084574,3.8178835
5.3120885,3.8210468
5.312089,3.8210459
5.312089,3.8210468
5.3120885,3.8210468
5.312088,3.8210468
5.312089,3.8210468
5.312089,3.8210468
5.312089,3.8210468
5.3120885,3.8210468
5.3120885,3.8210459
5.3120885,3.8210468
5.312089,3.8210459
5.7724295,4.2446995
5.772429,4.2446995
5.772431,4.2446995
5.772429,4.2446995
5.7724304,4.2447004
5.77243,4.2446995
5.77243,4.2447004
5.77243,4.2446985
5.7724304,4.2446995
5.7724304,4.2447004
5.772429,4.2447004
5.7724295,4.2446976
5.353324,3.8696022
5.353324,3.8696012
5.353324,3.8696012
5.353324,3.8696032
5.353324,3.8696022
5.353324,3.8696022
5.353323,3.8696022
5.353324,3.8696012
5.353324,3.8696022
5.353324,3.8696012
5.353324,3.8696012
5.353324,3.8696012
5.6589975,4.1515923
5.658998,4.1515923
5.658998,4.1515913
5.658997,4.1515913
5.6589975,4.1515923
5.6589975,4.1515923
5.6589975,4.1515903
5.658998,4.1515913
5.6589975,4.1515923
5.6589975,4.1515913
5.6589975,4.1515923
5.658997,4.1515913
