complexity,accuracy
5.7959156,4.2848263
5.7959156,4.2848263
5.7959156,4.2848263
5.7959156,4.2848244
5.795917,4.2848244
5.7959156,4.284827
5.7959156,4.2848244
5.7959156,4.2848244
5.7959156,4.2848263
5.7959156,4.2848263
5.7959156,4.2848263
5.7959156,4.284827
5.3564253,3.863451
5.3564253,3.863451
5.3564253,3.863451
5.3564253,3.863451
5.3564253,3.863451
5.3564253,3.863451
5.3564262,3.863451
5.3564253,3.86345
5.3564253,3.863451
5.3564253,3.863451
5.3564253,3.863451
5.3564253,3.863451
5.733712,4.2184296
5.733712,4.2184296
5.7337112,4.2184296
5.733712,4.2184296
5.733712,4.2184296
5.733712,4.2184286
5.733712,4.2184296
5.733712,4.2184305
5.733712,4.2184296
5.733712,4.2184296
5.7337112,4.2184296
5.733712,4.2184286
5.443937,3.9454699
5.4439383,3.945468
5.4439373,3.945468
5.4439373,3.945469
5.4439373,3.945468
5.443937,3.945468
5.4439373,3.945468
5.4439383,3.945468
5.4439373,3.945469
5.4439373,3.9454699
5.4439373,3.945468
5.443937,3.945468
5.678248,4.1736193
5.6782475,4.1736193
5.678248,4.1736193
5.678248,4.1736193
5.678248,4.1736193
5.678248,4.1736193
5.678248,4.1736193
5.678248,4.17362
5.678248,4.1736193
5.678248,4.1736193
5.678248,4.17362
5.678249,4.17362
5.7840185,4.271673
5.7840195,4.271674
5.7840185,4.271674
5.7840185,4.271674
5.7840185,4.271673
5.78402,4.271674
5.7840185,4.2716722
5.7840176,4.2716722
5.7840185,4.271674
5.7840185,4.2716722
5.7840195,4.271673
5.7840185,4.271674
5.6814327,4.1542273
5.6814337,4.1542263
5.6814337,4.1542263
5.6814337,4.1542273
5.6814337,4.1542263
5.6814337,4.1542273
5.6814346,4.1542273
5.6814337,4.1542273
5.6814337,4.1542253
5.6814337,4.1542263
5.6814337,4.1542263
5.6814337,4.1542253
5.56979,4.061905
5.56979,4.061905
5.56979,4.061905
5.56979,4.061906
5.56979,4.061906
5.56979,4.061905
5.56979,4.061905
5.56979,4.061906
5.56979,4.061907
5.56979,4.061905
5.56979,4.061906
5.56979,4.061905
