complexity,accuracy
5.147534,4.6372423
5.1475344,4.6372433
5.147535,4.637244
5.1475353,4.637244
5.147535,4.6372433
5.1475363,4.637244
5.147536,4.6372433
5.1475353,4.637244
5.1475363,4.637245
5.1475344,4.6372423
5.1475363,4.637245
5.1475363,4.637245
5.150576,4.6387568
5.150576,4.6387577
5.150576,4.6387568
5.150576,4.6387577
5.150576,4.6387577
5.150577,4.6387587
5.150578,4.6387596
5.150577,4.6387577
5.150577,4.6387568
5.1505766,4.6387577
5.150578,4.6387577
5.150576,4.6387577
5.1471376,4.637122
5.147137,4.637121
5.1471376,4.637122
5.147137,4.637122
5.1471376,4.637122
5.1471376,4.637122
5.1471376,4.637122
5.147138,4.637123
5.1471376,4.637123
5.147138,4.637122
5.1471376,4.637123
5.1471367,4.637121
5.1501536,4.6384935
5.1501536,4.6384935
5.150154,4.6384935
5.150153,4.6384935
5.150154,4.6384935
5.150153,4.6384945
5.1501527,4.6384926
5.1501536,4.6384935
5.150152,4.6384926
5.1501527,4.6384935
5.150153,4.6384935
5.150154,4.6384926
5.147049,4.636957
5.14705,4.636957
5.1470504,4.636958
5.147049,4.636957
5.1470504,4.636958
5.1470504,4.636959
5.1470504,4.636957
5.147051,4.636959
5.1470485,4.636958
5.1470494,4.636957
5.147049,4.636957
5.1470504,4.636958
5.151397,4.6391544
5.1513968,4.6391544
5.1513977,4.6391544
5.1513977,4.6391544
5.1513968,4.6391554
5.1513977,4.6391535
5.1513977,4.6391535
5.1513987,4.6391535
5.1513968,4.6391544
5.151398,4.6391535
5.1513968,4.6391535
5.151397,4.6391544
5.1515627,4.6391773
5.1515646,4.639179
5.1515636,4.6391773
5.1515636,4.6391783
5.1515636,4.6391783
5.1515636,4.6391773
5.1515636,4.6391773
5.1515627,4.6391773
5.1515636,4.6391773
5.1515646,4.6391783
5.1515646,4.6391783
5.1515646,4.6391783
5.147894,4.6374025
5.147894,4.6374025
5.147893,4.6374025
5.147894,4.6374025
5.147894,4.6374025
5.147893,4.6374025
5.1478934,4.6374025
5.147893,4.6374025
5.147893,4.6374025
5.147893,4.6374025
5.147894,4.6374025
5.147893,4.6374025
