complexity,accuracy,distortion,mse,round,trial
7.1525574e-05,2.9563904e-05,5.111641,1650.6099,0.0,1.0
6.67572e-06,4.7683716e-06,5.1116657,1650.6083,1.0,1.0
2.2888184e-05,2.193451e-05,5.1116486,1650.5936,2.0,1.0
0.00011253357,0.00011062622,5.11156,1650.4987,3.0,1.0
0.0006008148,0.00059890747,5.1110716,1649.8971,4.0,1.0
0.0033626556,0.003358841,5.1083117,1646.0829,5.0,1.0
0.019136429,0.019117355,5.092553,1622.4144,6.0,1.0
0.1038456,0.103746414,5.007924,1491.1545,7.0,1.0
0.42446518,0.42404652,4.687624,1043.1018,8.0,1.0
0.916419,0.9152899,4.1963806,542.6822,9.0,1.0
1.2187347,1.2168732,3.8947973,342.13818,10.0,1.0
1.3583488,1.3560019,3.7556686,279.4274,11.0,1.0
1.4261122,1.423482,3.6881886,256.72287,12.0,1.0
1.4611845,1.458395,3.6532755,246.70996,13.0,1.0
1.479722,1.4768467,3.6348238,242.47067,14.0,1.0
1.489789,1.486865,3.6248055,240.35233,15.0,1.0
1.4953861,1.4924326,3.619238,239.23611,16.0,1.0
1.4985371,1.4955692,3.6161013,238.63495,17.0,1.0
1.5003195,1.497345,3.6143255,238.30452,18.0,1.0
1.5013132,1.498333,3.6133375,238.1204,19.0,1.0
1.5018387,1.4988575,3.612813,238.01788,20.0,1.0
1.5020857,1.4991035,3.612567,237.96216,21.0,1.0
1.5021639,1.4991827,3.6124878,237.93378,22.0,1.0
1.502141,1.4991589,3.6125116,237.9216,23.0,1.0
1.5020542,1.4990749,3.6125956,237.91934,24.0,1.0
1.5019321,1.4989538,3.6127167,237.92337,25.0,1.0
1.5017853,1.4988089,3.6128616,237.93178,26.0,1.0
1.5016241,1.4986486,3.6130219,237.94331,27.0,1.0
1.5014563,1.4984818,3.6131887,237.9572,28.0,1.0
1.5012846,1.4983101,3.6133604,237.97258,29.0,1.0
1.5011148,1.4981441,3.6135263,237.98863,30.0,1.0
1.5009537,1.497982,3.6136885,238.00476,31.0,1.0
1.5007982,1.4978285,3.613842,238.02034,32.0,1.0
1.5006571,1.4976873,3.6139832,238.03505,33.0,1.0
1.5005264,1.4975586,3.614112,238.04866,34.0,1.0
1.5004091,1.4974413,3.6142292,238.06108,35.0,1.0
1.5003004,1.4973345,3.614336,238.07234,36.0,1.0
1.500205,1.4972382,3.6144323,238.08255,37.0,1.0
1.5001183,1.4971514,3.6145191,238.09177,38.0,1.0
1.5000381,1.4970751,3.6145954,238.10004,39.0,1.0
1.4999676,1.4970045,3.614666,238.10751,40.0,1.0
1.4999046,1.4969416,3.614729,238.11417,41.0,1.0
1.4998493,1.4968863,3.6147842,238.12003,42.0,1.0
1.4997997,1.4968376,3.6148329,238.12518,43.0,1.0
1.4997559,1.4967928,3.6148777,238.12967,44.0,1.0
1.4997168,1.4967575,3.614913,238.13354,45.0,1.0
1.4996853,1.4967232,3.6149473,238.13686,46.0,1.0
1.4996548,1.4966946,3.614976,238.13971,47.0,1.0
1.499629,1.4966698,3.6150007,238.14215,48.0,1.0
1.4996071,1.4966478,3.6150227,238.14423,49.0,1.0
1.4995899,1.4966278,3.6150427,238.14597,50.0,1.0
1.4995708,1.4966106,3.6150599,238.14748,51.0,1.0
1.4995556,1.4965954,3.615075,238.1488,52.0,1.0
1.4995422,1.496582,3.6150885,238.14992,53.0,1.0
1.4995317,1.4965715,3.615099,238.15092,54.0,1.0
1.4995213,1.4965601,3.6151104,238.15182,55.0,1.0
1.4995108,1.4965515,3.615119,238.15257,56.0,1.0
1.4995031,1.496541,3.6151295,238.15332,57.0,1.0
1.4994936,1.4965353,3.6151352,238.15396,58.0,1.0
1.499486,1.4965258,3.6151447,238.15462,59.0,1.0
1.4994802,1.49652,3.6151505,238.15523,60.0,1.0
1.4994726,1.4965134,3.6151571,238.15587,61.0,1.0
1.499464,1.4965067,3.6151638,238.15643,62.0,1.0
1.4994602,1.4965,3.6151705,238.15706,63.0,1.0
1.4994545,1.4964943,3.6151762,238.15765,64.0,1.0
1.4994469,1.4964886,3.615182,238.15828,65.0,1.0
1.4994421,1.4964828,3.6151876,238.15892,66.0,1.0
1.4994354,1.4964762,3.6151943,238.15959,67.0,1.0
1.4994297,1.4964695,3.615201,238.16023,68.0,1.0
1.4994249,1.4964657,3.6152048,238.16089,69.0,1.0
1.4994192,1.49646,3.6152105,238.16162,70.0,1.0
1.4994125,1.4964552,3.6152153,238.16235,71.0,1.0
1.4994068,1.4964476,3.615223,238.1631,72.0,1.0
