complexity,accuracy,distortion,mse,round,trial
7.247925e-05,7.1525574e-05,6.6437845,1664.726,0.0,1.0
1.1444092e-05,1.04904175e-05,6.6438456,1664.7255,1.0,1.0
1.04904175e-05,1.1444092e-05,6.6438446,1664.7195,2.0,1.0
2.002716e-05,2.0980835e-05,6.643835,1664.6974,3.0,1.0
5.340576e-05,5.2452087e-05,6.6438036,1664.6234,4.0,1.0
0.00015830994,0.00015735626,6.6436987,1664.3881,5.0,1.0
0.00047397614,0.00047302246,6.643383,1663.6732,6.0,1.0
0.0013875961,0.0013866425,6.6424694,1661.5898,7.0,1.0
0.0039510727,0.0039520264,6.639904,1655.7507,8.0,1.0
0.0108680725,0.0108680725,6.632988,1640.0598,9.0,1.0
0.028657913,0.028658867,6.615197,1600.2562,10.0,1.0
0.07101822,0.07101822,6.572838,1508.6921,11.0,1.0
0.1589613,0.15896034,6.4848957,1331.934,12.0,1.0
0.30507374,0.30507374,6.3387823,1073.7299,13.0,1.0
0.48783684,0.48783875,6.1560173,806.99194,14.0,1.0
0.6651497,0.6651497,5.9787064,604.4835,15.0,1.0
0.8141556,0.8141556,5.8297005,474.8228,16.0,1.0
0.9351778,0.93517685,5.708679,393.55008,17.0,1.0
1.0355864,1.0355864,5.6082697,339.2426,18.0,1.0
1.1215258,1.1215267,5.5223293,299.93634,19.0,1.0
1.1967688,1.1967688,5.4470873,269.6833,20.0,1.0
1.2634287,1.2634315,5.3804245,245.49236,21.0,1.0
1.3227491,1.3227501,5.321106,225.73393,22.0,1.0
1.3755407,1.3755398,5.2683163,209.40977,23.0,1.0
1.4224434,1.4224434,5.2214127,195.83195,24.0,1.0
1.4640284,1.4640274,5.1798286,184.48367,25.0,1.0
1.5008335,1.5008345,5.1430216,174.95734,26.0,1.0
1.5333776,1.5333796,5.1104765,166.9246,27.0,1.0
1.5621424,1.5621414,5.0817146,160.1194,28.0,1.0
1.5875711,1.5875711,5.056285,154.32573,29.0,1.0
1.6100721,1.6100702,5.033786,149.36862,30.0,1.0
1.6300058,1.6300068,5.0138493,145.10608,31.0,1.0
1.6476955,1.6476955,4.9961605,141.42288,32.0,1.0
1.6634235,1.6634235,4.9804325,138.2253,33.0,1.0
