complexity,accuracy,distortion,mse,round,trial
7.1525574e-05,7.05719e-05,6.6437855,1666.4982,0.0,1.0
9.918213e-05,9.918213e-05,6.643757,1666.4967,1.0,1.0
0.0003490448,0.0003490448,6.643507,1666.4791,2.0,1.0
0.0017356873,0.0017356873,6.6421204,1666.3574,3.0,1.0
0.009710312,0.009710312,6.6341457,1665.5211,4.0,1.0
0.0573864,0.05738449,6.5864716,1659.7091,5.0,1.0
0.3428812,0.34288216,6.300974,1616.0696,6.0,1.0
1.6883125,1.6883106,4.9555454,1293.0887,7.0,1.0
3.8018036,3.8018036,2.8420525,581.6063,8.0,1.0
4.8295603,4.8295603,1.8142958,182.22954,9.0,1.0
5.259399,5.2593985,1.3844576,62.879547,10.0,1.0
5.503728,5.503728,1.1401281,34.746094,11.0,1.0
5.679509,5.679509,0.9643469,23.593023,12.0,1.0
5.821378,5.8213778,0.8224783,19.323778,13.0,1.0
5.9256144,5.9256144,0.7182417,16.878553,14.0,1.0
5.9988747,5.998875,0.6449809,14.161022,15.0,1.0
6.0535,6.0535007,0.5903554,9.319889,16.0,1.0
6.0977364,6.0977373,0.54611874,2.4438946,17.0,1.0
6.1301312,6.130131,0.5137253,0.29831445,18.0,1.0
6.1515503,6.1515503,0.49230576,0.2648075,19.0,1.0
6.1666784,6.1666784,0.47717762,0.25819102,20.0,1.0
6.1785774,6.178577,0.4652791,0.25260285,21.0,1.0
6.189064,6.189064,0.45479202,0.24738508,22.0,1.0
6.1984334,6.198433,0.44542313,0.24264586,23.0,1.0
6.2063165,6.206316,0.43754005,0.23865621,24.0,1.0
6.212534,6.2125344,0.43132162,0.23550355,25.0,1.0
6.217045,6.217045,0.42681122,0.23324543,26.0,1.0
6.219965,6.219965,0.42389107,0.23179287,27.0,1.0
6.221725,6.2217245,0.42213154,0.23085764,28.0,1.0
6.222804,6.2228045,0.4210515,0.2301856,29.0,1.0
6.2235317,6.223532,0.42032385,0.22963993,30.0,1.0
6.2240844,6.224084,0.41977215,0.22915977,31.0,1.0
6.224549,6.2245483,0.4193077,0.22871853,32.0,1.0
6.224967,6.2249665,0.41888952,0.22830327,33.0,1.0
6.2253594,6.225359,0.4184971,0.22790627,34.0,1.0
6.2257395,6.225739,0.41811705,0.22752151,35.0,1.0
6.2261124,6.2261133,0.41774273,0.22714333,36.0,1.0
6.2264886,6.226489,0.41736698,0.22676569,37.0,1.0
6.2268753,6.2268753,0.41698074,0.22638169,38.0,1.0
6.227283,6.2272835,0.41657257,0.22598276,39.0,1.0
6.2277255,6.2277255,0.41613054,0.22555801,40.0,1.0
6.228218,6.228218,0.41563797,0.22509314,41.0,1.0
6.2287884,6.228789,0.4150672,0.22456855,42.0,1.0
6.229474,6.2294745,0.4143815,0.22395702,43.0,1.0
