complexity,accuracy,distortion,mse,round,trial
7.05719e-05,6.9618225e-05,6.6437864,1666.4977,0.0,1.0
0.00013923645,0.00013923645,6.643717,1666.4954,1.0,1.0
0.0009031296,0.0009021759,6.642954,1666.4716,2.0,1.0
0.006184578,0.0061864853,6.6376696,1666.3065,3.0,1.0
0.0424881,0.042490005,6.601366,1665.1561,4.0,1.0
0.29317093,0.29317093,6.350685,1655.7863,5.0,1.0
1.8261023,1.8261023,4.817754,1530.824,6.0,1.0
4.599513,4.599513,2.044343,985.261,7.0,1.0
5.7070384,5.707038,0.9368181,576.80023,8.0,1.0
6.096027,6.0960274,0.5478287,394.2602,9.0,1.0
6.2550597,6.25506,0.38879585,298.12018,10.0,1.0
6.331272,6.3312716,0.3125844,224.22092,11.0,1.0
6.3614855,6.3614855,0.28237057,197.48857,12.0,1.0
6.3711414,6.3711414,0.2727146,194.15292,13.0,1.0
6.3754272,6.3754272,0.2684288,192.12578,14.0,1.0
6.376101,6.376101,0.26775503,191.90152,15.0,1.0
6.376199,6.376199,0.26765728,191.81685,16.0,1.0
6.3763094,6.3763094,0.26754665,191.71022,17.0,1.0
6.3764386,6.376437,0.26741886,191.57428,18.0,1.0
6.3765945,6.3765945,0.2672615,191.39807,19.0,1.0
6.3767915,6.3767915,0.26706457,191.1647,20.0,1.0
6.3770485,6.3770485,0.26680756,190.8465,21.0,1.0
6.3774014,6.3774014,0.2664547,190.39563,22.0,1.0
6.377915,6.377915,0.26594114,189.72295,23.0,1.0
6.3787165,6.378717,0.2651391,188.64636,24.0,1.0
6.380093,6.3800926,0.26376343,186.75395,25.0,1.0
6.3827305,6.38273,0.26112604,183.05505,26.0,1.0
6.387884,6.387884,0.2559719,175.98071,27.0,1.0
6.3936152,6.393615,0.25024128,169.74356,28.0,1.0
6.394535,6.394535,0.24932098,169.16437,29.0,1.0
6.3945365,6.394536,0.24932003,169.16388,30.0,1.0
6.394536,6.394536,0.24932003,169.16385,31.0,1.0
6.394536,6.394535,0.24932098,169.16382,32.0,1.0
6.3945355,6.394535,0.24932098,169.16379,33.0,1.0
6.394535,6.394535,0.24932098,169.16376,34.0,1.0
6.394535,6.394535,0.24932098,169.16373,35.0,1.0
6.3945346,6.3945346,0.24932146,169.1637,36.0,1.0
6.394534,6.394534,0.24932194,169.16367,37.0,1.0
6.394534,6.394534,0.24932194,169.16364,38.0,1.0
6.3945336,6.394533,0.24932289,169.1636,39.0,1.0
6.394533,6.3945336,0.24932241,169.16357,40.0,1.0
6.394533,6.394533,0.24932289,169.16354,41.0,1.0
6.3945327,6.394532,0.24932384,169.16353,42.0,1.0
6.394532,6.394532,0.24932384,169.1635,43.0,1.0
6.394532,6.394532,0.24932384,169.16345,44.0,1.0
6.3945317,6.3945317,0.24932432,169.16342,45.0,1.0
6.3945312,6.3945317,0.24932432,169.1634,46.0,1.0
6.3945312,6.3945312,0.2493248,169.16338,47.0,1.0
6.394531,6.3945312,0.2493248,169.16336,48.0,1.0
6.3945303,6.39453,0.24932623,169.16331,49.0,1.0
6.3945303,6.39453,0.24932623,169.16328,50.0,1.0
6.39453,6.39453,0.24932623,169.16325,51.0,1.0
6.3945303,6.3945303,0.24932575,169.16324,52.0,1.0
6.3945303,6.3945293,0.2493267,169.16321,53.0,1.0
6.3945293,6.394529,0.24932718,169.16318,54.0,1.0
6.3945293,6.3945293,0.2493267,169.16315,55.0,1.0
6.3945293,6.3945293,0.2493267,169.16312,56.0,1.0
6.3945284,6.3945293,0.2493267,169.16307,57.0,1.0
6.3945284,6.3945284,0.24932766,169.16306,58.0,1.0
6.3945274,6.394527,0.24932909,169.16302,59.0,1.0
6.3945265,6.394527,0.24932909,169.163,60.0,1.0
