complexity,accuracy
6.756137,6.6883593
6.756136,6.6883574
6.756138,6.6883574
6.756131,6.688363
6.756139,6.6883583
6.756137,6.6883583
6.756133,6.6883593
6.756139,6.688363
6.756135,6.688361
6.756133,6.688361
6.756138,6.68836
6.756139,6.6883554
6.7557325,6.6879864
6.7557297,6.6879873
6.7557316,6.68799
6.7557364,6.68799
6.7557287,6.6879873
6.7557316,6.6879873
6.7557325,6.6879873
6.7557354,6.6879845
6.7557287,6.687989
6.7557287,6.6879845
6.7557335,6.6879864
6.7557335,6.6879873
6.7563133,6.6885176
6.7563133,6.6885147
6.7563133,6.6885242
6.7563105,6.6885204
6.7563105,6.6885204
6.7563105,6.6885166
6.756316,6.6885204
6.7563143,6.6885176
6.7563105,6.6885176
6.7563133,6.6885223
6.7563105,6.6885166
6.756317,6.6885214
6.7554274,6.687705
6.7554245,6.687707
6.7554274,6.6876993
6.7554274,6.687701
6.7554264,6.687706
6.7554264,6.687704
6.7554255,6.687705
6.7554245,6.687703
6.7554255,6.687707
6.7554264,6.6877003
6.7554264,6.687705
6.7554283,6.687705
6.7559786,6.6882133
6.755974,6.6882105
6.755974,6.6882086
6.7559776,6.688216
6.7559786,6.6882133
6.7559767,6.6882114
6.755973,6.6882153
6.755973,6.688219
6.7559757,6.6882153
6.7559757,6.6882114
6.7559776,6.6882143
6.755974,6.6882143
6.755986,6.6882286
6.755992,6.6882305
6.755994,6.6882257
6.755992,6.6882305
6.755992,6.6882277
6.75599,6.6882277
6.755987,6.688222
6.755992,6.688224
6.755993,6.6882296
6.75599,6.6882267
6.755991,6.688223
6.755991,6.6882296
6.7556705,6.6879272
6.7556744,6.687929
6.7556744,6.68793
6.7556725,6.687934
6.7556725,6.687933
6.7556696,6.687932
6.7556734,6.687932
6.7556725,6.687931
6.7556725,6.687929
6.7556725,6.68793
6.7556725,6.687932
6.7556686,6.687931
6.755704,6.6879654
6.755701,6.6879644
6.755707,6.6879635
6.7557,6.6879635
6.755705,6.687958
6.755706,6.6879635
6.755702,6.6879625
6.755706,6.6879616
6.755704,6.687958
6.755704,6.6879616
6.7557,6.6879644
6.755702,6.6879606
