complexity,accuracy,distortion,mse,round,trial
6.484985e-05,0.0,1.9734745,18149.695,0.0,1.0
2.5749207e-05,9.536743e-07,1.9734735,18149.7,1.0,1.0
2.3841858e-05,4.7683716e-06,1.9734697,18149.664,2.0,1.0
4.863739e-05,2.5749207e-05,1.9734488,18149.445,3.0,1.0
0.00019359589,0.00014591217,1.9733286,18148.043,4.0,1.0
0.0010061264,0.0008325577,1.972642,18139.133,5.0,1.0
0.0056352615,0.0048332214,1.9686413,18082.55,6.0,1.0
0.03232193,0.028277397,1.9451971,17724.5,7.0,1.0
0.17717266,0.15671253,1.816762,15660.542,8.0,1.0
0.6972847,0.6134796,1.3599949,8747.458,9.0,1.0
1.3909149,1.1828823,0.7905922,2449.5488,10.0,1.0
1.7785263,1.4342594,0.5392151,1245.4001,11.0,1.0
2.0100574,1.548419,0.4250555,907.3613,12.0,1.0
2.16749,1.6109123,0.36256218,746.3707,13.0,1.0
2.2921495,1.6538076,0.31966686,642.8043,14.0,1.0
2.3997622,1.687563,0.28591156,564.308,15.0,1.0
2.4947824,1.7152777,0.25819683,501.3208,16.0,1.0
2.5787506,1.7382908,0.23518372,449.8984,17.0,1.0
2.651988,1.7571487,0.21632576,408.61658,18.0,1.0
2.7142181,1.7720623,0.2014122,376.75946,19.0,1.0
2.7656364,1.7834272,0.19004726,353.02664,20.0,1.0
2.8073664,1.7919254,0.18154907,335.57428,21.0,1.0
2.8410711,1.7983007,0.17517376,322.60638,22.0,1.0
2.8684301,1.8031797,0.17029476,312.72043,23.0,1.0
2.8908758,1.8070221,0.16645241,304.9334,24.0,1.0
2.909544,1.8101501,0.16332436,298.57996,25.0,1.0
2.9253216,1.8127861,0.1606884,293.20578,26.0,1.0
2.9389038,1.815094,0.15838051,288.49036,27.0,1.0
2.9508543,1.817194,0.15628052,284.1984,28.0,1.0
2.9616299,1.8191757,0.15429878,280.15097,29.0,1.0
2.9716187,1.8211155,0.15235901,276.21005,30.0,1.0
2.9811401,1.8230705,0.15040398,272.27136,31.0,1.0
2.9904575,1.8250809,0.14839363,268.26367,32.0,1.0
2.999772,1.8271694,0.14630508,264.15076,33.0,1.0
3.0092106,1.8293409,0.14413357,259.9338,34.0,1.0
3.0188246,1.8315802,0.14189434,255.65059,35.0,1.0
3.0285864,1.8338518,0.13962269,251.3701,36.0,1.0
3.0384007,1.8361073,0.13736725,247.18057,37.0,1.0
3.0481186,1.8382931,0.13518143,243.1745,38.0,1.0
3.0575743,1.8403606,0.13311386,239.43294,39.0,1.0
3.0666075,1.8422699,0.1312046,236.01425,40.0,1.0
3.0750875,1.8439941,0.12948036,232.9491,41.0,1.0
3.082924,1.8455257,0.12794876,230.24153,42.0,1.0
3.0900755,1.8468695,0.12660503,227.87476,43.0,1.0
3.0965376,1.8480358,0.12543869,225.81839,44.0,1.0
3.102334,1.8490438,0.12443066,224.03537,45.0,1.0
3.1075115,1.8499165,0.123558044,222.4874,46.0,1.0
3.1121273,1.8506708,0.12280369,221.13828,47.0,1.0
3.1162386,1.851326,0.122148514,219.95587,48.0,1.0
3.1199036,1.8518982,0.12157631,218.91254,49.0,1.0
3.1231747,1.8524008,0.12107372,217.98529,50.0,1.0
3.1261015,1.8528461,0.12062836,217.15515,51.0,1.0
3.128726,1.8532429,0.12023163,216.40671,52.0,1.0
3.1310835,1.8535986,0.11987591,215.72739,53.0,1.0
3.1332092,1.85392,0.11955452,215.10696,54.0,1.0
3.135128,1.8542109,0.11926365,214.53708,55.0,1.0
3.1368637,1.8544769,0.118997574,214.01094,56.0,1.0
3.1384392,1.8547211,0.11875343,213.52283,57.0,1.0
3.1398716,1.8549442,0.11853027,213.06805,58.0,1.0
3.1411753,1.8551512,0.118323326,212.64276,59.0,1.0
3.1423664,1.8553438,0.118130684,212.24359,60.0,1.0
3.1434555,1.8555231,0.11795139,211.86768,61.0,1.0
3.144455,1.855691,0.11778355,211.51266,62.0,1.0
3.1453724,1.8558474,0.117627144,211.17645,63.0,1.0
3.1462183,1.8559952,0.117479324,210.85727,64.0,1.0
3.1469994,1.8561344,0.11734009,210.55356,65.0,1.0
3.1477213,1.856267,0.11720753,210.26393,66.0,1.0
3.1483917,1.85639,0.1170845,209.98718,67.0,1.0
3.1490145,1.8565083,0.11696625,209.72226,68.0,1.0
3.1495953,1.8566208,0.116853714,209.4682,69.0,1.0
3.1501389,1.8567276,0.1167469,209.22417,70.0,1.0
3.1506462,1.8568296,0.11664486,208.98947,71.0,1.0
3.151124,1.8569288,0.11654568,208.76334,72.0,1.0
3.1515732,1.8570204,0.116454124,208.5452,73.0,1.0
3.1519985,1.85711,0.11636448,208.33452,74.0,1.0
3.152399,1.8571968,0.116277695,208.13077,75.0,1.0
3.1527796,1.8572788,0.11619568,207.93356,76.0,1.0
3.153142,1.8573589,0.11611557,207.74239,77.0,1.0
3.1534863,1.8574362,0.11603832,207.55695,78.0,1.0
3.1538143,1.8575087,0.11596584,207.37686,79.0,1.0
3.15413,1.8575802,0.11589432,207.20181,80.0,1.0
3.1544313,1.8576488,0.11582565,207.03156,81.0,1.0
3.1547203,1.8577166,0.11575794,206.8658,82.0,1.0
3.1549988,1.8577795,0.115695,206.70432,83.0,1.0
3.1552668,1.8578424,0.11563206,206.54684,84.0,1.0
3.1555252,1.8579016,0.11557293,206.39322,85.0,1.0
3.155776,1.8579607,0.1155138,206.24318,86.0,1.0
3.1560173,1.8580179,0.11545658,206.09663,87.0,1.0
3.156251,1.8580751,0.11539936,205.95337,88.0,1.0
3.156479,1.8581276,0.11534691,205.81325,89.0,1.0
3.1566982,1.85818,0.11529446,205.6761,90.0,1.0
3.1569128,1.8582315,0.11524296,205.54182,91.0,1.0
3.1571217,1.8582811,0.11519337,205.4103,92.0,1.0
3.1573238,1.8583298,0.11514473,205.28137,93.0,1.0
3.1575212,1.8583765,0.115098,205.155,94.0,1.0
3.1577148,1.8584223,0.11505222,205.03099,95.0,1.0
3.1579037,1.8584671,0.1150074,204.90929,96.0,1.0
3.1580868,1.858511,0.11496353,204.78983,97.0,1.0
3.158268,1.8585539,0.114920616,204.6725,98.0,1.0
3.1584415,1.8585949,0.11487961,204.55722,99.0,1.0
3.1586142,1.8586369,0.11483765,204.44394,100.0,1.0
3.158781,1.858675,0.1147995,204.33257,101.0,1.0
3.158948,1.858716,0.11475849,204.22302,102.0,1.0
3.15911,1.8587551,0.11471939,204.1153,103.0,1.0
3.1592674,1.8587904,0.114684105,204.00926,104.0,1.0
3.1594229,1.8588276,0.11464691,203.90488,105.0,1.0
3.1595764,1.8588629,0.114611626,203.80214,106.0,1.0
3.1597252,1.8588991,0.114575386,203.70094,107.0,1.0
3.159873,1.8589325,0.11454201,203.60124,108.0,1.0
3.160018,1.8589668,0.114507675,203.50304,109.0,1.0
3.16016,1.8590002,0.1144743,203.40622,110.0,1.0
3.1602993,1.8590317,0.114442825,203.31079,111.0,1.0
3.1604376,1.859065,0.11440945,203.21674,112.0,1.0
3.160573,1.8590965,0.114377975,203.12393,113.0,1.0
