complexity,accuracy,distortion,mse,round,trial
6.1035156e-05,6.1035156e-05,8.364824,18149.705,0.0,1.0
2.4795532e-05,2.4795532e-05,8.364861,18149.707,1.0,1.0
2.2888184e-05,2.2888184e-05,8.364862,18149.676,2.0,1.0
4.2915344e-05,4.386902e-05,8.364841,18149.531,3.0,1.0
0.00016212463,0.00016403198,8.364721,18148.66,4.0,1.0
0.00081443787,0.00081443787,8.364071,18143.426,5.0,1.0
0.004371643,0.004374504,8.360511,18111.742,6.0,1.0
0.023580551,0.023580551,8.341305,17924.967,7.0,1.0
0.11845589,0.118457794,8.246428,16940.254,8.0,1.0
0.46582985,0.4658308,7.8990545,13186.527,9.0,1.0
1.1264601,1.126461,7.2384243,5884.544,10.0,1.0
1.6706295,1.6706295,6.694256,1841.544,11.0,1.0
1.9555521,1.9555521,6.409333,1113.8344,12.0,1.0
2.1392202,2.1392193,6.225666,797.0051,13.0,1.0
2.282238,2.282239,6.0826464,647.2993,14.0,1.0
2.4036112,2.4036112,5.961274,560.4647,15.0,1.0
2.507162,2.5071611,5.857724,496.32635,16.0,1.0
2.5926723,2.5926714,5.772214,449.20605,17.0,1.0
2.6627455,2.6627455,5.70214,414.01627,18.0,1.0
2.721531,2.721531,5.6433544,386.40308,19.0,1.0
2.7725382,2.7725372,5.592348,363.53516,20.0,1.0
2.8177013,2.8177004,5.547185,344.0547,21.0,1.0
2.8576603,2.8576593,5.507226,327.48178,22.0,1.0
2.892601,2.8926,5.4722853,313.57297,23.0,1.0
2.9228258,2.9228249,5.4420605,302.0108,24.0,1.0
2.9488525,2.9488516,5.4160337,292.39996,25.0,1.0
2.971283,2.971282,5.3936033,284.35455,26.0,1.0
2.990672,2.9906702,5.374215,277.55124,27.0,1.0
3.0074883,3.0074873,5.357398,271.73822,28.0,1.0
3.022111,3.022111,5.3427744,266.72363,29.0,1.0
3.034852,3.034852,5.3300333,262.36044,30.0,1.0
3.0459719,3.04597,5.3189154,258.5341,31.0,1.0
3.0556908,3.0556889,5.3091965,255.15367,32.0,1.0
3.0642033,3.0642004,5.300685,252.14616,33.0,1.0
3.0716743,3.0716734,5.293212,249.45244,34.0,1.0
3.0782518,3.078251,5.2866344,247.02435,35.0,1.0
3.0840597,3.0840597,5.2808256,244.82251,36.0,1.0
3.0892057,3.0892038,5.2756815,242.81467,37.0,1.0
3.0937815,3.0937796,5.271106,240.97426,38.0,1.0
3.097866,3.0978642,5.267021,239.27931,39.0,1.0
3.1015253,3.1015253,5.26336,237.71164,40.0,1.0
3.1048193,3.1048174,5.260068,236.25607,41.0,1.0
3.1077938,3.107792,5.2570934,234.89986,42.0,1.0
