complexity,accuracy,distortion
7.326465239698204e-13,5.991968194218139e-13,1.0608768463128773
4.109106936459581e-12,3.3230285103828193e-12,1.0608768463101534
1.5659175881686638e-11,1.2640671271684526e-11,1.0608768463008358
4.672998425916493e-11,3.7706168653306953e-11,1.0608768462757705
1.1779155484052424e-10,9.503338894983316e-11,1.0608768462184432
2.624014475674908e-10,2.1169459950858667e-10,1.060876846101782
5.318921791540268e-10,4.2910220786101384e-10,1.0608768458843743
1.000783754396578e-09,8.073756223874094e-10,1.0608768455061008
1.7729217411622808e-09,1.4302936123356875e-09,1.060876844883183
2.9883427008970808e-09,2.410833462292061e-09,1.060876843902643
4.8308673277556396e-09,3.897297600051711e-09,1.060876842416179
7.536423278868124e-09,6.080029016256429e-09,1.0608768402334476
1.1402098153967159e-08,9.198716045186767e-09,1.0608768371147606
1.679592505666556e-08,1.3550288003082899e-08,1.0608768327631886
2.128515157029554e-08,1.7272147013957298e-08,1.0608768290413295
2.7032328886161014e-08,2.193582032860253e-08,1.0608768243776563
3.409450313605688e-08,2.7666590946259655e-08,1.0608768186468855
4.272172792981828e-08,3.4667377230441335e-08,1.0608768116460994
5.3202525029053826e-08,4.317231462715382e-08,1.060876803141162
6.586848568934124e-08,5.3450489506778515e-08,1.060876792862987
8.109927347396128e-08,6.581000234177444e-08,1.0608767805034742
9.932805743597774e-08,8.06023745182317e-08,1.060876765711102
1.2104739009045576e-07,9.822731870267225e-08,1.0608767480861578
1.4681555972752321e-07,1.1913789502386127e-07,1.0608767271755815
2.0246806933811067e-07,1.6431422450631452e-07,1.0608766819992521
2.43401186084498e-07,1.97534230462112e-07,1.060876648779246
2.9140314636409145e-07,2.364911962368141e-07,1.0608766098222804
3.4749620105744757e-07,2.8201478831882953e-07,1.0608765642986882
4.128230666508299e-07,3.350324464813251e-07,1.06087651128103
4.88658040568149e-07,3.9657840881707055e-07,1.0608764497350678
5.764188752665653e-07,4.678033472623856e-07,1.0608763785101294
6.776794385943974e-07,5.499846477767131e-07,1.0608762963288287
7.941832000454815e-07,6.445373525059219e-07,1.060876201776124
9.278575677469473e-07,7.530258029777905e-07,1.0608760932876735
1.0808291300812278e-06,8.771760065639788e-07,1.06087596913747
1.2554398170104367e-06,1.0188887591314196e-06,1.0608758274247174
1.4542640353724015e-06,1.1802535524688321e-06,1.0608756660599241
1.6801268055253205e-06,1.3635632985899737e-06,1.060875482750178
1.9361229494353005e-06,1.571329901661275e-06,1.0608752749835748
2.225637350917657e-06,1.806300709617388e-06,1.060875040012767
2.5523663513426345e-06,2.071475878472881e-06,1.0608747748375982
2.9203403032964048e-06,2.3701266825133795e-06,1.060874476186794
3.333947332583975e-06,2.705814801992108e-06,1.0608741404986746
