complexity,accuracy,distortion,mse,round,trial
7.2956085e-05,9.536743e-07,0.09582424,416.49908,0.0,1.0
4.7683716e-07,4.7683716e-07,0.09582472,416.49966,1.0,1.0
1.9073486e-06,4.7683716e-07,0.09582472,416.49908,2.0,1.0
9.059906e-06,1.9073486e-06,0.09582329,416.49564,3.0,1.0
3.862381e-05,5.2452087e-06,0.09581995,416.4793,4.0,1.0
0.0001783371,2.193451e-05,0.09580326,416.4018,5.0,1.0
0.0008201599,0.000101566315,0.09572363,416.03882,6.0,1.0
0.0037884712,0.00047016144,0.095355034,414.35666,7.0,1.0
0.017187119,0.0021247864,0.09370041,406.83127,8.0,1.0
0.071651936,0.008602619,0.087222576,377.57245,9.0,1.0
0.22623873,0.025118351,0.070706844,304.0306,10.0,1.0
0.44254875,0.0448184,0.051006794,217.48808,11.0,1.0
0.59216213,0.05641508,0.039410114,167.05905,12.0,1.0
0.6604886,0.06099701,0.034828186,147.29333,13.0,1.0
0.68856716,0.06267977,0.033145428,140.06996,14.0,1.0
0.7004509,0.063342094,0.0324831,137.23254,15.0,1.0
0.7059145,0.06363535,0.032189846,135.9761,16.0,1.0
0.7087984,0.06378603,0.032039165,135.32512,17.0,1.0
0.7105546,0.06387758,0.031947613,134.93156,18.0,1.0
0.71173286,0.06393814,0.031887054,134.66791,19.0,1.0
0.7125535,0.0639801,0.031845093,134.4835,20.0,1.0
0.7131233,0.06401062,0.031814575,134.35385,21.0,1.0
0.7135148,0.0640316,0.031793594,134.26334,22.0,1.0
0.71377945,0.064045906,0.03177929,134.20078,23.0,1.0
0.71395683,0.06405592,0.031769276,134.15761,24.0,1.0
0.7140746,0.06406307,0.031762123,134.12767,25.0,1.0
0.7141547,0.064067364,0.03175783,134.10655,26.0,1.0
0.7142105,0.0640707,0.031754494,134.09128,27.0,1.0
0.71425056,0.06407356,0.031751633,134.07971,28.0,1.0
0.714283,0.06407595,0.03174925,134.07056,29.0,1.0
0.7143092,0.06407738,0.031747818,134.0629,30.0,1.0
0.7143326,0.06407881,0.031746387,134.05615,31.0,1.0
0.71435595,0.064080715,0.03174448,134.04996,32.0,1.0
