complexity,accuracy,distortion,mse,round,trial
5.2928925e-05,5.2452087e-05,5.643803,416.4991,0.0,1.0
1.1444092e-05,1.1444092e-05,5.643844,416.49957,1.0,1.0
4.8160553e-05,4.8160553e-05,5.6438074,416.49832,2.0,1.0
0.00023269653,0.00023317337,5.6436224,416.4898,3.0,1.0
0.0011892319,0.0011897087,5.642666,416.43292,4.0,1.0
0.00635767,0.0063581467,5.6374974,416.0456,5.0,1.0
0.035249233,0.035249233,5.6086063,413.29108,6.0,1.0
0.19166946,0.19166994,5.4521856,392.90884,7.0,1.0
0.75859165,0.7585912,4.8852644,284.9294,8.0,1.0
1.4217343,1.4217343,4.2221212,122.60823,9.0,1.0
1.7422824,1.7422819,3.9015737,41.968803,10.0,1.0
1.857377,1.8573766,3.786479,25.145433,11.0,1.0
1.8767014,1.8767009,3.7671547,24.144169,12.0,1.0
1.882299,1.8822999,3.7615557,23.949636,13.0,1.0
1.8845649,1.8845644,3.7592912,23.883087,14.0,1.0
1.8856859,1.8856864,3.7581692,23.85435,15.0,1.0
1.8863535,1.886354,3.7575016,23.83823,16.0,1.0
1.8868084,1.8868089,3.7570467,23.827156,17.0,1.0
1.8871446,1.8871446,3.756711,23.818588,18.0,1.0
1.8874078,1.8874078,3.7564478,23.811508,19.0,1.0
1.8876219,1.8876219,3.7562337,23.80542,20.0,1.0
1.8878021,1.8878016,3.756054,23.800056,21.0,1.0
1.8879566,1.8879566,3.755899,23.795229,22.0,1.0
1.888092,1.888092,3.7557635,23.790825,23.0,1.0
1.8882122,1.8882122,3.7556434,23.78676,24.0,1.0
1.8883195,1.88832,3.7555356,23.78298,25.0,1.0
1.8884177,1.8884187,3.755437,23.77945,26.0,1.0
1.8885074,1.8885078,3.7553477,23.776144,27.0,1.0
1.8885899,1.8885899,3.7552657,23.773033,28.0,1.0
1.8886657,1.8886662,3.7551894,23.770113,29.0,1.0
1.8887348,1.8887348,3.7551208,23.767368,30.0,1.0
1.8887997,1.8887997,3.755056,23.764784,31.0,1.0
1.8888583,1.8888588,3.7549968,23.762356,32.0,1.0
1.8889141,1.8889141,3.7549415,23.76008,33.0,1.0
1.8889647,1.8889642,3.7548914,23.757942,34.0,1.0
1.8890114,1.8890114,3.7548442,23.755938,35.0,1.0
1.8890548,1.8890548,3.7548008,23.75406,36.0,1.0
1.8890944,1.8890944,3.7547612,23.752306,37.0,1.0
1.889132,1.889132,3.7547235,23.750664,38.0,1.0
1.8891673,1.8891668,3.7546887,23.749132,39.0,1.0
1.8891983,1.8891983,3.7546573,23.747702,40.0,1.0
1.8892283,1.8892283,3.7546272,23.746363,41.0,1.0
1.889255,1.889255,3.7546005,23.745123,42.0,1.0
