complexity,accuracy,distortion,mse,round,run
2.5106306,1.2626834,0.64934444,11.573964,0.0,1.0
1.2549977,0.9462824,0.96574545,11.280707,1.0,1.0
0.9402385,0.78357697,1.1284509,10.872856,2.0,1.0
0.78292704,0.6817627,1.2302651,10.4372635,3.0,1.0
0.68635464,0.6124821,1.2995458,10.032014,4.0,1.0
0.62149096,0.563076,1.3489518,9.686838,5.0,1.0
0.57573414,0.5268369,1.385191,9.409987,6.0,1.0
0.5425215,0.4998207,1.4122071,9.197016,7.0,1.0
0.51802397,0.47951937,1.4325085,9.037688,8.0,1.0
0.49982166,0.46424055,1.4477873,8.920281,9.0,1.0
0.48629093,0.45279026,1.4592376,8.8338585,10.0,1.0
0.47629642,0.44429636,1.4677315,8.769243,11.0,1.0
0.46901703,0.43810606,1.4739218,8.71924,12.0,1.0
0.46384,0.4337225,1.4783053,8.678503,13.0,1.0
0.46030188,0.43075943,1.4812684,8.643242,14.0,1.0
0.458045,0.42891502,1.4831128,8.610898,15.0,1.0
0.45678902,0.42794657,1.4840813,8.579851,16.0,1.0
0.45631123,0.42766333,1.4843645,8.549151,17.0,1.0
0.45643234,0.42790747,1.4841204,8.518329,18.0,1.0
0.45701075,0.42855453,1.4834733,8.48722,19.0,1.0
0.45793104,0.42950153,1.4825263,8.455867,20.0,1.0
0.45909977,0.43066454,1.4813633,8.424425,21.0,1.0
0.4604416,0.43197823,1.4800496,8.393099,22.0,1.0
0.4618969,0.43338823,1.4786396,8.362117,23.0,1.0
0.463418,0.43485022,1.4771776,8.331697,24.0,1.0
0.46496487,0.4363327,1.4756951,8.302036,25.0,1.0
0.46650934,0.43780756,1.4742203,8.273297,26.0,1.0
0.46803093,0.43925333,1.4727745,8.245613,27.0,1.0
0.4695077,0.44065905,1.4713688,8.219087,28.0,1.0
0.47093248,0.44200802,1.4700198,8.193787,29.0,1.0
0.4722929,0.44329834,1.4687295,8.169758,30.0,1.0
0.47358465,0.4445219,1.4675059,8.147019,31.0,1.0
0.47480202,0.4456749,1.4663529,8.125572,32.0,1.0
0.47594738,0.44675732,1.4652705,8.105402,33.0,1.0
0.47701836,0.44776964,1.4642582,8.086479,34.0,1.0
0.47801733,0.44871378,1.463314,8.068768,35.0,1.0
0.47894573,0.4495921,1.4624357,8.05222,36.0,1.0
0.479805,0.4504056,1.4616222,8.036789,37.0,1.0
0.48060036,0.45115805,1.4608698,8.022417,38.0,1.0
0.4813342,0.45185137,1.4601765,8.009051,39.0,1.0
0.4820099,0.4524908,1.459537,7.9966364,40.0,1.0
0.48262978,0.45307922,1.4589486,7.9851146,41.0,1.0
0.4831996,0.45361948,1.4584084,7.97443,42.0,1.0
0.4837227,0.45411396,1.4579139,7.964532,43.0,1.0
0.48419952,0.45456886,1.457459,7.955364,44.0,1.0
0.4846382,0.45498276,1.4570451,7.946881,45.0,1.0
0.4850378,0.4553628,1.456665,7.939033,46.0,1.0
0.48540163,0.45570993,1.4563179,7.931777,47.0,1.0
0.4857335,0.45602608,1.4560018,7.9250684,48.0,1.0
0.4860363,0.45631552,1.4557123,7.91887,49.0,1.0
0.4863119,0.4565773,1.4554505,7.913143,50.0,1.0
0.48656273,0.4568181,1.4552097,7.9078507,51.0,1.0
0.48679066,0.45703554,1.4549923,7.902964,52.0,1.0
0.48699713,0.45723438,1.4547935,7.8984504,53.0,1.0
0.48718452,0.45741463,1.4546132,7.894283,54.0,1.0
0.48735476,0.4575777,1.4544501,7.8904333,55.0,1.0
0.48750925,0.45772696,1.4543009,7.886878,56.0,1.0
0.487648,0.4578619,1.4541659,7.883595,57.0,1.0
0.4877739,0.45798397,1.4540439,7.8805633,58.0,1.0
0.4878888,0.4580946,1.4539332,7.877763,59.0,1.0
0.48799276,0.45819473,1.4538331,7.8751755,60.0,1.0
0.48808432,0.45828533,1.4537425,7.872787,61.0,1.0
0.48816824,0.45836735,1.4536605,7.870578,62.0,1.0
0.4882431,0.45844126,1.4535866,7.8685384,63.0,1.0
0.4883108,0.458508,1.4535198,7.8666534,64.0,1.0
0.48837185,0.45856857,1.4534593,7.864912,65.0,1.0
0.48842716,0.4586234,1.4534044,7.8633013,66.0,1.0
0.48847532,0.45867205,1.4533558,7.8618116,67.0,1.0
0.48851871,0.45871496,1.4533129,7.860434,68.0,1.0
0.48855734,0.45875406,1.4532738,7.8591595,69.0,1.0
0.48859215,0.45878935,1.4532385,7.8579817,70.0,1.0
0.48862267,0.45882177,1.4532061,7.85689,71.0,1.0
0.48864985,0.45884943,1.4531784,7.8558807,72.0,1.0
0.48867464,0.45887375,1.4531541,7.854947,73.0,1.0
0.48869514,0.45889616,1.4531317,7.8540797,74.0,1.0
0.4887147,0.4589162,1.4531116,7.853278,75.0,1.0
0.48873043,0.4589343,1.4530935,7.852535,76.0,1.0
0.48874474,0.4589486,1.4530792,7.8518457,77.0,1.0
0.48875713,0.45896244,1.4530654,7.8512063,78.0,1.0
0.4887681,0.45897388,1.453054,7.850614,79.0,1.0
0.48877525,0.45898438,1.4530435,7.8500643,80.0,1.0
0.48878336,0.45899296,1.4530349,7.8495536,81.0,1.0
0.48879004,0.45900106,1.4530268,7.849079,82.0,1.0
0.4887948,0.4590087,1.4530191,7.84864,83.0,1.0
0.48879862,0.4590125,1.4530153,7.8482304,84.0,1.0
0.48880196,0.45901823,1.4530096,7.847851,85.0,1.0
0.48880482,0.45902157,1.4530063,7.847497,86.0,1.0
0.48880672,0.4590249,1.4530029,7.847169,87.0,1.0
0.48880863,0.45902777,1.4530001,7.8468633,88.0,1.0
0.4888091,0.4590292,1.4529986,7.846578,89.0,1.0
0.48880768,0.4590311,1.4529967,7.8463125,90.0,1.0
0.4888091,0.45903158,1.4529963,7.8460646,91.0,1.0
0.4888072,0.45903254,1.4529953,7.8458347,92.0,1.0
0.48880625,0.459033,1.4529948,7.84562,93.0,1.0
0.48880434,0.45903206,1.4529958,7.84542,94.0,1.0
0.4888029,0.4590311,1.4529967,7.8452325,95.0,1.0
0.48880196,0.45903158,1.4529963,7.8450575,96.0,1.0
0.48880053,0.45903015,1.4529977,7.844895,97.0,1.0
0.48879766,0.45903015,1.4529977,7.8447423,98.0,1.0
0.48879623,0.45902872,1.4529991,7.8445997,99.0,1.0
0.48879385,0.4590268,1.453001,7.844466,100.0,1.0
0.48879147,0.45902586,1.453002,7.8443413,101.0,1.0
0.48878908,0.45902443,1.4530034,7.8442245,102.0,1.0
0.48878622,0.459023,1.4530048,7.8441157,103.0,1.0
0.4887843,0.45902157,1.4530063,7.8440127,104.0,1.0
0.48878145,0.4590206,1.4530072,7.8439164,105.0,1.0
0.48877954,0.45901823,1.4530096,7.843827,106.0,1.0
0.4887762,0.45901728,1.4530106,7.8437414,107.0,1.0
0.48877525,0.45901537,1.4530125,7.8436623,108.0,1.0
0.48877192,0.459013,1.4530149,7.8435874,109.0,1.0
0.48877,0.459013,1.4530149,7.8435173,110.0,1.0
0.48876667,0.4590106,1.4530172,7.8434515,111.0,1.0
0.4887643,0.45900822,1.4530196,7.843389,112.0,1.0
0.48876238,0.4590068,1.453021,7.8433313,113.0,1.0
0.48876,0.45900488,1.453023,7.843276,114.0,1.0
0.48875856,0.45900345,1.4530244,7.843225,115.0,1.0
0.48875618,0.45900297,1.4530249,7.843177,116.0,1.0
0.48875427,0.4590006,1.4530272,7.8431306,117.0,1.0
0.4887519,0.4590001,1.4530277,7.8430877,118.0,1.0
0.48875093,0.45899773,1.4530301,7.843047,119.0,1.0
0.48874855,0.45899677,1.4530311,7.843008,120.0,1.0
0.48874617,0.45899534,1.4530325,7.8429723,121.0,1.0
0.4887457,0.4589944,1.4530334,7.842938,122.0,1.0
0.48874474,0.45899343,1.4530344,7.842906,123.0,1.0
0.48874235,0.45899248,1.4530354,7.8428755,124.0,1.0
0.48874092,0.45899105,1.4530368,7.842848,125.0,1.0
0.4887395,0.4589901,1.4530377,7.842819,126.0,1.0
0.48873758,0.45898867,1.4530392,7.842795,127.0,1.0
0.48873663,0.4589882,1.4530396,7.8427706,128.0,1.0
0.4887352,0.45898676,1.4530411,7.8427477,129.0,1.0
0.48873425,0.45898533,1.4530425,7.842726,130.0,1.0
0.4887333,0.45898485,1.453043,7.842706,131.0,1.0
0.48873234,0.4589839,1.4530439,7.842687,132.0,1.0
0.4887309,0.45898342,1.4530444,7.842669,133.0,1.0
0.48872995,0.45898247,1.4530454,7.8426523,134.0,1.0
0.48872995,0.45898247,1.4530454,7.842635,135.0,1.0
0.48872852,0.4589815,1.4530463,7.8426204,136.0,1.0
0.4887271,0.45898056,1.4530473,7.842605,137.0,1.0
0.48872662,0.4589796,1.4530482,7.842592,138.0,1.0
0.48872566,0.4589796,1.4530482,7.842578,139.0,1.0
0.4887247,0.4589796,1.4530482,7.842566,140.0,1.0
0.48872423,0.45897865,1.4530492,7.8425546,141.0,1.0
0.48872423,0.4589777,1.4530501,7.8425436,142.0,1.0
0.48872328,0.45897722,1.4530506,7.842533,143.0,1.0
0.4887228,0.45897722,1.4530506,7.8425236,144.0,1.0
0.48872232,0.45897675,1.4530511,7.842513,145.0,1.0
0.48872137,0.45897675,1.4530511,7.842505,146.0,1.0
0.4887209,0.45897532,1.4530525,7.842497,147.0,1.0
0.48871946,0.45897484,1.453053,7.842489,148.0,1.0
0.48871994,0.45897484,1.453053,7.842482,149.0,1.0
0.48871994,0.45897436,1.4530535,7.8424745,150.0,1.0
0.48871994,0.45897388,1.453054,7.842468,151.0,1.0
0.488719,0.4589734,1.4530544,7.842462,152.0,1.0
0.48871803,0.4589734,1.4530544,7.8424554,153.0,1.0
0.48871803,0.45897293,1.4530549,7.842449,154.0,1.0
0.48871756,0.45897293,1.4530549,7.8424454,155.0,1.0
0.48871756,0.4589734,1.4530544,7.8424397,156.0,1.0
0.48871708,0.45897293,1.4530549,7.842435,157.0,1.0
0.48871708,0.45897293,1.4530549,7.84243,158.0,1.0
0.48871756,0.45897293,1.4530549,7.842426,159.0,1.0
0.48871708,0.45897198,1.4530559,7.8424215,160.0,1.0
0.48871613,0.4589715,1.4530563,7.842419,161.0,1.0
0.48871565,0.45897102,1.4530568,7.8424144,162.0,1.0
0.48871613,0.4589715,1.4530563,7.842411,163.0,1.0
0.48871565,0.45897198,1.4530559,7.8424087,164.0,1.0
0.48871565,0.4589715,1.4530563,7.842405,165.0,1.0
0.48871565,0.45897102,1.4530568,7.8424015,166.0,1.0
0.48871517,0.45897198,1.4530559,7.8424,167.0,1.0
0.4887147,0.45897198,1.4530559,7.8423967,168.0,1.0
0.4887147,0.45897102,1.4530568,7.8423953,169.0,1.0
0.48871565,0.4589715,1.4530563,7.842392,170.0,1.0
0.4887147,0.45897102,1.4530568,7.84239,171.0,1.0
0.4887147,0.45897102,1.4530568,7.8423886,172.0,1.0
0.48871422,0.45897102,1.4530568,7.8423867,173.0,1.0
0.4887147,0.45897055,1.4530573,7.842385,174.0,1.0
0.48871374,0.45897007,1.4530578,7.8423824,175.0,1.0
0.48871422,0.45897055,1.4530573,7.842381,176.0,1.0
0.48871422,0.45897007,1.4530578,7.8423796,177.0,1.0
0.48871374,0.45897055,1.4530573,7.842378,178.0,1.0
0.48871422,0.45897007,1.4530578,7.8423767,179.0,1.0
0.48871422,0.45897055,1.4530573,7.8423758,180.0,1.0
0.48871326,0.45897055,1.4530573,7.842375,181.0,1.0
0.48871374,0.45897102,1.4530568,7.8423734,182.0,1.0
0.48871326,0.45897055,1.4530573,7.842372,183.0,1.0
0.4887128,0.45897055,1.4530573,7.842371,184.0,1.0
0.48871326,0.45897007,1.4530578,7.8423705,185.0,1.0
0.48871374,0.45897007,1.4530578,7.842369,186.0,1.0
0.48871374,0.45897007,1.4530578,7.8423686,187.0,1.0
0.4887128,0.45897007,1.4530578,7.842368,188.0,1.0
0.48871326,0.4589696,1.4530582,7.842367,189.0,1.0
0.48871326,0.45897007,1.4530578,7.842367,190.0,1.0
0.4887128,0.45897007,1.4530578,7.8423657,191.0,1.0
0.48871374,0.45897007,1.4530578,7.8423653,192.0,1.0
0.4887128,0.45897007,1.4530578,7.8423643,193.0,1.0
0.4887128,0.45897007,1.4530578,7.8423634,194.0,1.0
0.4887128,0.4589696,1.4530582,7.8423634,195.0,1.0
0.4887128,0.45897007,1.4530578,7.842362,196.0,1.0
0.4887128,0.4589696,1.4530582,7.842363,197.0,1.0
0.48871326,0.45897007,1.4530578,7.842362,198.0,1.0
0.48871422,0.4589696,1.4530582,7.842362,199.0,1.0
