complexity,accuracy,distortion,mse,round,run
1.9073486e-06,0.0,5.1116705,1666.3749,0.0,1.0
1.9073486e-06,9.536743e-07,5.1116695,1666.3749,1.0,1.0
1.9073486e-06,0.0,5.1116705,1666.3749,2.0,1.0
1.9073486e-06,9.536743e-07,5.1116695,1666.3749,3.0,1.0
9.536743e-07,0.0,5.1116705,1666.3749,4.0,1.0
9.536743e-07,0.0,5.1116714,1666.3751,5.0,1.0
9.536743e-07,0.0,5.1116724,1666.3748,6.0,1.0
9.536743e-07,0.0,5.1116714,1666.3749,7.0,1.0
0.0,0.0,5.1116724,1666.3751,8.0,1.0
0.0,0.0,5.1116724,1666.3751,9.0,1.0
0.0,0.0,5.1116705,1666.3748,10.0,1.0
0.0,0.0,5.1116705,1666.3749,11.0,1.0
0.0,0.0,5.1116714,1666.3749,12.0,1.0
0.0,0.0,5.1116714,1666.375,13.0,1.0
0.0,9.536743e-07,5.1116695,1666.3748,14.0,1.0
0.0,0.0,5.1116705,1666.3749,15.0,1.0
0.0,0.0,5.1116714,1666.3749,16.0,1.0
0.0,0.0,5.1116705,1666.3746,17.0,1.0
2.861023e-06,1.9073486e-06,5.1116686,1666.374,18.0,1.0
1.1444092e-05,1.04904175e-05,5.11166,1666.3715,19.0,1.0
4.196167e-05,4.196167e-05,5.1116285,1666.3604,20.0,1.0
0.00016498566,0.00016212463,5.1115084,1666.317,21.0,1.0
0.0006427765,0.00063323975,5.1110373,1666.1426,22.0,1.0
0.0025081635,0.0024747849,5.1091957,1665.4343,23.0,1.0
0.009813309,0.009688377,5.101982,1662.5272,24.0,1.0
0.038087845,0.037621498,5.074049,1650.5936,25.0,1.0
0.13925076,0.13755226,4.974118,1606.2839,26.0,1.0
0.4201908,0.41463184,4.6970387,1494.8833,27.0,1.0
0.96992874,0.9546776,4.156993,1316.0072,28.0,1.0
1.6867685,1.6534252,3.4582453,1110.2535,29.0,1.0
2.233049,2.1748347,2.9368358,994.9365,30.0,1.0
2.5432477,2.4599013,2.6517692,957.86694,31.0,1.0
2.7382507,2.634737,2.4769335,929.48395,32.0,1.0
2.8612247,2.7442188,2.3674517,900.0936,33.0,1.0
2.9246721,2.8002334,2.3114371,875.77954,34.0,1.0
2.9508939,2.8236413,2.2880292,848.0817,35.0,1.0
2.9677649,2.840129,2.2715416,819.50903,36.0,1.0
2.9753904,2.84789,2.2637806,794.65186,37.0,1.0
2.9781713,2.851552,2.2601185,762.83875,38.0,1.0
2.9797897,2.8560066,2.2556639,714.8887,39.0,1.0
2.989255,2.87048,2.2411904,656.4139,40.0,1.0
3.0063705,2.8913765,2.220294,635.38525,41.0,1.0
3.008522,2.895689,2.2159815,632.5555,42.0,1.0
3.002204,2.8908734,2.220797,626.2506,43.0,1.0
2.995655,2.8867388,2.2249317,614.0335,44.0,1.0
2.9973416,2.8917437,2.2199268,595.47614,45.0,1.0
3.0057735,2.9012527,2.2104177,585.56244,46.0,1.0
3.0105634,2.9063377,2.2053328,579.7373,47.0,1.0
3.014779,2.9108553,2.2008152,573.64075,48.0,1.0
3.01902,2.9154282,2.1962423,566.93054,49.0,1.0
3.0237098,2.9203815,2.191289,559.44446,50.0,1.0
3.0292053,2.9259524,2.185718,551.1811,51.0,1.0
3.0354795,2.9320817,2.1795888,542.35345,52.0,1.0
3.0419888,2.9383574,2.1733131,533.2467,53.0,1.0
3.04805,2.9443169,2.1673536,523.8923,54.0,1.0
3.053412,2.949853,2.1618176,513.88654,55.0,1.0
3.058519,2.9553518,2.1563187,502.51736,56.0,1.0
