complexity,mse
1.9073486e-06,1666.5012
0.36327362,481.31006
0.7371502,258.56012
1.007905,171.55536
1.1810131,131.82071
1.3225069,106.89421
1.446003,88.95178
1.544837,76.89078
1.6320028,67.68312
1.7119598,60.258434
1.7822151,54.342777
1.8455858,49.560966
1.903822,45.54841
1.9579782,42.11245
2.008296,39.15616
2.05507,36.598976
2.0988102,34.362778
2.140008,32.384117
2.1789875,30.618412
2.21595,29.034454
2.251049,27.607515
2.2844543,26.315968
2.31633,25.140923
2.3468266,24.0666
2.376071,23.080242
2.4041576,22.171515
2.4311714,21.331781
2.4571857,20.553612
2.482274,19.830502
2.5064983,19.15677
2.5299168,18.527496
2.5525808,17.938408
2.5745382,17.385798
2.5958319,16.86639
2.6165018,16.377275
2.6365833,15.915846
2.6561127,15.479759
2.6751223,15.066927
2.6936426,14.6754875
2.7116947,14.303795
2.7293072,13.950384
2.746498,13.613955
2.7632818,13.293343
2.7796783,12.987503
2.795703,12.695475
2.8113642,12.416389
2.826683,12.149441
2.8416672,11.8938875
2.8563833,11.648939
2.8707466,11.414159
2.8848066,11.18881
2.898571,10.972352
2.9120712,10.764228
2.9253159,10.563963
2.9383316,10.371049
2.9511137,10.185078
2.9636736,10.005644
2.9760237,9.8323765
2.9881697,9.664931
3.000123,9.502998
3.0118895,9.346286
3.0234747,9.194534
3.0348864,9.047506
3.0461273,8.9049835
3.0572062,8.766765
3.068122,8.632669
3.0788784,8.502527
3.0894823,8.37618
3.0999317,8.25348
3.1102343,8.134289
3.12039,8.018475
3.1309032,7.9041333
3.1407385,7.79537
3.150422,7.689617
3.1599636,7.58674
3.1693773,7.486608
3.1786575,7.38912
3.187807,7.2941747
3.1968374,7.2016635
3.2057533,7.111497
3.2145567,7.023586
3.2232418,6.9378567
3.2318182,6.8542223
3.2402859,6.772616
3.2486563,6.692952
3.2569199,6.6151786
3.2650843,6.5392227
3.2731476,6.465032
3.281124,6.3925314
3.2889977,6.321692
3.2967873,6.2524347
3.3044748,6.1847353
3.3120842,6.1185193
3.3195972,6.053767
3.327036,5.99041
3.334381,5.9284315
3.3416471,5.867775
3.3488312,5.8084116
3.3559341,5.7503066
3.3630047,5.69332
3.37002,5.637407
3.376974,5.5825467
3.3838692,5.5287004
3.390706,5.4758334
3.3974876,5.4239125
3.404214,5.3729105
3.4108868,5.3227973
3.4175072,5.2735476
3.424076,5.2251377
3.4305944,5.1775465
3.4370642,5.130754
3.4434834,5.08474
3.449854,5.0394883
3.4561758,4.994981
3.46245,4.9512033
3.4686775,4.9081407
3.4748545,4.865778
3.4809856,4.8241024
3.4870672,4.7831
3.493104,4.7427583
3.4990911,4.703064
3.5068903,4.6561728
3.512744,4.618243
3.5185194,4.580952
3.5242481,4.5442657
3.529931,4.508168
3.5355692,4.4726453
3.5411434,4.437689
3.5466938,4.403273
3.5521812,4.369397
3.5576267,4.336043
3.5630493,4.303191
3.5684128,4.270844
3.5737343,4.238983
3.5790148,4.2075977
3.584258,4.1766768
3.5894604,4.1462107
3.5946283,4.116189
3.5997562,4.086603
3.604846,4.0574427
3.6099014,4.028698
3.6148987,4.000367
3.6198816,3.9724302
3.6248302,3.9448848
3.6297426,3.9177213
3.6346216,3.890933
3.6394472,3.8645172
3.6442585,3.8384564
3.6490393,3.8127475
3.6537657,3.7873905
3.6584806,3.7623658
3.6631432,3.737679
3.667798,3.7133124
3.6724205,3.6892648
3.6769915,3.6655362
3.6815538,3.6421092
3.6860676,3.618989
3.6905499,3.5961642
3.6950254,3.5736241
3.6994514,3.5513744
3.7038708,3.529398
3.7082424,3.507702
3.7125864,3.4862747
3.7169218,3.4651065
3.7212124,3.4442039
3.7254753,3.4235563
3.7297134,3.4031591
3.7339458,3.383001
3.7381315,3.3630915
3.7422943,3.3434198
3.7464304,3.3239813
3.7505436,3.3047721
3.754632,3.2857883
3.7586966,3.267026
3.7627392,3.2484815
3.766756,3.2301512
3.7707338,3.2120385
3.7747068,3.194126
3.778654,3.176417
3.7825813,3.1589084
3.7864857,3.1415963
3.7903528,3.124486
3.7942142,3.1075592
3.7980385,3.0908265
3.801855,3.0742712
3.8056383,3.0579052
3.8094158,3.0417109
3.813158,3.0256996
3.8168926,3.0098538
3.8205948,2.9941869
3.8242779,2.9786875
3.82794,2.9633539
3.831584,2.9481826
3.8352108,2.9331717
3.8388147,2.9183183
3.8424025,2.9036207
3.845971,2.8890762
3.8495197,2.8746824
3.8530407,2.8604462
3.8565454,2.846356
3.8600416,2.8324013
3.8635101,2.8185976
3.866969,2.8049257
3.8704033,2.7914002
3.8738213,2.7780108
3.8772202,2.7647555
3.880597,2.751642
3.8839645,2.7386491
3.8873081,2.7257943
3.8906345,2.713066
3.8939533,2.7004528
3.8972425,2.6879826
3.9005165,2.6756325
3.9037876,2.6633837
3.9070244,2.6512818
3.9102516,2.6392858
3.9134607,2.6274145
3.9166527,2.615656
3.919837,2.6039991
3.9229975,2.592471
3.9261484,2.5810409
3.9293156,2.5696504
3.9324703,2.558351
3.9356184,2.5471401
3.938755,2.5360167
3.9418793,2.5249782
3.944995,2.5140233
3.948103,2.5031505
3.9512005,2.492359
3.9542885,2.4816463
3.957368,2.4710119
3.9604397,2.4604545
3.963502,2.4499733
3.9665556,2.4395669
3.9695997,2.429235
3.9726343,2.4189768
3.9756622,2.4087913
3.9786806,2.3986778
3.9816904,2.3886366
3.9846916,2.3786664
3.9876852,2.3687673
3.9906673,2.3589387
3.9936428,2.3491802
3.9966068,2.3394914
3.9995623,2.3298728
4.00251,2.3203235
4.0054474,2.3108432
4.008374,2.3014317
4.0112934,2.292089
4.0142,2.2828143
4.0170984,2.2736077
4.019986,2.264469
4.022867,2.2553978
4.025735,2.2463934
4.028594,2.2374558
4.0314426,2.2285848
4.03428,2.2197795
4.0371094,2.21104
4.0399275,2.2023654
4.042734,2.1937559
4.045534,2.1852107
4.048321,2.1767292
4.051099,2.168311
4.0538654,2.159956
4.0566216,2.1516633
4.059369,2.1434326
4.062105,2.135263
4.064831,2.1271546
4.0713406,2.1107006
4.07403,2.1028752
4.076667,2.0951166
4.079342,2.0874093
4.081959,2.0797653
4.0845633,2.0721776
4.0872173,2.0646408
4.0898037,2.0571642
4.0923805,2.0497417
4.094948,2.0423727
4.0975056,2.0350566
4.1001205,2.0277905
4.10266,2.0205798
4.105191,2.01342
4.107712,2.0063114
4.1102257,1.9992528
4.11273,1.9922434
