complexity,accuracy,distortion,mse,round,run
0.010814667,0.0013885498,3.4793844,1665.4869,0.0,1.0
0.09632778,0.011354446,3.4694185,1668.0173,1.0,1.0
0.24645996,0.028759003,3.452014,1665.5468,2.0,1.0
0.45202065,0.05420971,3.4265633,1670.4447,3.0,1.0
0.6597328,0.08063698,3.400136,1674.1913,4.0,1.0
0.93163204,0.11803532,3.3627377,1671.1346,5.0,1.0
1.1748829,0.16068172,3.3200912,1675.143,6.0,1.0
1.33605,0.19581604,3.284957,1677.6552,7.0,1.0
1.5163183,0.23532486,3.245448,1675.3325,8.0,1.0
1.6689177,0.2782774,3.2024956,1680.7251,9.0,1.0
1.8394461,0.31861305,3.16216,1676.8286,10.0,1.0
1.9723253,0.34907913,3.1316938,1677.6847,11.0,1.0
2.2145567,0.43009853,3.0506744,1679.3381,12.0,1.0
2.680171,0.6178894,2.8628836,1671.878,13.0,1.0
2.9594145,0.7290497,2.7517233,1676.6306,14.0,1.0
2.8663292,0.6748533,2.8059196,1674.9817,15.0,1.0
2.9994287,0.7503195,2.7304535,1672.0074,16.0,1.0
3.038169,0.7656069,2.715166,1664.1536,17.0,1.0
3.1294413,0.8068161,2.6739569,1674.4669,18.0,1.0
3.164648,0.82116127,2.6596117,1682.242,19.0,1.0
3.183401,0.82225704,2.658516,1687.2302,20.0,1.0
3.3148413,0.90096474,2.5798082,1679.769,21.0,1.0
3.2818089,0.88382816,2.5969448,1672.335,22.0,1.0
3.3448877,0.92024803,2.560525,1683.9832,23.0,1.0
3.3517914,0.91768074,2.5630922,1673.5818,24.0,1.0
3.3437824,0.8994627,2.5813103,1684.48,25.0,1.0
3.3981047,0.934556,2.546217,1684.007,26.0,1.0
3.4600744,0.9759903,2.5047827,1676.77,27.0,1.0
3.7180634,1.14361,2.337163,1647.8342,28.0,1.0
3.6643047,1.0995798,2.3811932,1661.4824,29.0,1.0
3.7981844,1.1868553,2.2939177,1636.671,30.0,1.0
3.8174534,1.1972637,2.2835093,1629.4609,31.0,1.0
3.8388596,1.2012644,2.2795086,1622.9817,32.0,1.0
3.8145752,1.1848898,2.2958832,1629.7781,33.0,1.0
4.0229893,1.3404751,2.140298,1584.7405,34.0,1.0
4.100152,1.3841228,2.0966501,1594.7831,35.0,1.0
4.078336,1.3660288,2.1147442,1597.7708,36.0,1.0
4.578046,1.7291107,1.7516623,1531.0579,37.0,1.0
4.5804443,1.7277174,1.7530556,1516.1287,38.0,1.0
4.595639,1.7297268,1.7510462,1552.2241,39.0,1.0
4.683694,1.7858677,1.6949053,1568.1705,40.0,1.0
4.6695395,1.7761183,1.7046547,1565.1466,41.0,1.0
4.636381,1.751358,1.7294149,1555.5986,42.0,1.0
4.614146,1.7341261,1.7466469,1552.8577,43.0,1.0
4.6391516,1.756607,1.7241659,1533.15,44.0,1.0
4.6389723,1.7499046,1.7308683,1547.6062,45.0,1.0
4.6761494,1.7783861,1.7023869,1543.2988,46.0,1.0
4.6270027,1.7399683,1.7408047,1534.6887,47.0,1.0
4.682128,1.7882404,1.6925325,1529.5121,48.0,1.0
4.657812,1.7679195,1.7128534,1531.2954,49.0,1.0
4.6221237,1.736826,1.743947,1535.7161,50.0,1.0
4.7498655,1.8389444,1.6418285,1522.6848,51.0,1.0
4.862238,1.9370737,1.5436993,1483.983,52.0,1.0
4.780921,1.8687887,1.6119843,1504.5933,53.0,1.0
4.6823177,1.7891464,1.6916265,1504.6462,54.0,1.0
4.7795734,1.8710852,1.6096878,1481.7191,55.0,1.0
4.724634,1.8276386,1.6531343,1499.0343,56.0,1.0
4.7420053,1.8423023,1.6384706,1494.706,57.0,1.0
4.649337,1.7650299,1.7157431,1520.5212,58.0,1.0
4.6886234,1.8015442,1.6792288,1494.7805,59.0,1.0
4.7395706,1.8425846,1.6381884,1481.9849,60.0,1.0
4.878085,1.9542236,1.5265493,1458.1681,61.0,1.0
5.0107875,2.0668993,1.4138737,1419.0281,62.0,1.0
4.977189,2.0414677,1.4393053,1413.4248,63.0,1.0
4.973502,2.0382557,1.4425173,1432.9381,64.0,1.0
5.0127773,2.070074,1.4106989,1428.3693,65.0,1.0
4.9989877,2.0579967,1.4227762,1437.3833,66.0,1.0
4.9863415,2.0470057,1.4337673,1430.8484,67.0,1.0
4.973714,2.0364866,1.4442863,1435.0198,68.0,1.0
4.9869556,2.0492725,1.4315004,1408.1223,69.0,1.0
4.997307,2.0576239,1.4231491,1408.7668,70.0,1.0
5.018898,2.0765448,1.4042282,1405.9701,71.0,1.0
