complexity,accuracy,distortion,mse,round,run
0.011288643,0.001420021,3.479353,1665.5217,0.0,1.0
0.09302902,0.010592461,3.4701805,1666.4927,1.0,1.0
0.23065376,0.028064728,3.4527082,1670.4827,2.0,1.0
0.41975117,0.04987526,3.4308977,1669.2764,3.0,1.0
0.60242367,0.0736084,3.4071646,1659.5532,4.0,1.0
0.79506683,0.104688644,3.3760843,1662.9067,5.0,1.0
0.9508896,0.12709522,3.3536777,1657.226,6.0,1.0
1.2140198,0.17462254,3.3061504,1667.5564,7.0,1.0
1.4898376,0.23653316,3.2442398,1676.0933,8.0,1.0
1.8095388,0.31798553,3.1627874,1673.7993,9.0,1.0
2.0099297,0.3682785,3.1124945,1672.4321,10.0,1.0
2.0615778,0.3814335,3.0993395,1678.2448,11.0,1.0
2.1880226,0.41331863,3.0674543,1676.8982,12.0,1.0
2.5338259,0.52921104,2.951562,1672.0043,13.0,1.0
2.7071943,0.59813213,2.8826408,1680.6863,14.0,1.0
2.931697,0.70549583,2.7752771,1677.7898,15.0,1.0
2.9051027,0.67409706,2.806676,1668.2488,16.0,1.0
3.0206232,0.7277565,2.7530165,1661.9938,17.0,1.0
3.061471,0.7434473,2.7373257,1660.3484,18.0,1.0
3.1576662,0.7981386,2.6826344,1661.647,19.0,1.0
3.0790691,0.7370138,2.7437592,1676.5457,20.0,1.0
3.1312714,0.775033,2.70574,1676.373,21.0,1.0
3.4083433,0.9473257,2.5334473,1673.6005,22.0,1.0
3.528514,1.0203152,2.4604578,1673.1792,23.0,1.0
3.4661179,0.97774315,2.5030298,1684.8813,24.0,1.0
3.5828161,1.0480633,2.4327097,1683.738,25.0,1.0
3.5618105,1.0285244,2.4522486,1694.049,26.0,1.0
3.6229887,1.0611382,2.4196348,1688.0198,27.0,1.0
3.6749887,1.0914793,2.3892937,1700.4666,28.0,1.0
3.6532478,1.0647697,2.4160032,1703.8079,29.0,1.0
3.7776327,1.1453371,2.3354359,1722.3346,30.0,1.0
3.8043118,1.1659489,2.314824,1710.2764,31.0,1.0
3.8195782,1.1709089,2.309864,1716.4424,32.0,1.0
3.8677502,1.2105484,2.2702246,1719.489,33.0,1.0
3.9088879,1.2410583,2.2397146,1721.1053,34.0,1.0
3.9547577,1.2685108,2.2122622,1718.7648,35.0,1.0
3.9674807,1.27876,2.202013,1703.2692,36.0,1.0
4.0590715,1.3326035,2.1481695,1685.0525,37.0,1.0
4.177059,1.4243059,2.056467,1691.019,38.0,1.0
4.3940153,1.5884581,1.8923149,1685.448,39.0,1.0
4.5356627,1.6957684,1.7850046,1682.0155,40.0,1.0
4.539838,1.6957407,1.7850323,1659.0114,41.0,1.0
4.652564,1.7855549,1.6952181,1635.9814,42.0,1.0
