complexity,accuracy,distortion,mse,round,run
0.0,0.0,3.4807768,1664.728,0.0,1.0
0.07106495,0.008407593,3.4723654,1663.5626,1.0,1.0
0.20183372,0.023426056,3.457347,1662.1812,2.0,1.0
0.36655426,0.042286873,3.438486,1662.5608,3.0,1.0
0.5649061,0.068725586,3.4120474,1661.7705,4.0,1.0
0.7686739,0.09774494,3.383028,1669.3682,5.0,1.0
0.9995575,0.13017273,3.3506002,1658.0775,6.0,1.0
1.2185125,0.1668539,3.313919,1658.2322,7.0,1.0
1.386446,0.19329643,3.2874765,1660.7615,8.0,1.0
1.6207676,0.24568844,3.2350845,1671.1548,9.0,1.0
1.8546906,0.3119278,3.1688452,1652.4832,10.0,1.0
1.8771048,0.3205185,3.1602545,1645.132,11.0,1.0
1.9828129,0.3414936,3.1392794,1650.1035,12.0,1.0
2.229249,0.4260397,3.0547333,1675.4167,13.0,1.0
2.3713446,0.47022247,3.0105505,1683.1892,14.0,1.0
2.5166636,0.5382366,2.9425364,1678.7028,15.0,1.0
2.6570435,0.5813799,2.899393,1689.983,16.0,1.0
2.8573923,0.6687794,2.8119936,1677.5701,17.0,1.0
3.0502682,0.75628567,2.7244873,1656.0544,18.0,1.0
3.22865,0.8477192,2.6330538,1644.1932,19.0,1.0
3.2812424,0.8679075,2.6128654,1639.0673,20.0,1.0
3.3980017,0.9424639,2.538309,1634.5143,21.0,1.0
3.5959444,1.0556908,2.4250822,1640.0728,22.0,1.0
3.7306032,1.1268883,2.3538847,1653.9285,23.0,1.0
3.7875528,1.1626015,2.3181715,1660.8579,24.0,1.0
3.8818521,1.2230072,2.2577658,1636.9895,25.0,1.0
4.0293503,1.317133,2.16364,1621.6892,26.0,1.0
4.231798,1.454855,2.025918,1602.1343,27.0,1.0
4.1321993,1.3872776,2.0934954,1602.1171,28.0,1.0
4.175338,1.4184494,2.0623236,1587.9148,29.0,1.0
4.136382,1.3903751,2.0903978,1588.9001,30.0,1.0
4.24442,1.4656305,2.0151424,1570.365,31.0,1.0
4.3365297,1.5207796,1.9599934,1567.7482,32.0,1.0
4.3393965,1.5298815,1.9508915,1561.6716,33.0,1.0
4.2861032,1.4864693,1.9943037,1564.7126,34.0,1.0
4.414736,1.5694208,1.9113522,1551.3134,35.0,1.0
4.4682665,1.6139727,1.8668003,1537.0391,36.0,1.0
4.43316,1.5976791,1.8830938,1535.2361,37.0,1.0
4.5815544,1.6976576,1.7831154,1524.2914,38.0,1.0
4.4530334,1.6116428,1.8691301,1534.7068,39.0,1.0
4.608988,1.7114143,1.7693586,1530.9456,40.0,1.0
4.557041,1.6775837,1.8031893,1540.7202,41.0,1.0
4.6861267,1.7714319,1.709341,1532.1589,42.0,1.0
4.882593,1.9232712,1.5575018,1534.5627,43.0,1.0
4.9248705,1.9549675,1.5258055,1529.5278,44.0,1.0
4.9113135,1.9374266,1.5433464,1526.9514,45.0,1.0
4.9645863,1.9867773,1.4939957,1519.1085,46.0,1.0
5.0225153,2.0416393,1.4391336,1526.4458,47.0,1.0
5.0609646,2.076149,1.404624,1530.9519,48.0,1.0
5.0376844,2.051159,1.4296141,1523.7146,49.0,1.0
5.073395,2.0834866,1.3972864,1517.3602,50.0,1.0
5.068882,2.0757046,1.4050684,1513.9777,51.0,1.0
5.070928,2.079526,1.401247,1513.1345,52.0,1.0
5.1003957,2.1048717,1.3759012,1517.4795,53.0,1.0
5.1609645,2.1618052,1.3189678,1523.8059,54.0,1.0
5.3218527,2.3088398,1.1719332,1537.2578,55.0,1.0
5.3735237,2.355773,1.125,1543.1254,56.0,1.0
5.2350416,2.22958,1.251193,1529.1123,57.0,1.0
5.278668,2.2667103,1.2140627,1533.6555,58.0,1.0
5.218302,2.211299,1.269474,1526.9214,59.0,1.0
5.269799,2.2584896,1.2222834,1531.6819,60.0,1.0
5.232932,2.224165,1.256608,1527.939,61.0,1.0
5.1743326,2.1701736,1.3105993,1520.7356,62.0,1.0
5.1105585,2.11067,1.3701029,1513.2799,63.0,1.0
5.100891,2.101736,1.3790369,1510.4563,64.0,1.0
5.067479,2.0694304,1.4113426,1507.1702,65.0,1.0
5.072052,2.0742989,1.4064741,1507.7206,66.0,1.0
5.0678625,2.0685902,1.4121828,1502.876,67.0,1.0
5.083311,2.0856743,1.3950987,1510.3813,68.0,1.0
5.058376,2.0597067,1.4210663,1507.3516,69.0,1.0
5.0632854,2.0651894,1.4155836,1511.4657,70.0,1.0
5.066908,2.0686197,1.4121532,1510.7358,71.0,1.0
5.064901,2.067378,1.4133949,1511.3843,72.0,1.0
5.096113,2.0968113,1.3839617,1515.884,73.0,1.0
5.0881824,2.08739,1.393383,1510.8164,74.0,1.0
5.0629873,2.0615406,1.4192324,1507.2318,75.0,1.0
5.0621614,2.0614872,1.4192858,1509.8838,76.0,1.0
5.077759,2.078601,1.4021721,1511.5786,77.0,1.0
5.0454426,2.04743,1.4333429,1504.7476,78.0,1.0
5.052988,2.0530548,1.4277182,1509.3619,79.0,1.0
5.059895,2.059616,1.4211569,1503.7776,80.0,1.0
5.0559916,2.05542,1.425353,1504.0103,81.0,1.0
5.0585213,2.0542107,1.4265623,1495.469,82.0,1.0
5.0567064,2.0531206,1.4276524,1501.4883,83.0,1.0
5.068752,2.0622091,1.4185638,1489.9235,84.0,1.0
5.0822625,2.0715952,1.4091778,1487.4143,85.0,1.0
5.0696144,2.0616493,1.4191236,1490.604,86.0,1.0
5.092395,2.0809631,1.3998098,1490.8575,87.0,1.0
5.0798664,2.071806,1.408967,1495.0458,88.0,1.0
5.0981264,2.0911207,1.3896523,1501.21,89.0,1.0
5.0902896,2.0793505,1.4014225,1494.3508,90.0,1.0
5.08549,2.0774508,1.4033222,1494.0586,91.0,1.0
5.079014,2.06744,1.4133329,1487.142,92.0,1.0
5.079679,2.0686684,1.4121046,1483.4558,93.0,1.0
5.092434,2.0780897,1.4026833,1475.3479,94.0,1.0
5.092041,2.0806742,1.4000988,1481.9271,95.0,1.0
5.0977826,2.0915842,1.3891888,1493.8066,96.0,1.0
5.149164,2.1380205,1.3427525,1498.2067,97.0,1.0
5.2183285,2.200345,1.2804279,1503.4579,98.0,1.0
5.2514534,2.2283945,1.2523785,1504.3323,99.0,1.0
5.221859,2.2016888,1.2790842,1501.0144,100.0,1.0
5.210124,2.1909447,1.2898283,1499.0759,101.0,1.0
5.198683,2.1792898,1.3014832,1495.1342,102.0,1.0
5.188496,2.1672516,1.3135214,1488.8578,103.0,1.0
5.173895,2.1526642,1.3281088,1484.6823,104.0,1.0
5.1609564,2.1413622,1.3394108,1483.2649,105.0,1.0
5.1471386,2.1276102,1.3531628,1478.5594,106.0,1.0
5.1451654,2.1274376,1.3533354,1480.044,107.0,1.0
5.152047,2.1344452,1.3463278,1482.4641,108.0,1.0
5.1674566,2.1507092,1.3300638,1488.7693,109.0,1.0
5.1497927,2.1329613,1.3478117,1481.7058,110.0,1.0
5.193161,2.1760101,1.3047628,1497.2295,111.0,1.0
5.2339277,2.215105,1.2656679,1508.185,112.0,1.0
5.253263,2.233367,1.247406,1512.6055,113.0,1.0
5.1591034,2.141982,1.3387909,1482.8601,114.0,1.0
5.1500607,2.1318226,1.3489504,1474.5402,115.0,1.0
5.1655726,2.1461172,1.3346558,1475.859,116.0,1.0
5.195865,2.1753473,1.3054256,1486.6671,117.0,1.0
5.249152,2.228444,1.2523289,1509.6592,118.0,1.0
5.2293005,2.2097054,1.2710676,1504.4235,119.0,1.0
5.2421255,2.2223282,1.2584448,1508.9369,120.0,1.0
5.1776705,2.1602192,1.3205538,1489.1982,121.0,1.0
5.210187,2.1923714,1.2884016,1501.457,122.0,1.0
5.2125587,2.194543,1.2862301,1502.054,123.0,1.0
5.277075,2.2557402,1.2250328,1517.7828,124.0,1.0
5.263977,2.2426748,1.2380981,1513.3896,125.0,1.0
5.3068304,2.2829275,1.1978455,1522.6555,126.0,1.0
5.409572,2.3778038,1.1029692,1540.5736,127.0,1.0
5.4106145,2.3787804,1.1019926,1541.1069,128.0,1.0
5.322229,2.2961302,1.1846428,1524.663,129.0,1.0
5.30332,2.2781906,1.2025824,1520.2754,130.0,1.0
5.3591003,2.3307486,1.1500244,1532.4988,131.0,1.0
5.4297647,2.396555,1.084218,1544.7383,132.0,1.0
5.4460855,2.4116592,1.0691137,1547.2015,133.0,1.0
5.4297647,2.396555,1.084218,1544.7383,134.0,1.0
5.463781,2.4280014,1.0527716,1549.7748,135.0,1.0
5.399978,2.3688955,1.1118774,1539.9343,136.0,1.0
5.359655,2.3312511,1.1495218,1532.6077,137.0,1.0
5.324831,2.2985067,1.1822662,1525.3271,138.0,1.0
5.359655,2.3312511,1.1495218,1532.6077,139.0,1.0
5.336627,2.3095655,1.1712074,1527.859,140.0,1.0
