complexity,accuracy,distortion,mse,round,run,min_distance_to_curve
9.536743e-07,9.536743e-07,3.480772,1664.7275,0.0,1.0,5.291949754618198e-08
9.536743e-07,0.0,3.480773,1639.2252,1.0,1.0,6.538479267680976e-07
1.9073486e-06,0.0,3.480773,1621.4397,2.0,1.0,1.3082053661251862e-06
2.861023e-06,2.861023e-06,3.48077,1607.2191,3.0,1.0,1.24893828522356e-07
1.7166138e-05,1.4305115e-05,3.4807587,1595.1592,4.0,1.0,1.3729160985722567e-06
9.918213e-05,9.346008e-05,3.4806795,1584.524,5.0,1.0,2.570461374545586e-06
0.00059890747,0.00057411194,3.4801989,1574.4907,6.0,1.0,1.0494986640180126e-05
0.0037260056,0.0036010742,3.477172,1561.905,7.0,1.0,1.9152364831369005e-05
0.023359299,0.02267456,3.4580984,1528.0706,8.0,1.0,0.00037525299206343684
0.14050102,0.13670826,3.3440647,1377.2284,9.0,1.0,0.0002728802970784278
0.6546259,0.6356983,2.8450747,903.9778,10.0,1.0,0.002819866502478918
1.6317472,1.5692596,1.9115133,335.73193,11.0,1.0,0.012670756691583473
2.3033314,2.1840105,1.2967625,99.36246,12.0,1.0,0.009584740885639325
2.5955153,2.4307165,1.0500565,50.05374,13.0,1.0,0.0028090006760212354
2.7288074,2.5344477,0.9463253,38.085335,14.0,1.0,0.013910068849034824
2.7955446,2.5841408,0.8966322,34.052895,15.0,1.0,0.008571753149964058
2.828988,2.6083565,0.8724165,32.969444,16.0,1.0,0.01780034744707422
2.8462105,2.6206741,0.86009884,32.489662,17.0,1.0,0.00337661651288762
2.8553543,2.6271935,0.8535795,32.240337,18.0,1.0,0.012815977592919959
2.8603697,2.6307812,0.8499918,32.103756,19.0,1.0,0.0066494735552565624
2.863224,2.632841,0.84793186,32.02461,20.0,1.0,0.0031296862542199515
2.8649082,2.6340752,0.8466978,31.976023,21.0,1.0,0.0010428990405115508
2.8659344,2.6348429,0.8459301,31.944519,22.0,1.0,0.0002517048406282654
2.8665724,2.635336,0.84543705,31.923103,23.0,1.0,0.0010508383567115714
2.8669758,2.6356611,0.84511185,31.907974,24.0,1.0,0.0015685865969788213
2.8672295,2.6358738,0.8448992,31.896992,25.0,1.0,0.0018996378964521458
2.867381,2.636015,0.84475803,31.888866,26.0,1.0,0.0021065568936511703
2.8674679,2.6361027,0.8446703,31.882786,27.0,1.0,0.002229652769136907
2.867507,2.636158,0.844615,31.878208,28.0,1.0,0.00229549065851192
2.8675127,2.6361847,0.8445883,31.874762,29.0,1.0,0.0023174730884085943
2.8674946,2.6361942,0.84457874,31.872173,30.0,1.0,0.002310383449840761
2.8674593,2.6361895,0.8445835,31.87025,31.0,1.0,0.0022811839600598515
2.8674173,2.636176,0.84459686,31.868841,32.0,1.0,0.002241259026375406
2.867364,2.6361542,0.8446188,31.867832,33.0,1.0,0.0021875918951280433
2.8673077,2.6361294,0.8446436,31.86714,34.0,1.0,0.002129886696588248
2.8672476,2.6360998,0.84467316,31.866692,35.0,1.0,0.0020663207403934687
2.8671856,2.6360693,0.8447037,31.86643,36.0,1.0,0.002001005142702133
2.8671265,2.6360369,0.8447361,31.866325,37.0,1.0,0.0019365889517000486
2.8670645,2.6360044,0.8447685,31.866337,38.0,1.0,0.0018703239322390762
2.8670053,2.635973,0.8448,31.866432,39.0,1.0,0.0018070433515686357
2.8669472,2.6359406,0.8448324,31.866598,40.0,1.0,0.0017440289778029227
2.8668947,2.6359072,0.8448658,31.866808,41.0,1.0,0.001684217568635871
2.8668404,2.6358786,0.8448944,31.86705,42.0,1.0,0.0016270648114393963
2.8667898,2.635851,0.84492207,31.867313,43.0,1.0,0.0015733624353863544
2.866743,2.6358232,0.8449497,31.867588,44.0,1.0,0.0015221828458295283
2.8666983,2.6357975,0.8449755,31.867863,45.0,1.0,0.0014741864896084564
2.8666553,2.6357737,0.8449993,31.868137,46.0,1.0,0.0014289813903200644
2.8666162,2.6357508,0.8450222,31.868402,47.0,1.0,0.001387101471788529
2.86658,2.635728,0.8450451,31.868658,48.0,1.0,0.0013472352709388452
2.8665457,2.6357088,0.84506416,31.868898,49.0,1.0,0.0013115876059391198
2.8665133,2.6356888,0.8450842,31.869127,50.0,1.0,0.0012765813698275843
2.8664837,2.6356735,0.84509945,31.869339,51.0,1.0,0.0012472174238350527
2.866458,2.6356564,0.8451166,31.869537,52.0,1.0,0.0012187050646640008
2.8664312,2.635642,0.8451309,31.86972,53.0,1.0,0.001191979026208074
2.8664074,2.6356287,0.8451443,31.869888,54.0,1.0,0.0011679632722537436
2.8663864,2.6356153,0.8451576,31.87004,55.0,1.0,0.0011454768744337586
2.8663664,2.6356049,0.8451681,31.870182,56.0,1.0,0.001126177748650208
2.8663464,2.6355934,0.84517956,31.870308,57.0,1.0,0.0011060536306354224
2.8663301,2.6355858,0.8451872,31.870422,58.0,1.0,0.0010912735072492517
2.866315,2.6355753,0.8451977,31.87053,59.0,1.0,0.0010746585724500965
2.8663006,2.6355677,0.8452053,31.87062,60.0,1.0,0.001060976356090536
2.8662872,2.63556,0.84521294,31.870705,61.0,1.0,0.0010477602309227375
2.866273,2.6355524,0.84522057,31.87078,62.0,1.0,0.0010343161340685583
2.8662634,2.6355457,0.84522724,31.87085,63.0,1.0,0.0010238898330763241
2.866252,2.63554,0.84523296,31.870907,64.0,1.0,0.0010135462926594253
2.8662415,2.6355352,0.84523773,31.870962,65.0,1.0,0.0010044689109897076
2.866232,2.6355295,0.84524345,31.871006,66.0,1.0,0.000995087743514034
2.8662243,2.6355247,0.8452482,31.871046,67.0,1.0,0.0009873487139562202
2.8662157,2.635521,0.84525204,31.871082,68.0,1.0,0.0009802235944911305
2.866209,2.635518,0.8452549,31.871117,69.0,1.0,0.0009745931391364996
