complexity,accuracy,distortion,mse,round,run,min_distance_to_curve
0.6711817,0.11226845,3.3685045,1653.357,0.0,1.0,0.38631824740826165
0.15347385,0.11895752,3.3618155,1521.2131,1.0,1.0,0.021786981045292364
0.3826189,0.3567934,3.1239796,1222.341,2.0,1.0,0.009958839186159245
1.0873766,1.0460119,2.434761,616.2371,3.0,1.0,0.007087682631668692
1.8039312,1.7364702,1.7443027,208.29892,4.0,1.0,0.011672904487147142
2.1280613,2.0394478,1.4413252,93.08289,5.0,1.0,0.006541642188141908
2.262166,2.159503,1.32127,65.706184,6.0,1.0,0.003475164699836697
2.3295012,2.217679,1.263094,57.597565,7.0,1.0,0.002360255344881737
2.3687277,2.2508907,1.2298822,54.208824,8.0,1.0,0.0006885763511867591
2.3934183,2.271575,1.209198,52.672222,9.0,1.0,0.0062432730929654345
2.409668,2.285118,1.1956549,51.745255,10.0,1.0,0.006439906900399102
2.4207458,2.2943296,1.1864433,51.134155,11.0,1.0,0.006873637629878795
2.428526,2.3007965,1.1799765,50.716343,12.0,1.0,0.002971522163709319
2.4341574,2.305479,1.1752939,50.421146,13.0,1.0,0.0030165615714445215
2.4383526,2.3089724,1.1718006,50.206,14.0,1.0,0.0006943532467673101
2.4415722,2.311656,1.169117,50.04445,15.0,1.0,0.003564293773686334
2.4441032,2.3137703,1.1670027,49.91969,16.0,1.0,0.0068572493876276775
2.446147,2.3154783,1.1652946,49.820835,17.0,1.0,0.006144707188644856
2.4478292,2.316886,1.163887,49.740707,18.0,1.0,0.003959183524312877
2.449235,2.3180656,1.1627073,49.67447,19.0,1.0,0.0021437457692822636
2.450426,2.319067,1.161706,49.618816,20.0,1.0,0.0006923268972582736
2.4514475,2.3199263,1.1608467,49.571438,21.0,1.0,0.0008985231835444377
2.4523315,2.3206701,1.1601028,49.530663,22.0,1.0,0.0012381086317837626
2.4531002,2.3213186,1.1594543,49.49528,23.0,1.0,0.0004899940614138682
2.4537697,2.3218842,1.1588888,49.464367,24.0,1.0,0.0008738390809425681
2.4543562,2.322381,1.158392,49.437218,25.0,1.0,0.0015773695772752395
2.4548702,2.3228178,1.1579552,49.413277,26.0,1.0,0.002230679704849671
2.4553251,2.323203,1.1575699,49.392086,27.0,1.0,0.0028161742462748276
2.4557228,2.3235435,1.1572294,49.3733,28.0,1.0,0.003333918938000374
2.4560747,2.323843,1.15693,49.356583,29.0,1.0,0.003792051669660774
2.4563837,2.3241072,1.1566658,49.3417,30.0,1.0,0.004195933745101914
2.4566545,2.3243399,1.1564331,49.328423,31.0,1.0,0.004551116392718058
2.456894,2.3245459,1.1562271,49.316566,32.0,1.0,0.004865614140567148
2.4571028,2.324728,1.156045,49.30596,33.0,1.0,0.005130191738760268
2.4572868,2.3248863,1.1558867,49.296474,34.0,1.0,0.004890014240405782
