complexity,accuracy,distortion,mse,round,run,min_distance_to_curve
0.0070972443,0.0008678436,3.4799051,1664.9807,0.0,1.0,0.004303241448019075
0.0016593933,0.0011577606,3.4796152,1663.3461,1.0,1.0,0.0003132096291536458
0.00683403,0.00566864,3.4751043,1659.6167,2.0,1.0,0.0006863779889072033
0.036206245,0.03202343,3.4487495,1640.3547,3.0,1.0,0.0022629991497338294
0.2012806,0.18383121,3.2969418,1522.5542,4.0,1.0,0.00894869563427511
0.9288206,0.8614769,2.619296,995.26404,5.0,1.0,0.026573259019983524
2.168521,2.0105114,1.4702616,302.39713,6.0,1.0,0.0525471200335459
2.7430077,2.5231113,0.9576616,80.19423,7.0,1.0,0.020692888689505484
2.9076853,2.6584778,0.8222952,38.067566,8.0,1.0,0.004518141107628434
2.9644861,2.7011547,0.77961826,29.598612,9.0,1.0,0.003036230003359397
2.9875345,2.7173042,0.76346874,28.423496,10.0,1.0,0.0030860964297341497
2.997611,2.7240639,0.7567091,28.198338,11.0,1.0,0.006504355018781045
3.0023632,2.727232,0.753541,28.097038,12.0,1.0,0.0009026947508969565
3.0046349,2.7287502,0.75202274,28.048786,13.0,1.0,0.0020083446680533843
3.0057354,2.7294922,0.7512808,28.02493,14.0,1.0,0.003313626719900009
3.006279,2.729865,0.7509079,28.012493,15.0,1.0,0.003966652196308698
3.0065527,2.7300606,0.7507124,28.005527,16.0,1.0,0.004299850668238243
3.0066948,2.7301693,0.7506037,28.001263,17.0,1.0,0.004476417460269975
3.006771,2.7302313,0.7505417,27.998375,18.0,1.0,0.004572947298719575
3.006815,2.7302723,0.7505007,27.996218,19.0,1.0,0.004631216677277006
3.0068407,2.730299,0.750474,27.994467,20.0,1.0,0.004666601654134285
3.006854,2.730318,0.7504549,27.99296,21.0,1.0,0.004687434073829201
3.0068645,2.7303333,0.75043964,27.991623,22.0,1.0,0.004704042212952959
3.0068655,2.7303429,0.7504301,27.990452,23.0,1.0,0.004709591320593994
3.0068598,2.7303467,0.7504263,27.989458,24.0,1.0,0.004706472982490777
3.0068445,2.7303476,0.75042534,27.98867,25.0,1.0,0.004693573649242214
3.0068207,2.73034,0.75043297,27.988098,26.0,1.0,0.00466910801443168
3.0067854,2.7303257,0.7504473,27.987717,27.0,1.0,0.0046313395878153545
3.0067463,2.7303085,0.75046444,27.987503,28.0,1.0,0.004588840460960851
3.0067034,2.7302895,0.7504835,27.987404,29.0,1.0,0.004542152236430141
3.0066614,2.7302675,0.75050545,27.987383,30.0,1.0,0.004494767153273474
3.0066175,2.7302494,0.75052357,27.987404,31.0,1.0,0.004447662617168942
3.0065784,2.7302303,0.75054264,27.987446,32.0,1.0,0.004404236852000409
3.0065422,2.7302132,0.7505598,27.98749,33.0,1.0,0.004364323231641493
3.0065117,2.730196,0.750577,27.98753,34.0,1.0,0.004329308356965009
3.0064812,2.7301826,0.7505903,27.98755,35.0,1.0,0.004296182403179861
3.0064545,2.7301693,0.7506037,27.987558,36.0,1.0,0.004266404549028375
3.0064344,2.7301607,0.75061226,27.987547,37.0,1.0,0.004244691574961122
3.0064144,2.7301512,0.7506218,27.987516,38.0,1.0,0.004222617963565664
3.0063982,2.7301435,0.7506294,27.987469,39.0,1.0,0.004204736367673409
3.006384,2.7301397,0.75063324,27.987406,40.0,1.0,0.004190535843171973
3.0063725,2.730135,0.750638,27.987331,41.0,1.0,0.004178226339410161
3.0063648,2.7301302,0.7506428,27.987246,42.0,1.0,0.004169157932169807
3.0063562,2.7301283,0.7506447,27.987148,43.0,1.0,0.004160760963607998
3.0063505,2.7301264,0.7506466,27.987041,44.0,1.0,0.004154875565621393
3.0063467,2.7301254,0.75064754,27.986929,45.0,1.0,0.004151085761963386
3.0063438,2.7301245,0.7506485,27.986809,46.0,1.0,0.004148125136350939
3.006341,2.7301254,0.75064754,27.986685,47.0,1.0,0.0041461537669046904
3.00634,2.7301254,0.75064754,27.986553,48.0,1.0,0.004145288707717862
3.0063381,2.7301264,0.7506466,27.986423,49.0,1.0,0.004144147273999631
3.006339,2.7301254,0.75064754,27.98629,50.0,1.0,0.004144423709257016
3.006339,2.7301283,0.7506447,27.98616,51.0,1.0,0.004145879766028601
3.006339,2.7301311,0.7506418,27.986023,52.0,1.0,0.004147287053031114
3.006342,2.730132,0.75064087,27.98589,53.0,1.0,0.004150332799359028
3.006342,2.730135,0.750638,27.985754,54.0,1.0,0.0041518417171887215
3.0063448,2.730136,0.75063705,27.985619,55.0,1.0,0.004154764602083318
3.0063486,2.7301397,0.75063324,27.985487,56.0,1.0,0.0041599103813163485
3.0063505,2.7301426,0.7506304,27.985355,57.0,1.0,0.004163012224485569
3.0063524,2.7301435,0.7506294,27.98523,58.0,1.0,0.004165106924087328
3.0063562,2.7301455,0.7506275,27.9851,59.0,1.0,0.004169397071290441
3.0063572,2.7301493,0.7506237,27.984978,60.0,1.0,0.0041721757487944554
3.006362,2.7301502,0.75062275,27.984854,61.0,1.0,0.0041767750362328784
3.0063639,2.730154,0.75061893,27.98473,62.0,1.0,0.004180331590158342
3.0063686,2.730156,0.750617,27.984613,63.0,1.0,0.004185398780560247
3.0063705,2.7301598,0.7506132,27.984499,64.0,1.0,0.004188956267698771
3.0063734,2.7301617,0.7506113,27.984385,65.0,1.0,0.004192418757164638
3.0063763,2.7301636,0.7506094,27.984276,66.0,1.0,0.004195881254058049
3.00638,2.7301674,0.7506056,27.984167,67.0,1.0,0.004200993667908253
3.006383,2.7301702,0.7506027,27.984064,68.0,1.0,0.004204997192523479
3.0063848,2.7301712,0.75060177,27.98396,69.0,1.0,0.0042070557941138184
3.0063896,2.730174,0.7505989,27.98386,70.0,1.0,0.004212612764707957
3.0063925,2.730176,0.750597,27.983763,71.0,1.0,0.004216125891710667
3.0063944,2.7301788,0.75059414,27.983667,72.0,1.0,0.004219180566027751
3.0063982,2.7301788,0.75059414,27.983576,73.0,1.0,0.0042224595397687805
3.006401,2.7301826,0.7505903,27.983486,74.0,1.0,0.004226796115853746
3.006404,2.7301846,0.7505884,27.983398,75.0,1.0,0.004230395620177179
3.0064058,2.7301865,0.7505865,27.983315,76.0,1.0,0.004232909324402711
3.0064096,2.7301874,0.75058556,27.983234,77.0,1.0,0.004236642810599012
3.0064106,2.7301903,0.7505827,27.983152,78.0,1.0,0.004238972144942313
3.0064135,2.7301922,0.7505808,27.983074,79.0,1.0,0.004242434884394417
3.0064182,2.730194,0.7505789,27.983002,80.0,1.0,0.004247399692010862
3.0064192,2.730197,0.750576,27.98293,81.0,1.0,0.004249780280358838
3.006421,2.730198,0.75057507,27.982857,82.0,1.0,0.004251838827728911
3.006425,2.7301998,0.75057316,27.98279,83.0,1.0,0.00425619966524229
3.0064268,2.7302017,0.75057125,27.982725,84.0,1.0,0.004258713795949017
3.0064287,2.7302027,0.7505703,27.982658,85.0,1.0,0.0042608585790084585
3.0064325,2.7302055,0.75056744,27.982597,86.0,1.0,0.004265553180118872
3.0064335,2.7302074,0.7505655,27.982538,87.0,1.0,0.004267377729594164
3.0064354,2.7302074,0.7505655,27.98248,88.0,1.0,0.004269016000808068
3.0064373,2.7302094,0.7505636,27.982426,89.0,1.0,0.004271667226744523
3.0064392,2.7302103,0.75056267,27.982368,90.0,1.0,0.004273761327438296
3.006442,2.7302113,0.7505617,27.982319,91.0,1.0,0.004276682131985607
3.006443,2.7302132,0.7505598,27.98227,92.0,1.0,0.004278506731636516
3.006443,2.730215,0.7505579,27.98222,93.0,1.0,0.004279418931601422
3.0064468,2.730216,0.75055695,27.982174,94.0,1.0,0.004283201540293338
3.0064478,2.730216,0.75055695,27.982128,95.0,1.0,0.004284063681045834
3.0064497,2.730217,0.750556,27.982082,96.0,1.0,0.004286208424442222
3.0064507,2.7302208,0.7505522,27.982042,97.0,1.0,0.004288996572451359
3.0064545,2.7302208,0.7505522,27.982002,98.0,1.0,0.004292272055070325
3.0064545,2.7302208,0.7505522,27.981964,99.0,1.0,0.004292272055070325
3.0064545,2.7302217,0.7505512,27.981926,100.0,1.0,0.004292728215771698
3.0064564,2.7302227,0.75055027,27.981892,101.0,1.0,0.004294872923496802
3.0064573,2.7302246,0.75054836,27.981857,102.0,1.0,0.004296612004213649
3.0064602,2.7302246,0.75054836,27.981821,103.0,1.0,0.004299111660721709
3.0064611,2.7302275,0.7505455,27.981792,104.0,1.0,0.004301357830209286
3.0064611,2.7302265,0.75054646,27.981762,105.0,1.0,0.004300850662034226
3.006462,2.7302256,0.7505474,27.981731,106.0,1.0,0.004301170172988715
3.006464,2.7302284,0.75054455,27.981703,107.0,1.0,0.004304313624708363
3.006464,2.7302294,0.7505436,27.981678,108.0,1.0,0.004304820826263568
3.006466,2.7302294,0.7505436,27.981653,109.0,1.0,0.004306544499154985
3.006465,2.7302313,0.7505417,27.981628,110.0,1.0,0.0043066465980907435
3.0064669,2.7302313,0.7505417,27.981607,111.0,1.0,0.004308283828738033
3.0064669,2.7302303,0.75054264,27.981585,112.0,1.0,0.004307776593857107
3.0064697,2.7302341,0.7505388,27.981564,113.0,1.0,0.004312117361876304
3.0064688,2.7302322,0.75054073,27.981544,114.0,1.0,0.004310377760339745
3.0064707,2.7302332,0.7505398,27.981525,115.0,1.0,0.004312522425603494
3.0064707,2.7302341,0.7505388,27.981508,116.0,1.0,0.004312979032070504
3.0064697,2.7302332,0.7505398,27.981491,117.0,1.0,0.004311660664158101
3.0064716,2.730235,0.7505379,27.981476,118.0,1.0,0.0043142112500964705
3.0064707,2.730236,0.7505369,27.98146,119.0,1.0,0.004313943436950593
3.0064726,2.730236,0.7505369,27.981447,120.0,1.0,0.004315580408859062
3.0064735,2.730236,0.7505369,27.981436,121.0,1.0,0.004316355891833117
3.0064735,2.730237,0.75053596,27.981424,122.0,1.0,0.00431686343904286
3.0064745,2.730237,0.75053596,27.981413,123.0,1.0,0.004317725042175534
3.0064754,2.730237,0.75053596,27.981401,124.0,1.0,0.004318500536003674
3.0064735,2.730237,0.75053596,27.981394,125.0,1.0,0.00431686343904286
3.0064735,2.730236,0.7505369,27.981384,126.0,1.0,0.004316355891833117
3.0064735,2.730237,0.75053596,27.981379,127.0,1.0,0.00431686343904286
3.0064745,2.730238,0.750535,27.981373,128.0,1.0,0.004318232660037455
3.0064735,2.730238,0.750535,27.981365,129.0,1.0,0.00431737115820836
3.0064735,2.730238,0.750535,27.981361,130.0,1.0,0.00431737115820836
3.0064764,2.730239,0.75053406,27.981358,131.0,1.0,0.004320377275275582
3.0064754,2.730239,0.75053406,27.981352,132.0,1.0,0.004319515761313171
3.0064754,2.730239,0.75053406,27.98135,133.0,1.0,0.004319515761313171
3.0064754,2.730237,0.75053596,27.981346,134.0,1.0,0.004318500536003674
3.0064764,2.730239,0.75053406,27.981346,135.0,1.0,0.004320377275275582
3.0064745,2.730239,0.75053406,27.981342,136.0,1.0,0.004318740449783779
3.0064764,2.730239,0.75053406,27.981342,137.0,1.0,0.004320377275275582
3.0064745,2.730238,0.750535,27.981342,138.0,1.0,0.004318232660037455
3.0064735,2.730238,0.750535,27.981344,139.0,1.0,0.00431737115820836
3.0064745,2.730238,0.750535,27.981346,140.0,1.0,0.004318232660037455
3.0064745,2.730239,0.75053406,27.981348,141.0,1.0,0.004318740449783779
3.0064726,2.730238,0.750535,27.98135,142.0,1.0,0.0043165958576284495
3.0064726,2.730237,0.75053596,27.981354,143.0,1.0,0.0043160880472611594
3.0064726,2.730239,0.75053406,27.981354,144.0,1.0,0.004317103839900025
3.0064726,2.730239,0.75053406,27.98136,145.0,1.0,0.004317103839900025
3.0064735,2.730238,0.750535,27.981365,146.0,1.0,0.00431737115820836
3.0064716,2.7302399,0.7505331,27.981369,147.0,1.0,0.004316699975182385
3.0064716,2.730236,0.7505369,27.981375,148.0,1.0,0.004314718817819232
3.0064707,2.730237,0.75053596,27.98138,149.0,1.0,0.0043144512679588335
3.0064707,2.730237,0.75053596,27.981388,150.0,1.0,0.0043144512679588335
3.0064707,2.730238,0.750535,27.981396,151.0,1.0,0.004314959270952164
3.0064697,2.730236,0.7505369,27.9814,152.0,1.0,0.004313081959425803
3.0064688,2.730236,0.7505369,27.98141,153.0,1.0,0.004312306680778864
3.0064697,2.730236,0.7505369,27.981415,154.0,1.0,0.004313081959425803
3.0064697,2.730236,0.7505369,27.981424,155.0,1.0,0.004313081959425803
3.0064688,2.730235,0.7505379,27.981434,156.0,1.0,0.0043117988291089815
3.0064678,2.730237,0.75053596,27.981443,157.0,1.0,0.004311953442117361
3.0064678,2.730235,0.7505379,27.981453,158.0,1.0,0.004310937363755222
