complexity,accuracy,distortion,mse,round,run,min_distance_to_curve
0.69158554,0.12379742,3.3569756,1662.5902,0.0,1.0,0.39211392661366556
0.28086662,0.20596218,3.2748108,1570.5409,1.0,1.0,0.04770539104748494
1.073801,0.9210129,2.55976,1128.0609,2.0,1.0,0.08601767153649005
2.4144497,2.1682415,1.3125315,362.70633,3.0,1.0,0.093099140971461
2.8935308,2.6231985,0.85757446,88.45335,4.0,1.0,0.027898332108314966
2.9826355,2.7076635,0.77310944,37.19346,5.0,1.0,0.008676916149458197
3.0003004,2.7238731,0.75689983,29.920774,6.0,1.0,0.0048405639353726005
3.0050468,2.7280073,0.75276566,28.597013,7.0,1.0,0.0022929144195972845
3.007163,2.7298603,0.75091267,28.203485,8.0,1.0,0.004767655792324277
3.00801,2.7306232,0.7501497,28.074259,9.0,1.0,0.005853828509960201
3.0083227,2.7309437,0.7498293,28.009338,10.0,1.0,0.006277500641887507
3.008398,2.7310724,0.74970055,27.989868,11.0,1.0,0.006404204082891403
3.0083504,2.7310934,0.74967957,27.984253,12.0,1.0,0.006372312953516501
3.0082588,2.7310743,0.74969864,27.980797,13.0,1.0,0.006282792344532641
3.008151,2.73104,0.749733,27.97855,14.0,1.0,0.0061718488955097486
3.0080357,2.7309961,0.74977684,27.977104,15.0,1.0,0.00604975474648232
3.0079203,2.7309475,0.7498255,27.976192,16.0,1.0,0.005925323263359274
3.0078077,2.730898,0.74987507,27.97567,17.0,1.0,0.005802921154559856
3.0077019,2.7308464,0.74992657,27.975409,18.0,1.0,0.005685425648010436
3.0076027,2.7308016,0.7499714,27.975327,19.0,1.0,0.005577036826799413
3.0075102,2.7307558,0.75001717,27.975363,20.0,1.0,0.0054739906980513005
3.0074272,2.7307148,0.7500582,27.975471,21.0,1.0,0.005381581003428819
3.0073519,2.7306786,0.7500944,27.975616,22.0,1.0,0.005298244315860683
3.0072842,2.7306452,0.7501278,27.975784,23.0,1.0,0.005222899635545399
3.0072231,2.7306166,0.7501564,27.975956,24.0,1.0,0.005155673604685096
3.0071678,2.7305899,0.7501831,27.976128,25.0,1.0,0.005094427454822438
3.007121,2.730566,0.75020695,27.976294,26.0,1.0,0.005041946388532796
3.0070791,2.730544,0.7502289,27.976456,27.0,1.0,0.004994660026160397
3.00704,2.730526,0.750247,27.97661,28.0,1.0,0.004951800991790867
3.0070057,2.7305088,0.75026417,27.976757,29.0,1.0,0.004913499234304394
3.0069752,2.7304916,0.75028133,27.976898,30.0,1.0,0.004878486052552887
3.0069475,2.7304802,0.7502928,27.977036,31.0,1.0,0.0048488052051179195
3.0069218,2.7304678,0.7503052,27.977169,32.0,1.0,0.004820354051310906
3.006898,2.7304554,0.7503176,27.977299,33.0,1.0,0.004793546260433466
3.006876,2.7304459,0.7503271,27.977423,34.0,1.0,0.004769753366121532
3.006857,2.7304363,0.75033665,27.977547,35.0,1.0,0.004748503629055482
3.0068398,2.7304268,0.7503462,27.977669,36.0,1.0,0.0047288596619676155
3.0068235,2.7304173,0.7503557,27.977787,37.0,1.0,0.004709993289767375
3.0068064,2.7304096,0.75036335,27.977905,38.0,1.0,0.004691342526977477
3.006792,2.730402,0.750371,27.978024,39.0,1.0,0.0046750747680379375
3.0067778,2.7303953,0.75037766,27.97814,40.0,1.0,0.0046594336271166045
3.0067644,2.7303877,0.7503853,27.978252,41.0,1.0,0.004644029665635635
3.006752,2.730383,0.75039005,27.978365,42.0,1.0,0.004630952276379313
3.0067396,2.7303753,0.7503977,27.978477,43.0,1.0,0.004616361233455286
3.0067272,2.7303705,0.75040245,27.978588,44.0,1.0,0.004603234200201698
3.0067167,2.730363,0.7504101,27.978697,45.0,1.0,0.004590384022601217
3.0067062,2.730359,0.7504139,27.978804,46.0,1.0,0.004579301287351218
3.0066957,2.7303524,0.7504206,27.97891,47.0,1.0,0.004566905467942572
3.006688,2.7303476,0.75042534,27.979013,48.0,1.0,0.0045578354240974304
3.0066776,2.7303448,0.7504282,27.979116,49.0,1.0,0.0045474460664260506
3.006668,2.730339,0.7504339,27.97922,50.0,1.0,0.004536231016227059
3.0066605,2.7303343,0.7504387,27.979319,51.0,1.0,0.004527383952897228
3.0066528,2.7303295,0.75044346,27.979416,52.0,1.0,0.004518313789123272
3.0066433,2.7303257,0.7504473,27.979511,53.0,1.0,0.004508196245077141
3.0066376,2.730322,0.7504511,27.979605,54.0,1.0,0.004501407699170511
3.006629,2.730317,0.75045586,27.979696,55.0,1.0,0.004491459898660304
3.0066223,2.7303143,0.7504587,27.979786,56.0,1.0,0.004484314494902781
3.0066156,2.7303104,0.75046253,27.979876,57.0,1.0,0.004476562118127816
3.006609,2.7303057,0.7504673,27.979961,58.0,1.0,0.004468491320508767
3.0066013,2.7303028,0.75047016,27.980045,59.0,1.0,0.00446038227819339
3.0065947,2.730299,0.750474,27.980127,60.0,1.0,0.0044527667613936004
3.00659,2.7302952,0.7504778,27.98021,61.0,1.0,0.004446790078611841
3.0065842,2.7302933,0.7504797,27.980288,62.0,1.0,0.0044408260069387666
3.0065784,2.7302895,0.7504835,27.980364,63.0,1.0,0.004433900470064801
3.0065718,2.7302876,0.7504854,27.980438,64.0,1.0,0.0044272468226111035
3.006567,2.7302837,0.75048923,27.980509,65.0,1.0,0.004421132920949222
3.0065613,2.73028,0.75049305,27.98058,66.0,1.0,0.004414344211173717
