complexity,accuracy,distortion,mse,round,run
5.411287,2.3887157,1.0920563,1605.04,0.0,1.0
3.033175,2.6423726,0.8383994,143.20323,1.0,1.0
2.943874,2.6592894,0.82148266,33.43593,2.0,1.0
2.9286013,2.6650658,0.81570625,30.67793,3.0,1.0
2.9338436,2.6740599,0.80671215,30.330288,4.0,1.0
2.9438381,2.6834688,0.7973032,29.905315,5.0,1.0
2.9531136,2.6911583,0.7896137,29.554129,6.0,1.0
2.9605536,2.697029,0.7837429,29.295612,7.0,1.0
2.9663887,2.701517,0.7792549,29.102617,8.0,1.0
2.9710436,2.7050438,0.7757282,28.953667,9.0,1.0
2.9748588,2.7078972,0.77287483,28.835321,10.0,1.0
2.9780536,2.7102642,0.7705078,28.738972,11.0,1.0
2.9807673,2.7122564,0.7685156,28.659164,12.0,1.0
2.9830909,2.713951,0.7668209,28.592295,13.0,1.0
2.9850893,2.7153978,0.7653742,28.535816,14.0,1.0
2.9868145,2.7166395,0.7641325,28.487823,15.0,1.0
2.988306,2.7177067,0.76306534,28.446806,16.0,1.0
2.9896016,2.7186317,0.7621403,28.41155,17.0,1.0
2.9907284,2.7194338,0.76133823,28.381079,18.0,1.0
2.9917111,2.720131,0.7606411,28.354609,19.0,1.0
2.9925733,2.7207422,0.7600298,28.331493,20.0,1.0
2.9933314,2.7212763,0.75949574,28.31121,21.0,1.0
2.9939995,2.7217503,0.75902176,28.293297,22.0,1.0
2.994597,2.7221718,0.75860023,28.277359,23.0,1.0
2.9951334,2.7225485,0.75822353,28.263058,24.0,1.0
2.9956198,2.722889,0.7578831,28.250128,25.0,1.0
2.9960632,2.7231998,0.7575722,28.238367,26.0,1.0
2.9964695,2.723484,0.757288,28.227638,27.0,1.0
2.9968395,2.7237444,0.7570276,28.217827,28.0,1.0
2.997179,2.723981,0.7567911,28.208853,29.0,1.0
2.997491,2.7241993,0.7565727,28.200615,30.0,1.0
2.997778,2.7243986,0.7563734,28.193022,31.0,1.0
2.998045,2.7245855,0.7561865,28.185986,32.0,1.0
2.9982948,2.7247581,0.7560139,28.179426,33.0,1.0
2.9985304,2.7249231,0.7558489,28.173279,34.0,1.0
2.9987545,2.7250767,0.75569534,28.167488,35.0,1.0
2.9989681,2.7252245,0.7555475,28.162004,36.0,1.0
2.9991722,2.7253656,0.7554064,28.156796,37.0,1.0
2.9993696,2.7255,0.7552719,28.151825,38.0,1.0
2.9995613,2.7256298,0.7551422,28.147072,39.0,1.0
2.9997454,2.7257557,0.7550163,28.142513,40.0,1.0
2.9999247,2.7258768,0.7548952,28.13813,41.0,1.0
3.0000982,2.7259932,0.75477886,28.133911,42.0,1.0
3.000266,2.7261066,0.7546654,28.129837,43.0,1.0
3.000431,2.7262173,0.75455475,28.125904,44.0,1.0
3.0005913,2.726325,0.754447,28.1221,45.0,1.0
