complexity,accuracy,distortion,mse,round,run
5.350767,2.3510818,1.1296911,1560.5544,0.0,1.0
5.1632385,2.428588,1.052185,525.2616,1.0,1.0
5.2623262,2.791315,0.6894579,170.90489,2.0,1.0
5.423331,3.0662613,0.41451168,77.37365,3.0,1.0
5.479655,3.211113,0.26966,45.073036,4.0,1.0
5.4939256,3.27215,0.20862293,32.00481,5.0,1.0
5.50243,3.3097267,0.17104626,22.172546,6.0,1.0
5.5051503,3.3347607,0.1460123,15.480322,7.0,1.0
5.5039377,3.348423,0.13234997,12.864229,8.0,1.0
5.506397,3.3597298,0.121043205,12.069585,9.0,1.0
5.511386,3.3699646,0.11080837,11.769167,10.0,1.0
5.5150433,3.3774996,0.10327339,11.572238,11.0,1.0
5.5128927,3.3821058,0.098667145,11.440488,12.0,1.0
5.506256,3.385398,0.09537506,11.339,13.0,1.0
5.498012,3.388463,0.09230995,11.253934,14.0,1.0
5.490774,3.3917246,0.089048386,11.177792,15.0,1.0
5.4854712,3.3949575,0.08581543,11.107098,16.0,1.0
5.4812465,3.397667,0.08310604,11.040374,17.0,1.0
5.477783,3.3997698,0.08100319,10.977052,18.0,1.0
5.475466,3.4014807,0.0792923,10.919822,19.0,1.0
5.4739695,3.4028769,0.07789612,10.871295,20.0,1.0
5.472523,3.4039211,0.076851845,10.830401,21.0,1.0
5.470855,3.4046564,0.07611656,10.794232,22.0,1.0
5.4691815,3.4052095,0.07556343,10.760577,23.0,1.0
5.4677954,3.4057026,0.07507038,10.728305,24.0,1.0
5.46692,3.4062204,0.074552536,10.696798,25.0,1.0
5.466761,3.4068232,0.073949814,10.665622,26.0,1.0
5.4675407,3.4075594,0.07321358,10.634491,27.0,1.0
5.4694467,3.408451,0.07232189,10.603306,28.0,1.0
5.4726143,3.4095058,0.07126713,10.572151,29.0,1.0
5.477097,3.410719,0.070054054,10.541281,30.0,1.0
5.48287,3.4120703,0.0687027,10.511099,31.0,1.0
5.48981,3.4135313,0.06724167,10.482124,32.0,1.0
5.4976816,3.4150543,0.06571865,10.454917,33.0,1.0
5.5061636,3.4165926,0.064180374,10.429987,34.0,1.0
5.514887,3.4180908,0.06268215,10.407702,35.0,1.0
5.523491,3.4194984,0.06127453,10.388243,36.0,1.0
5.5316677,3.420782,0.059990883,10.371592,37.0,1.0
5.539195,3.421914,0.05885887,10.357574,38.0,1.0
5.545939,3.422885,0.05788803,10.345904,39.0,1.0
5.551847,3.4237003,0.05707264,10.336231,40.0,1.0
5.5569444,3.4243708,0.056402206,10.328195,41.0,1.0
5.5612874,3.424921,0.055851936,10.32146,42.0,1.0
5.564966,3.4253674,0.055405617,10.315727,43.0,1.0
5.568082,3.4257336,0.055039406,10.310752,44.0,1.0
5.5707273,3.426036,0.05473709,10.306331,45.0,1.0
5.5729904,3.4262896,0.054483414,10.302302,46.0,1.0
5.5749474,3.426508,0.054265022,10.298534,47.0,1.0
5.5766687,3.4267006,0.05407238,10.294921,48.0,1.0
5.578208,3.4268732,0.053899765,10.291374,49.0,1.0
5.5796213,3.4270334,0.053739548,10.287816,50.0,1.0
5.5809526,3.4271889,0.0535841,10.28418,51.0,1.0
5.5822525,3.4273443,0.05342865,10.280398,52.0,1.0
5.5835752,3.4275084,0.053264618,10.276415,53.0,1.0
5.5849743,3.4276867,0.05308628,10.272177,54.0,1.0
5.58651,3.4278927,0.052880287,10.26764,55.0,1.0
5.588252,3.428135,0.052638054,10.262787,56.0,1.0
5.59026,3.428421,0.05235195,10.257615,57.0,1.0
5.592587,3.4287615,0.05201149,10.252165,58.0,1.0
5.5952663,3.4291582,0.05161476,10.246505,59.0,1.0
5.5983086,3.4296074,0.05116558,10.240731,60.0,1.0
5.6016903,3.4300966,0.050676346,10.234951,61.0,1.0
5.6053724,3.4306183,0.050154686,10.229261,62.0,1.0
5.6092978,3.4311485,0.049624443,10.223738,63.0,1.0
5.6134043,3.4316778,0.049095154,10.218422,64.0,1.0
5.617639,3.432191,0.048582077,10.213326,65.0,1.0
5.6219616,3.432681,0.04809189,10.208446,66.0,1.0
5.6263447,3.4331446,0.047628403,10.203756,67.0,1.0
5.630774,3.4335823,0.047190666,10.199232,68.0,1.0
5.6352468,3.433998,0.046774864,10.194845,69.0,1.0
5.639765,3.434392,0.046380997,10.190575,70.0,1.0
5.6443357,3.4347754,0.04599762,10.1864,71.0,1.0
5.6489644,3.4351425,0.045630455,10.18231,72.0,1.0
5.653658,3.435503,0.045269966,10.178293,73.0,1.0
5.6584215,3.4358568,0.044916153,10.174344,74.0,1.0
5.6632566,3.4362059,0.04456711,10.170458,75.0,1.0
5.6681623,3.436553,0.04421997,10.166635,76.0,1.0
5.6731396,3.4368954,0.0438776,10.162874,77.0,1.0
5.678183,3.4372377,0.043535233,10.159175,78.0,1.0
5.683286,3.4375772,0.043195724,10.155539,79.0,1.0
5.6884456,3.4379148,0.042858124,10.151968,80.0,1.0
5.693652,3.4382515,0.042521477,10.1484585,81.0,1.0
5.698897,3.4385853,0.04218769,10.145015,82.0,1.0
5.704175,3.43892,0.04185295,10.141631,83.0,1.0
5.7094755,3.439249,0.041523933,10.1383095,84.0,1.0
5.7147946,3.439577,0.04119587,10.135047,85.0,1.0
5.7201233,3.4399023,0.040870667,10.13184,86.0,1.0
5.725453,3.4402256,0.04054737,10.128689,87.0,1.0
5.7307816,3.440545,0.04022789,10.125589,88.0,1.0
5.7361,3.4408617,0.03991127,10.122537,89.0,1.0
5.741407,3.4411755,0.03959751,10.119528,90.0,1.0
5.7466974,3.4414864,0.039286613,10.116558,91.0,1.0
5.7519703,3.4417944,0.038978577,10.113624,92.0,1.0
5.7572227,3.4421005,0.038672447,10.110722,93.0,1.0
5.762453,3.4424028,0.038370132,10.107843,94.0,1.0
5.767661,3.4427032,0.038069725,10.104986,95.0,1.0
5.772849,3.4429998,0.037773132,10.102142,96.0,1.0
5.7780166,3.4432945,0.037478447,10.099308,97.0,1.0
5.7831645,3.4435873,0.03718567,10.096477,98.0,1.0
5.7882977,3.4438782,0.0368948,10.093639,99.0,1.0
5.793417,3.444168,0.03660488,10.090789,100.0,1.0
5.798526,3.4444551,0.036317825,10.087919,101.0,1.0
5.80363,3.4447432,0.036029816,10.08502,102.0,1.0
5.80873,3.4450283,0.035744667,10.082079,103.0,1.0
5.8138366,3.4453135,0.03545952,10.079083,104.0,1.0
5.8189497,3.4455996,0.035173416,10.076023,105.0,1.0
5.82408,3.4458847,0.034888268,10.072881,106.0,1.0
5.829236,3.4461737,0.034599304,10.069638,107.0,1.0
5.834428,3.4464645,0.034308434,10.066275,108.0,1.0
5.83967,3.4467611,0.03401184,10.06277,109.0,1.0
5.844977,3.4470606,0.033712387,10.059103,110.0,1.0
5.8503656,3.4473686,0.03340435,10.055254,111.0,1.0
5.8558574,3.4476871,0.033085823,10.051202,112.0,1.0
5.861471,3.4480152,0.03275776,10.046944,113.0,1.0
5.8672256,3.4483547,0.03241825,10.042479,114.0,1.0
5.8731346,3.4487104,0.03206253,10.037828,115.0,1.0
5.879203,3.4490814,0.03169155,10.033028,116.0,1.0
5.885427,3.449462,0.031311035,10.02813,117.0,1.0
5.8917933,3.4498568,0.030916214,10.023196,118.0,1.0
5.8982773,3.4502592,0.030513763,10.018295,119.0,1.0
5.9048395,3.4506655,0.030107498,10.013484,120.0,1.0
5.911453,3.4510717,0.029701233,10.008812,121.0,1.0
5.9180765,3.4514751,0.029297829,10.0043125,122.0,1.0
5.9246826,3.4518728,0.028900146,10.000001,123.0,1.0
5.9312487,3.4522629,0.028510094,9.99588,124.0,1.0
5.9377613,3.4526453,0.02812767,9.991941,125.0,1.0
5.9442167,3.4530172,0.027755737,9.988171,126.0,1.0
5.950613,3.4533825,0.02739048,9.984552,127.0,1.0
5.9569573,3.453743,0.027029991,9.98107,128.0,1.0
5.963257,3.4540958,0.026677132,9.977704,129.0,1.0
5.9695244,3.454445,0.026328087,9.974444,130.0,1.0
5.975766,3.454793,0.025979996,9.971278,131.0,1.0
5.9819927,3.4551392,0.025633812,9.968197,132.0,1.0
5.9882083,3.4554844,0.025288582,9.965192,133.0,1.0
5.994421,3.4558268,0.024946213,9.96226,134.0,1.0
6.0006313,3.456171,0.024601936,9.959397,135.0,1.0
6.0068398,3.4565153,0.02425766,9.956601,136.0,1.0
6.0130444,3.4568586,0.023914337,9.95387,137.0,1.0
6.0192437,3.4572,0.023572922,9.951203,138.0,1.0
6.025429,3.4575405,0.02323246,9.948603,139.0,1.0
6.031595,3.457878,0.02289486,9.946065,140.0,1.0
6.037733,3.4582138,0.022559166,9.943592,141.0,1.0
6.0438356,3.4585447,0.022228241,9.941187,142.0,1.0
6.049891,3.458871,0.021902084,9.938845,143.0,1.0
6.0558906,3.4591942,0.021578789,9.936568,144.0,1.0
6.061824,3.459509,0.021264076,9.934358,145.0,1.0
6.0676794,3.459815,0.020957947,9.932211,146.0,1.0
6.0734496,3.4601173,0.020655632,9.930129,147.0,1.0
6.0791254,3.460411,0.0203619,9.928107,148.0,1.0
6.0846987,3.4606972,0.020075798,9.9261465,149.0,1.0
6.0901594,3.4609718,0.01980114,9.924244,150.0,1.0
6.0955033,3.4612389,0.019534111,9.922399,151.0,1.0
6.1007257,3.4614944,0.019278526,9.920608,152.0,1.0
6.1058197,3.4617424,0.019030571,9.918868,153.0,1.0
6.110782,3.4619818,0.018791199,9.917178,154.0,1.0
6.115613,3.4622107,0.018562317,9.915534,155.0,1.0
6.1203103,3.462429,0.018343925,9.913934,156.0,1.0
6.1248713,3.4626398,0.018133163,9.912374,157.0,1.0
6.1292996,3.46284,0.017932892,9.910852,158.0,1.0
6.133595,3.4630346,0.017738342,9.909367,159.0,1.0
6.137759,3.4632177,0.017555237,9.907913,160.0,1.0
6.1417966,3.4633932,0.01737976,9.906492,161.0,1.0
6.1457095,3.463564,0.017209053,9.905101,162.0,1.0
6.1495028,3.463726,0.017046928,9.903736,163.0,1.0
6.153177,3.4638805,0.016892433,9.902397,164.0,1.0
6.15674,3.4640303,0.016742706,9.901084,165.0,1.0
6.1601934,3.4641733,0.016599655,9.899795,166.0,1.0
6.163544,3.4643106,0.016462326,9.898529,167.0,1.0
6.166795,3.4644432,0.016329765,9.897286,168.0,1.0
6.1699486,3.464572,0.01620102,9.896068,169.0,1.0
6.1730127,3.464696,0.016077042,9.894871,170.0,1.0
6.175988,3.4648142,0.015958786,9.893699,171.0,1.0
6.1788797,3.4649315,0.015841484,9.8925495,172.0,1.0
6.1816893,3.465043,0.015729904,9.891423,173.0,1.0
6.1844206,3.4651527,0.015620232,9.890323,174.0,1.0
6.1870775,3.4652576,0.015515327,9.889247,175.0,1.0
6.1896596,3.4653606,0.015412331,9.888198,176.0,1.0
6.1921706,3.4654617,0.015311241,9.887173,177.0,1.0
6.1946135,3.465558,0.01521492,9.886173,178.0,1.0
6.196986,3.4656534,0.015119553,9.885201,179.0,1.0
6.199291,3.465745,0.015028,9.884254,180.0,1.0
6.2015305,3.4658356,0.014937401,9.883331,181.0,1.0
6.203704,3.4659204,0.014852524,9.882435,182.0,1.0
6.205813,3.4660053,0.014767647,9.881563,183.0,1.0
6.207858,3.4660854,0.014687538,9.880715,184.0,1.0
6.209837,3.4661655,0.0146074295,9.879893,185.0,1.0
6.211752,3.46624,0.014533043,9.879092,186.0,1.0
6.2136045,3.4663115,0.014461517,9.878315,187.0,1.0
6.215394,3.466383,0.014389992,9.877561,188.0,1.0
6.2171183,3.4664488,0.014324188,9.876828,189.0,1.0
6.2187805,3.4665127,0.014260292,9.876117,190.0,1.0
6.2203803,3.4665737,0.014199257,9.875426,191.0,1.0
6.221918,3.466631,0.014142036,9.874758,192.0,1.0
6.2233963,3.4666853,0.014087677,9.874111,193.0,1.0
6.2248135,3.4667377,0.014035225,9.873486,194.0,1.0
6.2261715,3.4667864,0.0139865875,9.872881,195.0,1.0
6.2274733,3.4668312,0.013941765,9.872298,196.0,1.0
6.2287173,3.4668741,0.0138988495,9.871736,197.0,1.0
6.229908,3.466916,0.013856888,9.871194,198.0,1.0
6.2310467,3.4669533,0.0138196945,9.870673,199.0,1.0
