complexity,accuracy,distortion,mse,round,run
5.4147735,2.4102488,1.0705242,1485.0844,0.0,1.0
5.2698936,2.6760302,0.8047428,771.27386,1.0,1.0
5.4753437,3.0254087,0.45536423,330.30295,2.0,1.0
5.6545506,3.2812634,0.19950962,115.82803,3.0,1.0
5.704194,3.38558,0.09519291,60.32124,4.0,1.0
5.746151,3.4114523,0.06932068,50.569557,5.0,1.0
5.7936287,3.4190035,0.061769485,50.691727,6.0,1.0
5.8364973,3.431611,0.04916191,28.620857,7.0,1.0
5.872123,3.4493227,0.03145027,10.87964,8.0,1.0
5.8907046,3.4521189,0.028654099,10.108061,9.0,1.0
5.9113398,3.4532824,0.027490616,10.075616,10.0,1.0
5.9361825,3.454482,0.026290894,10.04318,11.0,1.0
5.9634204,3.4556322,0.025140762,10.015035,12.0,1.0
5.990677,3.4566946,0.02407837,9.99368,13.0,1.0
6.015949,3.4576273,0.023145676,9.977993,14.0,1.0
6.0378146,3.4583864,0.02238655,9.9663925,15.0,1.0
6.0554976,3.458972,0.021800995,9.958069,16.0,1.0
6.0684576,3.4593801,0.021392822,9.952795,17.0,1.0
6.0767145,3.4596214,0.021151543,9.950004,18.0,1.0
6.08132,3.4597454,0.021027565,9.948726,19.0,1.0
6.0836782,3.4598055,0.020967484,9.948175,20.0,1.0
6.0848546,3.459838,0.020935059,9.947936,21.0,1.0
6.0854506,3.4598541,0.020918846,9.9478245,22.0,1.0
6.0857677,3.4598675,0.020905495,9.9477625,23.0,1.0
6.085952,3.4598742,0.020898819,9.94772,24.0,1.0
6.086081,3.4598808,0.020892143,9.947677,25.0,1.0
6.08622,3.4598923,0.0208807,9.947607,26.0,1.0
6.0864725,3.4599142,0.020858765,9.947453,27.0,1.0
6.0870705,3.4599657,0.020807266,9.947079,28.0,1.0
6.088523,3.4600887,0.020684242,9.946209,29.0,1.0
6.0916615,3.4603548,0.020418167,9.944496,30.0,1.0
6.096922,3.4607935,0.019979477,9.94208,31.0,1.0
6.103036,3.4612732,0.019499779,9.939894,32.0,1.0
6.107937,3.4616137,0.019159317,9.938572,33.0,1.0
6.110956,3.4617891,0.018983841,9.9379225,34.0,1.0
6.112679,3.461876,0.018897057,9.937534,35.0,1.0
6.113988,3.461937,0.018836021,9.937042,36.0,1.0
6.1158333,3.4620247,0.018748283,9.9360485,37.0,1.0
6.1192017,3.462184,0.01858902,9.934205,38.0,1.0
6.124387,3.4624224,0.018350601,9.931756,39.0,1.0
6.130019,3.4626656,0.018107414,9.929673,40.0,1.0
6.134304,3.4628277,0.01794529,9.928478,41.0,1.0
6.136804,3.4629087,0.017864227,9.927942,42.0,1.0
6.138036,3.4629421,0.017830849,9.927727,43.0,1.0
6.1385727,3.4629526,0.017820358,9.927645,44.0,1.0
6.1387763,3.4629574,0.01781559,9.92761,45.0,1.0
6.1388297,3.4629583,0.017814636,9.927599,46.0,1.0
6.138819,3.4629583,0.017814636,9.927592,47.0,1.0
6.1387815,3.4629583,0.017814636,9.9275875,48.0,1.0
6.138734,3.4629574,0.01781559,9.927585,49.0,1.0
6.1386843,3.4629564,0.017816544,9.927581,50.0,1.0
6.1386323,3.4629574,0.01781559,9.92758,51.0,1.0
6.1385803,3.4629555,0.017817497,9.927577,52.0,1.0
6.1385307,3.4629555,0.017817497,9.927574,53.0,1.0
6.1384826,3.4629545,0.01781845,9.927572,54.0,1.0
6.1384325,3.4629545,0.01781845,9.92757,55.0,1.0
6.1383853,3.4629536,0.017819405,9.927568,56.0,1.0
6.138339,3.4629536,0.017819405,9.927566,57.0,1.0
6.1382933,3.4629536,0.017819405,9.927564,58.0,1.0
6.1382494,3.4629517,0.017821312,9.927561,59.0,1.0
6.1382065,3.4629507,0.017822266,9.927559,60.0,1.0
6.1381645,3.4629526,0.017820358,9.927555,61.0,1.0
6.1381226,3.4629498,0.01782322,9.927554,62.0,1.0
6.1380825,3.4629498,0.01782322,9.927551,63.0,1.0
6.1380415,3.4629507,0.017822266,9.927548,64.0,1.0
6.1380033,3.4629507,0.017822266,9.927547,65.0,1.0
6.137966,3.4629488,0.017824173,9.927545,66.0,1.0
6.13793,3.4629498,0.01782322,9.927543,67.0,1.0
6.1378946,3.4629498,0.01782322,9.92754,68.0,1.0
6.1378603,3.4629498,0.01782322,9.927539,69.0,1.0
6.137827,3.4629498,0.01782322,9.927536,70.0,1.0
6.137794,3.4629488,0.017824173,9.927533,71.0,1.0
6.137762,3.4629488,0.017824173,9.927531,72.0,1.0
6.1377316,3.4629488,0.017824173,9.927529,73.0,1.0
6.137703,3.4629478,0.017825127,9.927527,74.0,1.0
6.1376743,3.4629488,0.017824173,9.9275255,75.0,1.0
6.1376467,3.4629488,0.017824173,9.927523,76.0,1.0
6.1376195,3.4629488,0.017824173,9.92752,77.0,1.0
6.137595,3.4629498,0.01782322,9.927518,78.0,1.0
6.137572,3.4629498,0.01782322,9.927516,79.0,1.0
6.137547,3.4629498,0.01782322,9.927513,80.0,1.0
6.1375256,3.4629498,0.01782322,9.927511,81.0,1.0
6.1375046,3.4629498,0.01782322,9.927509,82.0,1.0
6.1374855,3.4629488,0.017824173,9.9275055,83.0,1.0
6.1374664,3.4629507,0.017822266,9.927505,84.0,1.0
6.1374493,3.4629498,0.01782322,9.927502,85.0,1.0
6.137432,3.4629498,0.01782322,9.9275,86.0,1.0
6.1374183,3.4629507,0.017822266,9.927497,87.0,1.0
6.137404,3.4629507,0.017822266,9.927495,88.0,1.0
6.137393,3.4629517,0.017821312,9.927493,89.0,1.0
6.1373806,3.4629517,0.017821312,9.92749,90.0,1.0
6.1373715,3.4629517,0.017821312,9.927488,91.0,1.0
6.1373625,3.4629536,0.017819405,9.927485,92.0,1.0
6.137356,3.4629526,0.017820358,9.927483,93.0,1.0
6.13735,3.4629545,0.01781845,9.92748,94.0,1.0
6.1373477,3.4629555,0.017817497,9.927478,95.0,1.0
