complexity,accuracy,distortion,mse,round,run
7.1525574e-05,8.583069e-06,3.4807644,1664.6943,0.0,1.0
0.00014591217,1.8119812e-05,3.4807549,1664.6902,1.0,1.0
0.0009441376,0.00012207031,3.480651,1664.6708,2.0,1.0
0.0064582825,0.0008363724,3.4799366,1664.5431,3.0,1.0
0.044311523,0.005859375,3.4749136,1663.6624,4.0,1.0
0.3032875,0.046160698,3.4346123,1654.0297,5.0,1.0
1.8153353,0.46207237,3.0187006,1448.3572,6.0,1.0
4.5973024,1.8443441,1.6364288,918.7489,7.0,1.0
5.7348757,2.668582,0.812191,638.5499,8.0,1.0
6.113534,3.0022526,0.4785204,449.8556,9.0,1.0
6.280488,3.1610508,0.31972218,324.77313,10.0,1.0
6.338072,3.2163715,0.26440144,261.7722,11.0,1.0
6.3563447,3.2345228,0.24625015,236.20355,12.0,1.0
6.3615375,3.2397118,0.24106121,227.69202,13.0,1.0
6.362054,3.2402267,0.24054623,227.23285,14.0,1.0
6.362055,3.2402277,0.24054527,227.23279,15.0,1.0
6.3620543,3.2402277,0.24054527,227.233,16.0,1.0
6.362054,3.2402277,0.24054527,227.23318,17.0,1.0
6.362054,3.2402277,0.24054527,227.23343,18.0,1.0
6.3620534,3.2402277,0.24054527,227.23363,19.0,1.0
6.3620534,3.2402277,0.24054527,227.23386,20.0,1.0
6.3620534,3.2402287,0.24054432,227.23407,21.0,1.0
6.362053,3.2402277,0.24054527,227.23428,22.0,1.0
6.362053,3.2402277,0.24054527,227.23448,23.0,1.0
6.362052,3.2402277,0.24054527,227.2347,24.0,1.0
6.362052,3.2402277,0.24054527,227.2349,25.0,1.0
6.362052,3.2402277,0.24054527,227.23514,26.0,1.0
6.362052,3.2402287,0.24054432,227.23535,27.0,1.0
6.362053,3.2402287,0.24054432,227.23557,28.0,1.0
6.362052,3.2402277,0.24054527,227.23576,29.0,1.0
6.362052,3.2402277,0.24054527,227.23598,30.0,1.0
6.362051,3.2402277,0.24054527,227.23619,31.0,1.0
6.362052,3.2402267,0.24054623,227.23639,32.0,1.0
6.3620515,3.2402277,0.24054527,227.23663,33.0,1.0
6.3620515,3.2402277,0.24054527,227.23683,34.0,1.0
6.3620515,3.2402277,0.24054527,227.23705,35.0,1.0
6.3620515,3.2402277,0.24054527,227.23724,36.0,1.0
6.362051,3.2402287,0.24054432,227.23746,37.0,1.0
6.36205,3.2402287,0.24054432,227.23769,38.0,1.0
6.36205,3.2402277,0.24054527,227.2379,39.0,1.0
6.36205,3.2402277,0.24054527,227.23813,40.0,1.0
6.36205,3.2402277,0.24054527,227.23834,41.0,1.0
6.36205,3.2402277,0.24054527,227.23856,42.0,1.0
6.3620496,3.2402277,0.24054527,227.23877,43.0,1.0
6.362049,3.2402277,0.24054527,227.23898,44.0,1.0
6.362049,3.2402277,0.24054527,227.23918,45.0,1.0
6.3620486,3.2402287,0.24054432,227.23941,46.0,1.0
6.3620486,3.2402287,0.24054432,227.23961,47.0,1.0
6.362048,3.2402296,0.24054337,227.23982,48.0,1.0
6.362048,3.2402287,0.24054432,227.24004,49.0,1.0
6.362048,3.2402287,0.24054432,227.24025,50.0,1.0
6.362047,3.2402296,0.24054337,227.24046,51.0,1.0
6.362047,3.2402287,0.24054432,227.24068,52.0,1.0
6.3620462,3.2402277,0.24054527,227.24089,53.0,1.0
6.3620462,3.2402277,0.24054527,227.2411,54.0,1.0
6.362047,3.2402277,0.24054527,227.24133,55.0,1.0
6.362047,3.2402277,0.24054527,227.24155,56.0,1.0
