complexity,accuracy,distortion,mse,round,run
0.0070533752,0.000828743,3.4799442,1665.6708,0.0,1.0
0.007300377,0.0010633469,3.4797096,1592.8333,1.0,1.0
0.009301186,0.0029726028,3.4778004,1536.7474,2.0,1.0
0.019460678,0.0128183365,3.4679546,1485.3462,3.0,1.0
0.07315731,0.06533718,3.4154358,1393.081,4.0,1.0
0.32901573,0.31651115,3.1642618,1094.9856,5.0,1.0
1.0032578,0.97609043,2.5046825,530.8189,6.0,1.0
1.6641512,1.6111345,1.8696384,194.55911,7.0,1.0
2.0666876,1.981822,1.498951,86.50119,8.0,1.0
2.3324413,2.2127714,1.2680016,55.58293,9.0,1.0
2.5303917,2.3746586,1.1061144,43.535164,10.0,1.0
2.6904783,2.4983664,0.9824066,36.684677,11.0,1.0
2.8250494,2.5969114,0.88386154,32.127266,12.0,1.0
2.9406328,2.6772528,0.8035202,28.83504,13.0,1.0
3.041504,2.743907,0.736866,26.35191,14.0,1.0
3.1307201,2.8000393,0.6807337,24.41921,15.0,1.0
3.2105598,2.8479595,0.63281345,22.876057,16.0,1.0
3.2827435,2.889368,0.5914049,21.617714,17.0,1.0
3.3485785,2.9255304,0.55524254,20.573423,18.0,1.0
3.4090652,2.9574041,0.52336884,19.693857,19.0,1.0
3.464983,2.985714,0.495059,18.943651,20.0,1.0
3.51694,3.0110264,0.4697466,18.296824,21.0,1.0
3.5654287,3.03378,0.44699287,17.73386,22.0,1.0
3.6108522,3.0543375,0.42643547,17.239826,23.0,1.0
3.6535425,3.0729876,0.40778542,16.8031,24.0,1.0
3.693781,3.0899715,0.39080143,16.414494,25.0,1.0
3.7318115,3.1054955,0.37527752,16.066662,26.0,1.0
3.7678347,3.1197271,0.36104584,15.753656,27.0,1.0
3.8020372,3.1328173,0.3479557,15.470614,28.0,1.0
3.8345737,3.1448898,0.33588314,15.213524,29.0,1.0
3.8655825,3.1560526,0.32472038,14.979052,30.0,1.0
3.8951874,3.1664028,0.31437016,14.764397,31.0,1.0
3.9234982,3.1760206,0.30475235,14.567196,32.0,1.0
3.950612,3.1849794,0.29579353,14.385441,33.0,1.0
3.9766178,3.1933422,0.28743076,14.217416,34.0,1.0
4.0015965,3.2011652,0.27960777,14.061641,35.0,1.0
4.0256186,3.2085,0.27227306,13.91684,36.0,1.0
4.04875,3.2153883,0.26538467,13.781906,37.0,1.0
