complexity,accuracy,distortion,mse,round,run
0.68372726,0.03726673,1.880599,1642.3193,0.0,1.0
0.075307846,0.050331116,1.8675346,1561.9271,1.0,1.0
0.26931,0.21706963,1.7007961,1281.1445,2.0,1.0
0.79909515,0.67788696,1.2399788,717.4066,3.0,1.0
1.2434187,1.0564947,0.86137104,371.0423,4.0,1.0
1.4086237,1.191185,0.72668076,270.3375,5.0,1.0
1.4576864,1.2288713,0.6889944,249.16551,6.0,1.0
1.4722376,1.2393942,0.67847157,244.19269,7.0,1.0
1.4770565,1.2428541,0.67501163,242.47536,8.0,1.0
1.4787226,1.2441368,0.67372894,241.72928,9.0,1.0
1.4791746,1.2445793,0.67328644,241.37161,10.0,1.0
1.4791174,1.2446651,0.6732006,241.18839,11.0,1.0
1.4788342,1.2445831,0.6732826,241.11066,12.0,1.0
1.4784412,1.2444153,0.67345047,241.08234,13.0,1.0
1.4780064,1.2442074,0.6736584,241.07419,14.0,1.0
1.4775591,1.2439871,0.67387867,241.07835,15.0,1.0
1.4771175,1.2437601,0.67410564,241.09036,16.0,1.0
1.4766893,1.2435341,0.67433167,241.10722,17.0,1.0
1.4762783,1.2433176,0.67454815,241.12704,18.0,1.0
1.4758911,1.2431087,0.674757,241.1485,19.0,1.0
1.4755287,1.2429132,0.6749525,241.17073,20.0,1.0
1.4751883,1.2427273,0.6751385,241.19315,21.0,1.0
1.4748735,1.2425556,0.67531013,241.21527,22.0,1.0
1.4745827,1.2423973,0.67546844,241.23674,23.0,1.0
1.4743156,1.2422495,0.67561626,241.25719,24.0,1.0
1.4740715,1.242115,0.67575073,241.2764,25.0,1.0
1.4738503,1.241992,0.67587376,241.29414,26.0,1.0
1.4736538,1.2418823,0.6759834,241.31033,27.0,1.0
1.4734764,1.241786,0.67607975,241.32492,28.0,1.0
1.4733181,1.2416973,0.67616844,241.33783,29.0,1.0
1.4731808,1.241622,0.6762438,241.34918,30.0,1.0
1.4730587,1.2415562,0.6763096,241.35898,31.0,1.0
1.4729528,1.241497,0.6763687,241.36737,32.0,1.0
1.4728603,1.2414465,0.67641926,241.37439,33.0,1.0
1.4727821,1.2414036,0.6764622,241.38022,34.0,1.0
1.4727125,1.2413673,0.6764984,241.38495,35.0,1.0
1.4726553,1.2413387,0.676527,241.3887,36.0,1.0
1.4726057,1.2413111,0.6765547,241.3916,37.0,1.0
1.4725637,1.2412901,0.67657566,241.39378,38.0,1.0
1.4725285,1.2412739,0.6765919,241.39531,39.0,1.0
1.4724998,1.2412586,0.67660713,241.3963,40.0,1.0
1.472477,1.2412462,0.6766195,241.39682,41.0,1.0
1.4724569,1.2412386,0.67662716,241.39694,42.0,1.0
1.4724407,1.2412319,0.67663383,241.39671,43.0,1.0
1.4724293,1.2412281,0.67663765,241.39621,44.0,1.0
1.4724197,1.2412262,0.67663956,241.39545,45.0,1.0
1.472414,1.2412224,0.6766434,241.39444,46.0,1.0
1.4724102,1.2412243,0.67664146,241.39326,47.0,1.0
1.4724083,1.2412233,0.6766424,241.39194,48.0,1.0
1.4724073,1.2412262,0.67663956,241.39047,49.0,1.0
1.4724092,1.2412281,0.67663765,241.38892,50.0,1.0
1.4724121,1.241231,0.6766348,241.38727,51.0,1.0
1.472415,1.2412357,0.67663,241.38553,52.0,1.0
1.4724197,1.2412395,0.6766262,241.38379,53.0,1.0
1.4724264,1.2412453,0.6766205,241.382,54.0,1.0
1.4724321,1.24125,0.6766157,241.38019,55.0,1.0
1.4724379,1.2412548,0.67661095,241.37837,56.0,1.0
1.4724445,1.2412586,0.67660713,241.37656,57.0,1.0
1.4724522,1.2412663,0.6765995,241.37476,58.0,1.0
1.4724588,1.241271,0.67659473,241.37296,59.0,1.0
1.4724665,1.2412777,0.67658806,241.37122,60.0,1.0
1.4724741,1.2412844,0.6765814,241.36949,61.0,1.0
1.4724808,1.2412901,0.67657566,241.3678,62.0,1.0
1.4724894,1.2412949,0.6765709,241.36615,63.0,1.0
1.472497,1.2413006,0.6765652,241.36453,64.0,1.0
1.4725056,1.2413063,0.67655945,241.36298,65.0,1.0
1.4725122,1.2413111,0.6765547,241.36145,66.0,1.0
1.4725189,1.2413177,0.676548,241.35999,67.0,1.0
1.4725266,1.2413225,0.67654324,241.35858,68.0,1.0
1.4725342,1.2413273,0.67653847,241.35721,69.0,1.0
1.4725409,1.241333,0.67653275,241.35587,70.0,1.0
1.4725475,1.2413368,0.67652893,241.35457,71.0,1.0
1.4725542,1.2413416,0.67652416,241.35335,72.0,1.0
1.472559,1.2413454,0.67652035,241.35217,73.0,1.0
1.4725657,1.2413502,0.6765156,241.35104,74.0,1.0
1.4725714,1.241355,0.6765108,241.34998,75.0,1.0
1.4725761,1.2413588,0.676507,241.34892,76.0,1.0
1.4725809,1.2413626,0.6765032,241.3479,77.0,1.0
1.4725876,1.2413664,0.67649937,241.34695,78.0,1.0
1.4725924,1.2413702,0.67649555,241.34607,79.0,1.0
1.4725971,1.2413731,0.6764927,241.34518,80.0,1.0
1.4726009,1.2413769,0.6764889,241.34436,81.0,1.0
1.4726057,1.2413807,0.67648506,241.34358,82.0,1.0
1.4726105,1.2413845,0.67648125,241.34283,83.0,1.0
1.4726152,1.2413864,0.67647934,241.34212,84.0,1.0
1.4726181,1.2413883,0.67647743,241.34143,85.0,1.0
1.47262,1.2413931,0.67647266,241.34082,86.0,1.0
1.4726248,1.241395,0.67647076,241.34021,87.0,1.0
1.4726286,1.241396,0.6764698,241.33965,88.0,1.0
1.4726305,1.2413979,0.6764679,241.3391,89.0,1.0
1.4726353,1.2414017,0.6764641,241.33858,90.0,1.0
1.4726362,1.2414036,0.6764622,241.3381,91.0,1.0
1.4726391,1.2414055,0.67646027,241.33765,92.0,1.0
1.472641,1.2414083,0.6764574,241.33722,93.0,1.0
1.4726439,1.2414103,0.6764555,241.33684,94.0,1.0
1.4726467,1.2414112,0.67645454,241.33646,95.0,1.0
1.4726477,1.2414131,0.67645264,241.33609,96.0,1.0
1.4726486,1.2414141,0.6764517,241.33578,97.0,1.0
1.4726515,1.241416,0.6764498,241.3355,98.0,1.0
1.4726524,1.2414179,0.67644787,241.3352,99.0,1.0
1.4726543,1.2414188,0.6764469,241.33493,100.0,1.0
1.4726562,1.2414188,0.6764469,241.33472,101.0,1.0
1.4726572,1.2414217,0.67644405,241.33447,102.0,1.0
1.4726582,1.2414217,0.67644405,241.33429,103.0,1.0
1.4726582,1.2414217,0.67644405,241.3341,104.0,1.0
1.4726601,1.2414227,0.6764431,241.33392,105.0,1.0
1.472661,1.2414236,0.67644215,241.3338,106.0,1.0
1.472662,1.2414255,0.67644024,241.33366,107.0,1.0
1.4726629,1.2414246,0.6764412,241.33354,108.0,1.0
1.472662,1.2414265,0.6764393,241.33344,109.0,1.0
1.4726639,1.2414274,0.67643833,241.33334,110.0,1.0
1.4726639,1.2414274,0.67643833,241.33327,111.0,1.0
1.4726648,1.2414284,0.6764374,241.33322,112.0,1.0
1.4726658,1.2414293,0.6764364,241.33315,113.0,1.0
1.4726648,1.2414284,0.6764374,241.33313,114.0,1.0
1.4726648,1.2414293,0.6764364,241.3331,115.0,1.0
1.4726658,1.2414303,0.6764355,241.33307,116.0,1.0
1.4726658,1.2414303,0.6764355,241.33307,117.0,1.0
1.4726658,1.2414303,0.6764355,241.33307,118.0,1.0
1.4726648,1.2414293,0.6764364,241.33307,119.0,1.0
1.4726648,1.2414312,0.6764345,241.33311,120.0,1.0
1.4726639,1.2414303,0.6764355,241.33313,121.0,1.0
1.4726648,1.2414303,0.6764355,241.33316,122.0,1.0
1.4726648,1.2414303,0.6764355,241.3332,123.0,1.0
1.4726639,1.2414312,0.6764345,241.33328,124.0,1.0
1.4726639,1.2414303,0.6764355,241.33331,125.0,1.0
1.4726639,1.2414303,0.6764355,241.33339,126.0,1.0
1.4726629,1.2414303,0.6764355,241.33347,127.0,1.0
1.472662,1.2414312,0.6764345,241.33354,128.0,1.0
1.472662,1.2414303,0.6764355,241.33362,129.0,1.0
1.472662,1.2414293,0.6764364,241.33371,130.0,1.0
1.4726601,1.2414303,0.6764355,241.3338,131.0,1.0
1.4726601,1.2414312,0.6764345,241.33391,132.0,1.0
1.4726582,1.2414293,0.6764364,241.33398,133.0,1.0
1.4726582,1.2414303,0.6764355,241.33409,134.0,1.0
1.4726582,1.2414303,0.6764355,241.3342,135.0,1.0
1.4726582,1.2414293,0.6764364,241.33432,136.0,1.0
1.4726562,1.2414284,0.6764374,241.33444,137.0,1.0
1.4726562,1.2414293,0.6764364,241.33456,138.0,1.0
1.4726553,1.2414284,0.6764374,241.33467,139.0,1.0
1.4726534,1.2414265,0.6764393,241.33481,140.0,1.0
1.4726534,1.2414274,0.67643833,241.33495,141.0,1.0
1.4726534,1.2414265,0.6764393,241.33505,142.0,1.0
1.4726524,1.2414265,0.6764393,241.3352,143.0,1.0
1.4726524,1.2414255,0.67644024,241.33534,144.0,1.0
1.4726496,1.2414265,0.6764393,241.33548,145.0,1.0
1.4726496,1.2414246,0.6764412,241.3356,146.0,1.0
1.4726496,1.2414255,0.67644024,241.33575,147.0,1.0
1.4726486,1.2414265,0.6764393,241.33589,148.0,1.0
1.4726467,1.2414255,0.67644024,241.33603,149.0,1.0
1.4726458,1.2414236,0.67644215,241.33617,150.0,1.0
1.4726458,1.2414236,0.67644215,241.3363,151.0,1.0
1.4726458,1.2414246,0.6764412,241.33646,152.0,1.0
1.4726439,1.2414227,0.6764431,241.33661,153.0,1.0
1.4726429,1.2414236,0.67644215,241.33676,154.0,1.0
1.472641,1.2414217,0.67644405,241.33688,155.0,1.0
1.472642,1.2414217,0.67644405,241.33704,156.0,1.0
1.47264,1.2414217,0.67644405,241.33719,157.0,1.0
1.4726381,1.2414217,0.67644405,241.33734,158.0,1.0
1.4726381,1.2414198,0.67644596,241.3375,159.0,1.0
1.4726362,1.2414217,0.67644405,241.33762,160.0,1.0
1.4726372,1.2414198,0.67644596,241.33777,161.0,1.0
1.4726372,1.2414198,0.67644596,241.33792,162.0,1.0
