complexity,accuracy,distortion,mse,round,run
7.05719e-05,2.861023e-06,1.9178629,1650.6333,0.0,1.0
5.722046e-06,2.861023e-06,1.9178629,1640.9287,1.0,1.0
1.9073486e-05,1.6212463e-05,1.9178495,1633.8815,2.0,1.0
9.059906e-05,7.6293945e-05,1.9177895,1628.2587,3.0,1.0
0.0004901886,0.00043010712,1.9174356,1623.002,4.0,1.0
0.0027580261,0.0024843216,1.9153814,1614.5043,5.0,1.0
0.015784264,0.014410973,1.9034548,1583.1523,6.0,1.0
0.085463524,0.0785656,1.8393002,1440.8926,7.0,1.0
0.3506031,0.32083893,1.5970268,1038.5516,8.0,1.0
0.81032753,0.7261858,1.19168,584.4897,9.0,1.0
1.1579037,1.0114899,0.9063759,365.19308,10.0,1.0
1.3360844,1.1461744,0.7716913,280.53723,11.0,1.0
1.4218388,1.2068815,0.71098423,251.67177,12.0,1.0
1.4616795,1.2334929,0.6843729,242.77928,13.0,1.0
1.4808054,1.2458277,0.6720381,239.33717,14.0,1.0
1.4904022,1.2519188,0.66594696,237.76422,15.0,1.0
1.4953508,1.2550297,0.6628361,237.01443,16.0,1.0
1.4979553,1.2566566,0.6612091,236.6449,17.0,1.0
1.4993267,1.2575178,0.66034794,236.45726,18.0,1.0
1.5000343,1.257968,0.6598978,236.3599,19.0,1.0
1.5003719,1.2581902,0.6596756,236.3088,20.0,1.0
1.5005016,1.2582874,0.6595783,236.28197,21.0,1.0
1.5005159,1.258318,0.6595478,236.26784,22.0,1.0
1.5004759,1.2583113,0.6595545,236.26025,23.0,1.0
1.5004044,1.2582874,0.6595783,236.25595,24.0,1.0
1.5003242,1.2582521,0.6596136,236.25317,25.0,1.0
1.5002432,1.2582188,0.659647,236.25116,26.0,1.0
1.500165,1.2581835,0.6596823,236.2495,27.0,1.0
1.5000925,1.258153,0.6597128,236.24799,28.0,1.0
1.5000257,1.2581253,0.65974045,236.24655,29.0,1.0
1.4999666,1.2580996,0.6597662,236.245,30.0,1.0
1.499917,1.2580786,0.6597872,236.24323,31.0,1.0
1.4998732,1.2580605,0.6598053,236.2412,32.0,1.0
1.499835,1.2580462,0.6598196,236.23909,33.0,1.0
1.4998026,1.2580328,0.65983295,236.23697,34.0,1.0
1.499773,1.2580204,0.65984535,236.23505,35.0,1.0
1.4997454,1.2580109,0.6598549,236.23334,36.0,1.0
1.4997206,1.2580013,0.6598644,236.23196,37.0,1.0
1.4996977,1.2579918,0.65987396,236.2308,38.0,1.0
1.4996738,1.2579842,0.6598816,236.22992,39.0,1.0
1.49965,1.2579765,0.6598892,236.22931,40.0,1.0
1.49963,1.257966,0.6598997,236.22897,41.0,1.0
1.49961,1.2579584,0.65990734,236.22897,42.0,1.0
1.4995899,1.2579498,0.6599159,236.2293,43.0,1.0
1.4995699,1.2579412,0.6599245,236.22986,44.0,1.0
1.4995518,1.2579336,0.65993214,236.23062,45.0,1.0
1.4995327,1.257927,0.6599388,236.23154,46.0,1.0
1.4995155,1.2579174,0.65994835,236.23254,47.0,1.0
1.4995003,1.2579107,0.659955,236.23358,48.0,1.0
1.499485,1.257906,0.6599598,236.23463,49.0,1.0
1.4994726,1.2578983,0.6599674,236.23569,50.0,1.0
1.4994593,1.2578926,0.65997314,236.23674,51.0,1.0
1.4994488,1.2578888,0.65997696,236.2378,52.0,1.0
1.4994373,1.257884,0.6599817,236.2388,53.0,1.0
1.4994287,1.2578802,0.65998554,236.23982,54.0,1.0
1.4994202,1.2578773,0.6599884,236.24081,55.0,1.0
1.4994125,1.2578726,0.6599932,236.24185,56.0,1.0
1.499403,1.2578688,0.659997,236.24283,57.0,1.0
1.4993963,1.2578659,0.65999985,236.24384,58.0,1.0
1.4993887,1.257863,0.6600027,236.24486,59.0,1.0
1.4993811,1.2578602,0.66000557,236.24588,60.0,1.0
1.4993734,1.2578564,0.6600094,236.24689,61.0,1.0
1.4993668,1.2578554,0.66001034,236.24792,62.0,1.0
1.499361,1.2578516,0.66001415,236.249,63.0,1.0
1.4993553,1.2578478,0.66001797,236.25003,64.0,1.0
1.4993496,1.2578459,0.6600199,236.25108,65.0,1.0
1.499342,1.257843,0.66002274,236.25215,66.0,1.0
1.4993372,1.2578392,0.66002655,236.25323,67.0,1.0
1.4993305,1.2578354,0.66003036,236.25433,68.0,1.0
1.4993238,1.2578335,0.6600323,236.25542,69.0,1.0
1.4993181,1.2578297,0.6600361,236.25653,70.0,1.0
1.4993105,1.2578278,0.660038,236.25763,71.0,1.0
1.4993067,1.2578249,0.66004086,236.25876,72.0,1.0
1.499299,1.2578211,0.66004467,236.25986,73.0,1.0
1.4992924,1.2578182,0.66004753,236.26099,74.0,1.0
1.4992876,1.2578144,0.66005135,236.26212,75.0,1.0
1.4992809,1.2578125,0.66005325,236.26324,76.0,1.0
1.4992762,1.2578087,0.66005707,236.26437,77.0,1.0
1.4992695,1.2578058,0.6600599,236.2655,78.0,1.0
1.4992619,1.257802,0.66006374,236.26663,79.0,1.0
1.4992561,1.2577991,0.6600666,236.26775,80.0,1.0
1.4992495,1.2577972,0.6600685,236.26888,81.0,1.0
1.4992447,1.2577944,0.6600714,236.26999,82.0,1.0
1.499239,1.2577906,0.6600752,236.2711,83.0,1.0
1.4992332,1.2577868,0.660079,236.27222,84.0,1.0
1.4992275,1.2577848,0.6600809,236.27335,85.0,1.0
