complexity,accuracy,distortion,mse,round,run
0.0,0.0,0.5661545,1579.7726,0.0,1.0
0.0,0.0,0.56615543,1579.7479,1.0,1.0
0.0,0.0,0.5661545,1579.7297,2.0,1.0
0.0,9.536743e-07,0.5661535,1579.7146,3.0,1.0
0.0,0.0,0.5661545,1579.7014,4.0,1.0
0.0,0.0,0.5661545,1579.6896,5.0,1.0
0.0,9.536743e-07,0.5661535,1579.6788,6.0,1.0
0.0,9.536743e-07,0.5661535,1579.6688,7.0,1.0
0.0,9.536743e-07,0.5661535,1579.6597,8.0,1.0
0.0,0.0,0.5661545,1579.6509,9.0,1.0
0.0,0.0,0.5661545,1579.6426,10.0,1.0
0.0,0.0,0.5661545,1579.6344,11.0,1.0
1.9073486e-06,0.0,0.5661545,1579.6268,12.0,1.0
3.8146973e-06,0.0,0.5661545,1579.6188,13.0,1.0
2.861023e-05,2.861023e-06,0.5661516,1579.6069,14.0,1.0
0.00019264221,1.5258789e-05,0.5661392,1579.5671,15.0,1.0
0.0012807846,9.8228455e-05,0.56605625,1579.334,16.0,1.0
0.008506775,0.00067710876,0.5654774,1577.7516,17.0,1.0
0.05630207,0.00472641,0.56142807,1566.4641,18.0,1.0
0.3551731,0.033661842,0.53249264,1488.1611,19.0,1.0
1.5943413,0.18585777,0.3802967,1186.5388,20.0,1.0
3.2334938,0.4349575,0.13119698,843.2263,21.0,1.0
4.004343,0.5372915,0.028862953,724.98126,22.0,1.0
4.308197,0.55827904,0.0078754425,701.1524,23.0,1.0
4.449436,0.56341934,0.002735138,694.8187,24.0,1.0
4.518096,0.5648918,0.0012626648,693.36194,25.0,1.0
4.5543327,0.5651169,0.0010375977,693.2246,26.0,1.0
4.576026,0.5651703,0.0009841919,693.19275,27.0,1.0
4.589843,0.56519127,0.00096321106,693.17444,28.0,1.0
4.599037,0.56520367,0.0009508133,693.1622,29.0,1.0
4.605419,0.56521416,0.0009403229,693.15356,30.0,1.0
4.6100464,0.5652199,0.00093460083,693.14716,31.0,1.0
4.6135254,0.5652256,0.0009288788,693.1423,32.0,1.0
4.616212,0.5652313,0.00092315674,693.1384,33.0,1.0
4.618329,0.56523323,0.0009212494,693.1353,34.0,1.0
4.6200256,0.5652342,0.0009202957,693.1328,35.0,1.0
4.6214075,0.56523705,0.0009174347,693.13074,36.0,1.0
4.622551,0.56523895,0.00091552734,693.12897,37.0,1.0
4.6235113,0.5652399,0.00091457367,693.12744,38.0,1.0
4.6243334,0.56524086,0.00091362,693.1262,39.0,1.0
4.6250515,0.56524277,0.00091171265,693.1251,40.0,1.0
4.6256886,0.5652447,0.0009098053,693.12415,41.0,1.0
4.6262636,0.5652447,0.0009098053,693.1232,42.0,1.0
4.626792,0.5652456,0.0009088516,693.12244,43.0,1.0
4.627283,0.56524754,0.0009069443,693.1216,44.0,1.0
4.6277447,0.5652466,0.00090789795,693.12085,45.0,1.0
4.6281824,0.5652485,0.0009059906,693.1202,46.0,1.0
