complexity,accuracy,distortion,mse,round,run,min_distance_to_curve
0.6999362063916159,0.3322627805838642,4.779408547233633,1674.3839598939894,0.0,1.0,0.2605622452165179
0.3619811437324856,0.3172171784715516,4.794454149345945,1595.9325334749503,1.0,1.0,0.03185536397149131
0.8666973519386012,0.8262414109996037,4.285429916817893,1399.431879161827,2.0,1.0,0.029307543459961644
2.0507803477302833,1.9871129298231056,3.1245583979943916,911.8651072161858,3.0,1.0,0.039906455697751086
3.1170962175258925,3.0289440453648773,2.0827272824526197,418.3461427611247,4.0,1.0,0.03582532428178581
3.6012595392245643,3.499422733311512,1.612248594505985,139.21053144446316,5.0,1.0,0.020610618669645583
3.7850637000928433,3.6758803541060416,1.4357909737114554,40.39458559653472,6.0,1.0,0.00946687446462526
3.854412529261929,3.740466890365667,1.37120443745183,15.611803709376671,7.0,1.0,0.0037230505817288056
3.8874899749558978,3.770167056869406,1.341504270948091,8.978488141372761,8.0,1.0,0.003657959339438006
3.9084783927978286,3.7886959554818938,1.3229753723356037,6.80263566564539,9.0,1.0,0.004472401169760215
3.923062243348878,3.8014671776358977,1.3102041501815993,6.22953252303815,10.0,1.0,0.002878833629492212
3.933662506659104,3.810718028736968,1.300953299080529,6.0177314050630795,11.0,1.0,0.0016286377446429034
3.9415460015567785,3.8175856136938258,1.2940857141236712,5.940242594104143,12.0,1.0,0.0031717948960730976
3.947512423365934,3.822778068332706,1.2888932594847908,5.90328926618775,13.0,1.0,0.005030746421784056
3.9521133605712553,3.826781716864822,1.2848896109526748,5.876117914723188,14.0,1.0,0.0014899435059340283
3.955715375063315,3.8299163148693367,1.2817550129481603,5.855246061100427,15.0,1.0,0.003621020963132881
3.958578129053329,3.832407896863641,1.279263430953856,5.838921293891235,16.0,1.0,0.004805904638891819
3.960887598521309,3.8344182344482185,1.2772530933692785,5.825930242012004,17.0,1.0,0.0018014539254612115
3.962777691843691,3.836063758688823,1.275607569128674,5.8154217228627605,18.0,1.0,0.0009750442927089519
3.964345515518108,3.837428888451374,1.2742424393661231,5.806791387481067,19.0,1.0,0.0029289071248024957
3.965662131167857,3.8385754036777424,1.2730959241397546,5.799604807719347,20.0,1.0,0.004654204791789428
3.966780108272871,3.839549016606607,1.2721223112108897,5.793545619806242,21.0,1.0,0.00584511868455627
3.96773881527689,3.840383970306751,1.2712873575107455,5.788380270553446,22.0,1.0,0.004575948722157311
3.968568126048119,3.841106257803286,1.2705650700142108,5.783933876878619,23.0,1.0,0.003479327951320171
3.9692910220726407,3.841735881409455,1.2699354464080417,5.780073576427147,24.0,1.0,0.002525631709487137
3.9699254274143385,3.8422884458913167,1.2693828819261803,5.776696956553494,25.0,1.0,0.0016932808034950439
3.970485510859619,3.842776289281256,1.2688950385362414,5.773723944940789,26.0,1.0,0.0009713420021654881
3.970982617374439,3.8432092920991927,1.2684620357183043,5.771091073628312,27.0,1.0,0.00040043813659568087
3.9714259406892367,3.8435954619688726,1.2680758658486244,5.768747380867188,28.0,1.0,0.00044177335999674597
3.971823014102134,3.8439413604632655,1.2677299673542315,5.76665145136726,29.0,1.0,0.0009018085939274028
3.972180072741887,3.844252418332063,1.2674189094854338,5.764769254124548,30.0,1.0,0.001357457894472715
3.972502324188971,3.844533171102608,1.2671381567148892,5.76307254393944,31.0,1.0,0.0017767530040486347
3.972794153152213,3.844787437344289,1.266883890473208,5.761537665090584,32.0,1.0,0.002159217041607913
3.9730592782076233,3.845018455224493,1.2666528725930046,5.760144644817366,33.0,1.0,0.0025079167565194003
3.9733008733075503,3.8452289883938704,1.2664423394236266,5.758876497876775,34.0,1.0,0.002826317240330562
3.9735216631014065,3.845421409059929,1.266249918757568,5.757718686542208,35.0,1.0,0.0031176770730794116
