complexity,accuracy,distortion,mse,round,run
5.9185634,4.407449,0.7042217,1843.4602,0.0,1.0
0.41671276,0.41641617,4.6952543,842.5608,1.0,1.0
0.31229687,0.31210327,4.799567,1002.70465,2.0,1.0
0.29580212,0.29562378,4.8160467,1022.12,3.0,1.0
0.30186844,0.3016901,4.8099804,1008.93896,4.0,1.0
0.31073952,0.3105564,4.801114,992.8303,5.0,1.0
0.31798267,0.31779575,4.7938747,979.9154,6.0,1.0
0.32322407,0.32303333,4.788637,970.6194,7.0,1.0
0.3268299,0.32663727,4.785033,964.29236,8.0,1.0
0.32921696,0.32902336,4.782647,960.16644,9.0,1.0
0.3307457,0.33055115,4.7811193,957.5601,10.0,1.0
0.33170223,0.33150673,4.780164,955.9424,11.0,1.0
0.3322935,0.33209705,4.7795734,954.9396,12.0,1.0
0.33265972,0.33246422,4.7792063,954.30884,13.0,1.0
0.33289337,0.3326969,4.7789736,953.9002,14.0,1.0
0.33304596,0.33284855,4.778822,953.62524,15.0,1.0
0.3331499,0.3329525,4.778718,953.43243,16.0,1.0
0.33322334,0.3330269,4.7786436,953.2921,17.0,1.0
0.33327675,0.3330803,4.77859,953.1876,18.0,1.0
0.3333168,0.33312035,4.77855,953.1096,19.0,1.0
0.33334732,0.33315086,4.7785196,953.0522,20.0,1.0
0.3333683,0.33317184,4.7784986,953.0116,21.0,1.0
0.3333845,0.33318806,4.7784824,952.98425,22.0,1.0
0.3333931,0.33319664,4.778474,952.9668,23.0,1.0
0.33339977,0.33320427,4.778466,952.95624,24.0,1.0
0.3334036,0.33320808,4.7784624,952.9501,25.0,1.0
0.3334055,0.33321,4.7784605,952.9466,26.0,1.0
0.33340645,0.33321095,4.7784595,952.9447,27.0,1.0
0.33340836,0.33321095,4.7784595,952.9437,28.0,1.0
0.33340836,0.33321285,4.7784576,952.9432,29.0,1.0
0.33340836,0.3332119,4.7784586,952.94293,30.0,1.0
0.33340836,0.3332119,4.7784586,952.94275,31.0,1.0
0.3334093,0.33321285,4.7784576,952.9426,32.0,1.0
0.3334093,0.33321095,4.7784595,952.9427,33.0,1.0
0.3334074,0.3332119,4.7784586,952.9427,34.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,35.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,36.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,37.0,1.0
0.33340836,0.33321285,4.7784576,952.94275,38.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,39.0,1.0
0.33340836,0.33321095,4.7784595,952.9427,40.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,41.0,1.0
0.33340836,0.33321095,4.7784595,952.94275,42.0,1.0
0.3334093,0.33321095,4.7784595,952.9427,43.0,1.0
0.3334093,0.33321285,4.7784576,952.9427,44.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,45.0,1.0
0.33340836,0.3332119,4.7784586,952.94275,46.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,47.0,1.0
0.33340836,0.33321095,4.7784595,952.9426,48.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,49.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,50.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,51.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,52.0,1.0
0.33340836,0.3332119,4.7784586,952.94275,53.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,54.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,55.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,56.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,57.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,58.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,59.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,60.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,61.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,62.0,1.0
0.3334093,0.33321285,4.7784576,952.9427,63.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,64.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,65.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,66.0,1.0
0.3334093,0.3332119,4.7784586,952.9426,67.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,68.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,69.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,70.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,71.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,72.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,73.0,1.0
0.3334093,0.3332119,4.7784586,952.9426,74.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,75.0,1.0
0.3334093,0.3332119,4.7784586,952.9427,76.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,77.0,1.0
0.3334093,0.3332119,4.7784586,952.9426,78.0,1.0
0.33340836,0.3332138,4.7784567,952.9426,79.0,1.0
0.3334093,0.33321285,4.7784576,952.9426,80.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,81.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,82.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,83.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,84.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,85.0,1.0
0.3334093,0.3332119,4.7784586,952.9426,86.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,87.0,1.0
0.33340836,0.3332138,4.7784567,952.9427,88.0,1.0
0.3334093,0.3332138,4.7784567,952.9427,89.0,1.0
0.3334093,0.3332119,4.7784586,952.9426,90.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,91.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,92.0,1.0
0.3334093,0.33321285,4.7784576,952.9426,93.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,94.0,1.0
0.3334093,0.33321285,4.7784576,952.9426,95.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,96.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,97.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,98.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,99.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,100.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,101.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,102.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,103.0,1.0
0.3334093,0.3332119,4.7784586,952.9426,104.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,105.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,106.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,107.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,108.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,109.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,110.0,1.0
0.33340836,0.3332119,4.7784586,952.94275,111.0,1.0
0.33340836,0.3332119,4.7784586,952.9427,112.0,1.0
0.33340836,0.33321285,4.7784576,952.9426,113.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,114.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,115.0,1.0
0.33340836,0.3332119,4.7784586,952.94275,116.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,117.0,1.0
0.33340836,0.33321285,4.7784576,952.9427,118.0,1.0
0.33340836,0.33321095,4.7784595,952.9426,119.0,1.0
0.33340836,0.3332119,4.7784586,952.9426,120.0,1.0
