complexity,accuracy,distortion,mse,round,run
7.1525574e-05,2.861023e-05,5.111642,1666.3911,0.0,1.0
2.9563904e-05,2.0980835e-05,5.1116495,1536.8085,1.0,1.0
2.3841858e-05,2.002716e-05,5.1116505,1429.8491,2.0,1.0
2.9563904e-05,2.670288e-05,5.111644,1343.521,3.0,1.0
6.198883e-05,6.1035156e-05,5.1116095,1274.6077,4.0,1.0
0.00016784668,0.00016593933,5.1115046,1219.6467,5.0,1.0
0.0004911423,0.0004901886,5.1111803,1175.406,6.0,1.0
0.0014410019,0.0014390945,5.1102314,1138.9033,7.0,1.0
0.004125595,0.0041217804,5.1075487,1106.9762,8.0,1.0
0.01142025,0.011413574,5.100257,1075.216,9.0,1.0
0.030260086,0.030241013,5.0814295,1035.9865,10.0,1.0
0.07509422,0.0750494,5.036621,976.292,11.0,1.0
0.16764164,0.16753864,4.944132,880.722,12.0,1.0
0.3201809,0.31997013,4.7917004,747.44275,13.0,1.0
0.51047134,0.51009274,4.6015778,602.28894,14.0,1.0
0.6965008,0.6959028,4.4157677,477.82538,15.0,1.0
0.855237,0.8543854,4.257285,385.60712,16.0,1.0
0.9863081,0.9851742,4.1264963,320.3407,17.0,1.0
1.0966253,1.0951853,4.016485,273.4984,18.0,1.0
1.192276,1.1905155,3.921155,238.6625,19.0,1.0
1.2772188,1.2751226,3.8365479,211.7785,20.0,1.0
1.3538542,1.3514128,3.7602577,190.36963,21.0,1.0
1.4236946,1.4208956,3.690775,172.89404,22.0,1.0
1.4877634,1.4846039,3.6270666,158.35335,23.0,1.0
1.5468168,1.5432911,3.5683794,146.07169,24.0,1.0
1.6014538,1.5975561,3.5141144,135.5719,25.0,1.0
1.6521597,1.647891,3.4637794,126.50493,26.0,1.0
1.699357,1.6947155,3.416955,118.60782,27.0,1.0
1.7433968,1.7383814,3.373289,111.6779,28.0,1.0
1.7845917,1.7792044,3.3324661,105.55609,29.0,1.0
1.8232098,1.8174534,3.294217,100.11567,30.0,1.0
1.8594866,1.853364,3.2583065,95.254456,31.0,1.0
1.8936281,1.8871412,3.2245293,90.88927,32.0,1.0
1.9258146,1.9189701,3.1927004,86.95177,33.0,1.0
1.9562073,1.949009,3.1626616,83.38536,34.0,1.0
1.9849463,1.9773998,3.1342707,80.14285,35.0,1.0
2.0121565,2.0042677,3.1074028,77.18465,36.0,1.0
2.0379496,2.029725,3.0819454,74.47725,37.0,1.0
2.0624247,2.0538702,3.0578003,71.99222,38.0,1.0
2.0856667,2.0767927,3.0348778,69.70519,39.0,1.0
2.1077614,2.0985737,3.0130968,67.59527,40.0,1.0
2.1287766,2.1192818,2.9923887,65.64435,41.0,1.0
2.148779,2.1389847,2.9726858,63.836735,42.0,1.0
2.1678305,2.1577444,2.953926,62.158684,43.0,1.0
2.1859827,2.1756134,2.936057,60.598175,44.0,1.0
2.203288,2.1926432,2.9190273,59.144592,45.0,1.0
2.2197924,2.2088804,2.90279,57.78857,46.0,1.0
2.2355385,2.2243671,2.8873034,56.521774,47.0,1.0
