complexity,accuracy,distortion,mse,round,run
0.0,0.0,5.1116705,1666.3749,0.0,1.0
9.536743e-07,9.536743e-07,5.1116695,1666.3748,1.0,1.0
1.9073486e-06,9.536743e-07,5.1116695,1666.3746,2.0,1.0
9.536743e-06,9.536743e-06,5.111661,1666.3735,3.0,1.0
5.722046e-05,5.2452087e-05,5.111618,1666.3645,4.0,1.0
0.00033855438,0.0003232956,5.111347,1666.3032,5.0,1.0
0.0020809174,0.0019989014,5.1096716,1665.8857,6.0,1.0
0.012936592,0.012499809,5.0991707,1663.0564,7.0,1.0
0.080109596,0.077726364,5.033944,1644.2244,8.0,1.0
0.4655323,0.45289993,4.6587706,1524.8047,9.0,1.0
1.8825436,1.8308964,3.280774,992.6986,10.0,1.0
3.3763123,3.2645035,1.847167,337.95544,11.0,1.0
3.9948149,3.8355722,1.2760983,75.78566,12.0,1.0
4.2462044,4.0545273,1.0571432,16.188156,13.0,1.0
4.3563156,4.1437864,0.96788406,5.6500683,14.0,1.0
4.4091597,4.184141,0.92752934,3.852574,15.0,1.0
4.43779,4.205514,0.90615654,3.5113225,16.0,1.0
4.4541187,4.217573,0.8940973,3.4457946,17.0,1.0
4.4640102,4.224869,0.8868017,3.4095402,18.0,1.0
4.470296,4.2295084,0.8821621,3.3866267,19.0,1.0
4.4744587,4.232586,0.8790846,3.3714871,20.0,1.0
4.477318,4.234701,0.87696934,3.3610997,21.0,1.0
4.479348,4.236206,0.87546444,3.3537307,22.0,1.0
4.480831,4.2373047,0.8743658,3.3483405,23.0,1.0
4.481948,4.2381334,0.87353706,3.344284,24.0,1.0
4.48281,4.2387743,0.8728962,3.3411498,25.0,1.0
4.48349,4.2392797,0.87239075,3.338667,26.0,1.0
4.4840384,4.239686,0.8719845,3.3366551,27.0,1.0
4.4844904,4.2400236,0.8716469,3.334991,28.0,1.0
4.484871,4.240309,0.87136173,3.3335886,29.0,1.0
4.485197,4.24055,0.87112045,3.332387,30.0,1.0
4.4854774,4.24076,0.87091064,3.3313427,31.0,1.0
4.4857254,4.240944,0.8707266,3.3304236,32.0,1.0
4.4859447,4.241108,0.87056255,3.3296058,33.0,1.0
4.486141,4.241255,0.8704157,3.3288713,34.0,1.0
4.4863195,4.2413864,0.8702841,3.3282068,35.0,1.0
4.4864817,4.2415075,0.87016296,3.3276007,36.0,1.0
4.4866304,4.241619,0.8700514,3.3270457,37.0,1.0
4.486767,4.24172,0.8699503,3.3265345,38.0,1.0
4.4868937,4.2418137,0.86985683,3.3260615,39.0,1.0
4.487012,4.2419033,0.8697672,3.3256228,40.0,1.0
4.4871216,4.2419844,0.8696861,3.3252146,41.0,1.0
4.4872246,4.2420616,0.8696089,3.3248336,42.0,1.0
4.48732,4.242132,0.8695383,3.3244767,43.0,1.0
4.4874105,4.242199,0.86947155,3.3241427,44.0,1.0
4.4874945,4.242261,0.86940956,3.323829,45.0,1.0
4.4875746,4.242321,0.8693495,3.3235338,46.0,1.0
4.487651,4.2423763,0.86929417,3.323256,47.0,1.0
4.4877214,4.2424297,0.86924076,3.322994,48.0,1.0
4.487788,4.242481,0.86918926,3.3227463,49.0,1.0
4.487853,4.242527,0.8691435,3.3225124,50.0,1.0
4.487913,4.242571,0.8690996,3.3222914,51.0,1.0
4.4879694,4.242614,0.8690567,3.3220816,52.0,1.0
4.4880247,4.242654,0.86901665,3.3218825,53.0,1.0
4.4880753,4.242691,0.86897945,3.321694,54.0,1.0
4.488124,4.2427263,0.86894417,3.3215146,55.0,1.0
4.4881716,4.2427616,0.8689089,3.3213444,56.0,1.0
4.4882164,4.242796,0.86887455,3.321182,57.0,1.0
4.4882584,4.2428284,0.8688421,3.3210278,58.0,1.0
4.4882984,4.242856,0.86881447,3.320881,59.0,1.0
4.4883366,4.2428837,0.8687868,3.3207407,60.0,1.0
4.4883738,4.2429104,0.8687601,3.3206067,61.0,1.0
4.488408,4.242937,0.8687334,3.320479,62.0,1.0
4.4884415,4.242962,0.8687086,3.3203564,63.0,1.0
4.488475,4.2429857,0.86868477,3.3202393,64.0,1.0
4.4885035,4.2430077,0.86866283,3.3201277,65.0,1.0
4.488535,4.2430305,0.86863995,3.3200202,66.0,1.0
4.4885626,4.2430506,0.8686199,3.3199172,67.0,1.0
4.4885893,4.2430706,0.8685999,3.3198185,68.0,1.0
4.488616,4.2430897,0.8685808,3.3197236,69.0,1.0
4.48864,4.243108,0.8685627,3.3196325,70.0,1.0
4.4886646,4.243126,0.8685446,3.3195448,71.0,1.0
4.4886866,4.243142,0.86852837,3.3194606,72.0,1.0
4.4887114,4.2431602,0.86851025,3.319379,73.0,1.0
4.4887314,4.2431765,0.86849403,3.3193011,74.0,1.0
4.4887514,4.243191,0.8684797,3.3192258,75.0,1.0
4.4887714,4.243205,0.8684654,3.3191528,76.0,1.0
4.4887905,4.2432194,0.8684511,3.3190825,77.0,1.0
4.4888096,4.2432327,0.86843777,3.3190145,78.0,1.0
4.4888277,4.243246,0.8684244,3.3189487,79.0,1.0
4.488844,4.2432585,0.868412,3.3188853,80.0,1.0
4.488861,4.243271,0.8683996,3.3188238,81.0,1.0
4.4888783,4.243284,0.86838627,3.3187642,82.0,1.0
4.4888935,4.2432957,0.8683748,3.3187065,83.0,1.0
4.488909,4.243306,0.86836433,3.3186505,84.0,1.0
4.488924,4.2433167,0.86835384,3.3185964,85.0,1.0
4.4889383,4.243327,0.86834335,3.3185434,86.0,1.0
4.4889517,4.2433395,0.86833096,3.318492,87.0,1.0
4.488966,4.243348,0.8683224,3.318442,88.0,1.0
4.4889793,4.2433567,0.8683138,3.3183937,89.0,1.0
4.4889917,4.243367,0.8683033,3.3183467,90.0,1.0
4.489004,4.243376,0.8682947,3.3183007,91.0,1.0
4.4890156,4.2433853,0.8682852,3.318256,92.0,1.0
4.489028,4.243395,0.86827564,3.3182123,93.0,1.0
4.4890404,4.2434025,0.868268,3.31817,94.0,1.0
4.489052,4.243411,0.86825943,3.3181286,95.0,1.0
4.4890633,4.2434196,0.86825085,3.3180878,96.0,1.0
4.4890747,4.243428,0.86824226,3.3180485,97.0,1.0
4.4890833,4.243434,0.86823654,3.3180096,98.0,1.0
4.489093,4.2434444,0.86822605,3.3179722,99.0,1.0
4.4891033,4.243449,0.8682213,3.317935,100.0,1.0
4.489113,4.243456,0.8682146,3.3178992,101.0,1.0
4.4891233,4.2434645,0.868206,3.317864,102.0,1.0
4.489132,4.24347,0.8682003,3.3178291,103.0,1.0
4.4891415,4.243479,0.8681917,3.3177953,104.0,1.0
4.489151,4.2434845,0.868186,3.3177624,105.0,1.0
4.4891605,4.243491,0.8681793,3.3177295,106.0,1.0
4.489167,4.243497,0.8681736,3.317698,107.0,1.0
4.489176,4.2435026,0.8681679,3.3176668,108.0,1.0
4.4891844,4.2435093,0.8681612,3.3176363,109.0,1.0
4.489193,4.243516,0.8681545,3.317606,110.0,1.0
4.4892006,4.2435217,0.8681488,3.3175766,111.0,1.0
4.489209,4.2435274,0.8681431,3.3175478,112.0,1.0
4.4892178,4.243534,0.8681364,3.3175192,113.0,1.0
4.4892244,4.243539,0.86813164,3.3174913,114.0,1.0
4.489231,4.2435436,0.86812687,3.3174639,115.0,1.0
4.4892387,4.2435493,0.86812115,3.317437,116.0,1.0
4.4892464,4.243555,0.8681154,3.3174105,117.0,1.0
4.489253,4.24356,0.86811066,3.3173842,118.0,1.0
4.4892616,4.2435656,0.86810493,3.3173585,119.0,1.0
4.4892673,4.2435694,0.8681011,3.3173332,120.0,1.0
4.489274,4.243575,0.8680954,3.3173084,121.0,1.0
4.4892807,4.24358,0.8680906,3.3172836,122.0,1.0
4.4892874,4.2435846,0.86808586,3.3172598,123.0,1.0
4.489294,4.2435894,0.8680811,3.317236,124.0,1.0
4.4893007,4.243595,0.8680754,3.3172128,125.0,1.0
4.4893055,4.243599,0.86807156,3.3171897,126.0,1.0
4.489313,4.2436037,0.8680668,3.317167,127.0,1.0
4.489319,4.2436085,0.868062,3.3171446,128.0,1.0
4.4893246,4.2436123,0.8680582,3.3171225,129.0,1.0
4.489332,4.243617,0.86805344,3.317101,130.0,1.0
4.489337,4.243622,0.86804867,3.3170793,131.0,1.0
4.4893417,4.2436256,0.86804485,3.3170583,132.0,1.0
4.4893475,4.2436295,0.86804104,3.3170373,133.0,1.0
4.489354,4.243634,0.86803627,3.3170166,134.0,1.0
4.48936,4.243638,0.86803246,3.3169963,135.0,1.0
4.4893646,4.243642,0.86802864,3.3169765,136.0,1.0
4.4893703,4.2436457,0.8680248,3.3169565,137.0,1.0
4.489375,4.2436495,0.868021,3.3169372,138.0,1.0
4.489382,4.2436533,0.8680172,3.316918,139.0,1.0
4.4893856,4.243658,0.8680124,3.3168988,140.0,1.0
4.4893913,4.243662,0.8680086,3.31688,141.0,1.0
4.489395,4.243664,0.8680067,3.3168612,142.0,1.0
4.489401,4.2436676,0.8680029,3.316843,143.0,1.0
4.4894066,4.2436714,0.8679991,3.316825,144.0,1.0
4.4894104,4.2436743,0.8679962,3.3168068,145.0,1.0
4.489415,4.243679,0.86799145,3.3167892,146.0,1.0
4.48942,4.243684,0.8679867,3.3167715,147.0,1.0
4.4894257,4.2436867,0.8679838,3.3167543,148.0,1.0
4.4894304,4.2436895,0.86798096,3.3167372,149.0,1.0
4.489435,4.2436934,0.86797714,3.3167205,150.0,1.0
4.48944,4.243696,0.8679743,3.3167033,151.0,1.0
4.489444,4.2437,0.86797047,3.316687,152.0,1.0
4.4894476,4.243703,0.8679676,3.3166704,153.0,1.0
4.4894533,4.2437057,0.86796474,3.3166542,154.0,1.0
4.489457,4.2437096,0.86796093,3.3166385,155.0,1.0
4.489462,4.2437115,0.867959,3.3166225,156.0,1.0
4.4894667,4.2437143,0.86795616,3.3166068,157.0,1.0
4.4894695,4.243719,0.8679514,3.3165913,158.0,1.0
4.4894743,4.243721,0.8679495,3.3165758,159.0,1.0
4.489478,4.243725,0.8679457,3.3165607,160.0,1.0
4.489482,4.2437277,0.8679428,3.3165455,161.0,1.0
4.4894867,4.2437305,0.86793995,3.3165307,162.0,1.0
4.4894905,4.2437344,0.86793613,3.316516,163.0,1.0
4.4894953,4.243737,0.8679333,3.3165014,164.0,1.0
4.4895,4.24374,0.8679304,3.316487,165.0,1.0
4.489503,4.243742,0.8679285,3.3164725,166.0,1.0
4.489506,4.243745,0.86792564,3.3164587,167.0,1.0
4.4895115,4.2437496,0.8679209,3.3164446,168.0,1.0
4.4895144,4.2437506,0.8679199,3.3164306,169.0,1.0
4.489518,4.2437534,0.86791706,3.3164167,170.0,1.0
4.489521,4.2437563,0.8679142,3.3164034,171.0,1.0
4.489526,4.24376,0.8679104,3.3163898,172.0,1.0
4.4895296,4.243762,0.8679085,3.3163767,173.0,1.0
4.4895325,4.243764,0.8679066,3.3163633,174.0,1.0
4.4895372,4.2437677,0.86790276,3.31635,175.0,1.0
4.489541,4.2437696,0.86790085,3.3163373,176.0,1.0
4.489544,4.2437725,0.867898,3.3163242,177.0,1.0
4.489547,4.2437754,0.8678951,3.3163114,178.0,1.0
4.4895506,4.2437773,0.8678932,3.3162987,179.0,1.0
4.4895554,4.243778,0.86789227,3.3162863,180.0,1.0
4.4895573,4.243782,0.86788845,3.3162737,181.0,1.0
4.48956,4.243786,0.86788464,3.3162613,182.0,1.0
4.489564,4.243787,0.8678837,3.3162494,183.0,1.0
4.4895678,4.2437887,0.8678818,3.316237,184.0,1.0
4.4895716,4.2437925,0.86787796,3.3162253,185.0,1.0
4.4895754,4.2437944,0.86787605,3.3162131,186.0,1.0
4.4895763,4.2437963,0.86787415,3.3162017,187.0,1.0
4.489581,4.243799,0.8678713,3.3161898,188.0,1.0
4.489584,4.243801,0.8678694,3.3161783,189.0,1.0
4.489588,4.243803,0.86786747,3.3161669,190.0,1.0
4.4895897,4.243806,0.8678646,3.3161552,191.0,1.0
4.4895926,4.243808,0.8678627,3.3161442,192.0,1.0
4.4895973,4.2438116,0.8678589,3.316133,193.0,1.0
4.4896,4.2438126,0.86785793,3.3161218,194.0,1.0
4.489603,4.2438164,0.8678541,3.316111,195.0,1.0
4.489605,4.2438164,0.8678541,3.3161001,196.0,1.0
4.489609,4.243819,0.86785126,3.316089,197.0,1.0
4.4896126,4.243821,0.86784935,3.3160782,198.0,1.0
4.4896154,4.243825,0.86784554,3.3160677,199.0,1.0
