complexity,accuracy,distortion,mse,round,run
0.0,0.0,5.1116743,1666.375,0.0,1.0
0.0,0.0,5.1116734,1666.375,1.0,1.0
0.0,0.0,5.111676,1666.375,2.0,1.0
0.0,0.0,5.111677,1666.3749,3.0,1.0
0.0,0.0,5.1116724,1666.3749,4.0,1.0
0.0,0.0,5.1116705,1666.3749,5.0,1.0
0.0,0.0,5.1116705,1666.3748,6.0,1.0
0.0,0.0,5.1116714,1666.3748,7.0,1.0
0.0,0.0,5.1116714,1666.3748,8.0,1.0
0.0,0.0,5.1116724,1666.3749,9.0,1.0
0.0,0.0,5.1116714,1666.3749,10.0,1.0
0.0,9.536743e-07,5.1116695,1666.3749,11.0,1.0
9.536743e-07,1.9073486e-06,5.1116686,1666.3748,12.0,1.0
3.8146973e-06,5.722046e-06,5.111665,1666.3738,13.0,1.0
2.9563904e-05,2.670288e-05,5.111644,1666.3671,14.0,1.0
0.00019550323,0.00018978119,5.1114807,1666.3203,15.0,1.0
0.001294136,0.0012664795,5.110404,1666.0018,16.0,1.0
0.008594513,0.008415222,5.1032553,1663.8234,17.0,1.0
0.056679726,0.055553436,5.056117,1649.0527,18.0,1.0
0.350832,0.3440466,4.767624,1553.6393,19.0,1.0
1.5388498,1.5065527,3.6051178,1101.7795,20.0,1.0
3.166831,3.07722,2.0344505,371.25006,21.0,1.0
3.9825068,3.8271408,1.2845297,75.204666,22.0,1.0
4.3042393,4.0975657,1.0141048,17.92485,23.0,1.0
4.4478493,4.2087126,0.9029579,5.6821404,24.0,1.0
4.518298,4.260559,0.8511114,3.3469837,25.0,1.0
4.5557804,4.2873507,0.82431984,3.142014,26.0,1.0
4.5782204,4.3032227,0.80844784,3.060942,27.0,1.0
4.5926123,4.3133287,0.79834175,3.0159998,28.0,1.0
4.6023054,4.320092,0.7915783,2.9865103,29.0,1.0
4.6091013,4.32481,0.78686047,2.9662461,30.0,1.0
4.614049,4.328227,0.78344345,2.9517457,31.0,1.0
4.617774,4.3307896,0.7808809,2.940979,32.0,1.0
4.6206617,4.3327694,0.7789011,2.9327207,33.0,1.0
4.622957,4.3343363,0.7773342,2.9262075,34.0,1.0
4.6248207,4.3356085,0.776062,2.9209442,35.0,1.0
4.626362,4.3366585,0.775012,2.9165978,36.0,1.0
4.6276627,4.3375425,0.77412796,2.9129367,37.0,1.0
4.6287775,4.3382998,0.77337074,2.9097977,38.0,1.0
4.6297483,4.3389597,0.7727108,2.9070644,39.0,1.0
4.6306047,4.3395405,0.77213,2.9046528,40.0,1.0
4.6313677,4.3400593,0.7716112,2.9024992,41.0,1.0
4.632058,4.3405247,0.7711458,2.900558,42.0,1.0
4.6326847,4.340951,0.7707195,2.8987935,43.0,1.0
4.633257,4.341337,0.7703333,2.8971777,44.0,1.0
4.633786,4.341695,0.76997566,2.8956914,45.0,1.0
4.6342764,4.3420258,0.76964474,2.8943162,46.0,1.0
4.634733,4.342333,0.76933765,2.8930387,47.0,1.0
4.6351557,4.342619,0.76905155,2.891849,48.0,1.0
4.6355543,4.342886,0.7687845,2.8907375,49.0,1.0
4.635928,4.3431377,0.76853275,2.8896956,50.0,1.0
4.63628,4.3433704,0.76830006,2.888718,51.0,1.0
4.63661,4.3435936,0.7680769,2.8877964,52.0,1.0
4.636924,4.3438034,0.7678671,2.8869271,53.0,1.0
4.6372204,4.344002,0.7676687,2.886104,54.0,1.0
4.6375027,4.3441906,0.7674799,2.8853223,55.0,1.0
4.6377726,4.344371,0.76729965,2.8845782,56.0,1.0
4.63803,4.3445425,0.767128,2.8838675,57.0,1.0
4.638277,4.3447065,0.76696396,2.883186,58.0,1.0
4.6385155,4.344866,0.7668047,2.8825312,59.0,1.0
4.6387444,4.3450203,0.7666502,2.8819003,60.0,1.0
4.6389666,4.3451653,0.76650524,2.8812907,61.0,1.0
4.639182,4.3453093,0.76636124,2.8807006,62.0,1.0
4.639391,4.3454475,0.76622295,2.8801281,63.0,1.0
4.639595,4.345584,0.7660866,2.8795722,64.0,1.0
4.6397915,4.3457136,0.7659569,2.8790312,65.0,1.0
4.639986,4.3458424,0.76582813,2.8785043,66.0,1.0
4.640175,4.3459663,0.76570415,2.8779912,67.0,1.0
4.640359,4.3460884,0.7655821,2.8774905,68.0,1.0
4.640538,4.3462076,0.7654629,2.8770022,69.0,1.0
4.6407127,4.346323,0.7653475,2.8765266,70.0,1.0
4.6408834,4.3464355,0.76523495,2.8760638,71.0,1.0
4.6410503,4.346546,0.7651243,2.8756127,72.0,1.0
4.6412106,4.346652,0.76501846,2.8751762,73.0,1.0
4.641366,4.346755,0.76491547,2.8747535,74.0,1.0
4.6415176,4.346854,0.7648163,2.8743463,75.0,1.0
4.6416616,4.3469486,0.7647219,2.8739552,76.0,1.0
4.641799,4.34704,0.7646303,2.8735816,77.0,1.0
4.6419315,4.347128,0.7645426,2.8732255,78.0,1.0
4.6420565,4.347211,0.7644596,2.8728878,79.0,1.0
4.6421747,4.347288,0.76438236,2.8725686,80.0,1.0
4.6422863,4.3473616,0.7643089,2.8722675,81.0,1.0
4.642391,4.34743,0.76424026,2.8719842,82.0,1.0
4.6424885,4.347495,0.7641754,2.8717182,83.0,1.0
4.642582,4.347556,0.7641144,2.8714685,84.0,1.0
4.642668,4.3476124,0.7640581,2.871234,85.0,1.0
4.642748,4.3476667,0.76400375,2.8710132,86.0,1.0
4.642826,4.3477173,0.7639532,2.8708057,87.0,1.0
4.6428986,4.347766,0.7639046,2.8706093,88.0,1.0
4.6429663,4.3478117,0.7638588,2.8704243,89.0,1.0
4.643032,4.3478546,0.7638159,2.8702488,90.0,1.0
4.643094,4.3478947,0.7637758,2.870082,91.0,1.0
4.643153,4.347933,0.7637377,2.8699229,92.0,1.0
4.6432095,4.347971,0.76369953,2.8697708,93.0,1.0
4.643262,4.3480062,0.76366425,2.8696249,94.0,1.0
4.6433134,4.3480406,0.7636299,2.8694847,95.0,1.0
4.643365,4.348074,0.76359653,2.869349,96.0,1.0
4.6434116,4.3481045,0.763566,2.869218,97.0,1.0
4.643461,4.348137,0.7635336,2.8690913,98.0,1.0
4.643506,4.3481665,0.763504,2.8689675,99.0,1.0
4.64355,4.348195,0.7634754,2.8688471,100.0,1.0
4.643594,4.3482246,0.76344585,2.8687294,101.0,1.0
4.6436367,4.3482513,0.76341915,2.8686137,102.0,1.0
4.6436787,4.34828,0.76339054,2.8685007,103.0,1.0
4.6437206,4.3483067,0.76336384,2.8683891,104.0,1.0
4.6437607,4.3483343,0.7633362,2.8682797,105.0,1.0
4.6438007,4.348361,0.7633095,2.8681712,106.0,1.0
4.6438417,4.3483877,0.7632828,2.8680644,107.0,1.0
4.64388,4.3484125,0.763258,2.867958,108.0,1.0
4.643919,4.3484383,0.76323223,2.8678532,109.0,1.0
4.643959,4.348465,0.7632055,2.8677485,110.0,1.0
4.643997,4.3484898,0.76318073,2.8676448,111.0,1.0
4.6440353,4.3485146,0.76315594,2.8675418,112.0,1.0
4.6440735,4.3485403,0.7631302,2.8674388,113.0,1.0
4.6441135,4.348566,0.76310444,2.8673363,114.0,1.0
4.6441517,4.348592,0.7630787,2.8672338,115.0,1.0
4.64419,4.3486166,0.7630539,2.8671317,116.0,1.0
4.644229,4.3486423,0.76302814,2.8670292,117.0,1.0
4.644268,4.348666,0.7630043,2.866927,118.0,1.0
4.644306,4.348692,0.76297855,2.8668244,119.0,1.0
4.6443443,4.3487177,0.7629528,2.8667216,120.0,1.0
4.6443844,4.3487434,0.76292706,2.8666189,121.0,1.0
4.6444235,4.348768,0.76290226,2.8665159,122.0,1.0
4.6444626,4.348795,0.76287556,2.8664126,123.0,1.0
4.6445026,4.3488197,0.76285076,2.8663092,124.0,1.0
4.64454,4.3488445,0.76282597,2.8662055,125.0,1.0
4.64458,4.348871,0.76279926,2.8661015,126.0,1.0
4.64462,4.348897,0.7627735,2.8659978,127.0,1.0
4.644659,4.3489227,0.76274776,2.8658934,128.0,1.0
4.644698,4.3489475,0.76272297,2.8657894,129.0,1.0
4.644738,4.3489733,0.7626972,2.8656855,130.0,1.0
4.6447773,4.348999,0.7626715,2.865582,131.0,1.0
4.6448174,4.349025,0.7626457,2.8654785,132.0,1.0
4.6448574,4.3490515,0.762619,2.8653762,133.0,1.0
4.6448965,4.3490763,0.7625942,2.8652742,134.0,1.0
4.6449347,4.349102,0.7625685,2.8651733,135.0,1.0
4.6449738,4.349126,0.76254463,2.8650734,136.0,1.0
4.64501,4.3491507,0.76251984,2.864975,137.0,1.0
4.645049,4.3491745,0.762496,2.864878,138.0,1.0
4.6450844,4.3491993,0.7624712,2.8647826,139.0,1.0
4.6451206,4.349222,0.7624483,2.864689,140.0,1.0
4.645155,4.349246,0.76242447,2.8645978,141.0,1.0
4.645191,4.349268,0.76240253,2.8645086,142.0,1.0
4.6452246,4.349291,0.76237965,2.8644218,143.0,1.0
4.645258,4.349312,0.76235867,2.8643372,144.0,1.0
4.6452894,4.349333,0.7623377,2.864255,145.0,1.0
4.645321,4.349352,0.7623186,2.8641758,146.0,1.0
4.6453514,4.349373,0.76229763,2.8640988,147.0,1.0
4.64538,4.349391,0.7622795,2.8640246,148.0,1.0
4.6454086,4.349408,0.76226234,2.8639524,149.0,1.0
4.6454353,4.3494253,0.7622452,2.8638833,150.0,1.0
4.645462,4.3494425,0.762228,2.8638163,151.0,1.0
4.645487,4.3494596,0.76221085,2.8637516,152.0,1.0
4.6455126,4.349476,0.76219463,2.8636897,153.0,1.0
4.6455364,4.349491,0.7621794,2.8636298,154.0,1.0
4.6455603,4.3495064,0.7621641,2.8635721,155.0,1.0
4.645584,4.3495197,0.76215076,2.8635166,156.0,1.0
4.645605,4.349535,0.7621355,2.863463,157.0,1.0
4.645626,4.3495474,0.7621231,2.8634114,158.0,1.0
4.645647,4.3495617,0.7621088,2.8633614,159.0,1.0
4.645667,4.349574,0.7620964,2.8633132,160.0,1.0
4.645685,4.3495855,0.76208496,2.8632665,161.0,1.0
4.645705,4.349598,0.76207256,2.8632214,162.0,1.0
4.6457233,4.3496094,0.7620611,2.863178,163.0,1.0
4.6457415,4.349622,0.7620487,2.8631358,164.0,1.0
4.6457596,4.3496323,0.76203823,2.8630948,165.0,1.0
4.6457767,4.3496428,0.76202774,2.8630552,166.0,1.0
4.645794,4.3496532,0.76201725,2.863017,167.0,1.0
4.64581,4.349663,0.7620077,2.8629801,168.0,1.0
4.6458254,4.3496733,0.7619972,2.8629444,169.0,1.0
4.6458406,4.349683,0.7619877,2.8629096,170.0,1.0
4.645856,4.3496923,0.76197815,2.8628762,171.0,1.0
4.645871,4.3497,0.7619705,2.862844,172.0,1.0
4.6458845,4.3497086,0.76196194,2.862813,173.0,1.0
4.645898,4.349719,0.76195145,2.8627834,174.0,1.0
4.645912,4.3497276,0.76194286,2.8627546,175.0,1.0
4.6459236,4.3497334,0.76193714,2.8627274,176.0,1.0
4.645936,4.349741,0.7619295,2.8627014,177.0,1.0
4.6459484,4.3497486,0.7619219,2.8626766,178.0,1.0
4.645959,4.3497553,0.7619152,2.862653,179.0,1.0
4.6459694,4.349762,0.76190853,2.862631,180.0,1.0
4.64598,4.3497677,0.7619028,2.86261,181.0,1.0
4.6459904,4.3497744,0.76189613,2.8625906,182.0,1.0
4.645999,4.349779,0.76189137,2.8625724,183.0,1.0
4.6460066,4.349784,0.7618866,2.8625555,184.0,1.0
4.646016,4.3497896,0.7618809,2.86254,185.0,1.0
4.646023,4.3497944,0.7618761,2.8625255,186.0,1.0
4.6460295,4.3497972,0.76187325,2.8625126,187.0,1.0
4.646035,4.3498,0.7618704,2.8625007,188.0,1.0
4.646041,4.349804,0.76186657,2.8624902,189.0,1.0
4.6460476,4.3498077,0.76186275,2.8624802,190.0,1.0
4.6460505,4.3498096,0.76186085,2.8624716,191.0,1.0
4.646055,4.3498135,0.76185703,2.862464,192.0,1.0
4.646061,4.3498154,0.7618551,2.8624573,193.0,1.0
4.646064,4.3498173,0.7618532,2.8624518,194.0,1.0
4.6460667,4.349819,0.7618513,2.862447,195.0,1.0
4.6460686,4.34982,0.76185036,2.8624434,196.0,1.0
4.6460714,4.349821,0.7618494,2.8624399,197.0,1.0
4.6460724,4.349823,0.7618475,2.8624377,198.0,1.0
4.6460752,4.349824,0.76184654,2.8624358,199.0,1.0
