complexity,accuracy,distortion,mse,round,run
0.7210598,0.3392706,4.7724,1647.8685,0.0,1.0
0.71473694,0.55654716,4.5551233,1592.9978,1.0,1.0
2.5644016,2.301485,2.8101854,1079.7725,2.0,1.0
4.104538,3.8169365,1.294734,323.2544,3.0,1.0
4.4819517,4.199211,0.9124594,60.115597,4.0,1.0
4.5746536,4.2934628,0.81820774,10.892961,5.0,1.0
4.596484,4.314766,0.79690456,3.939992,6.0,1.0
4.602751,4.320036,0.79163456,3.0416985,7.0,1.0
4.606476,4.3227997,0.7888708,2.9767036,8.0,1.0
4.6094475,4.324939,0.7867317,2.967013,9.0,1.0
4.6119375,4.3267164,0.7849541,2.9591122,10.0,1.0
4.614064,4.3282223,0.7834482,2.9524503,11.0,1.0
4.6159143,4.329527,0.7821436,2.946721,12.0,1.0
4.6175413,4.3306713,0.7809992,2.941722,13.0,1.0
4.618988,4.331684,0.7799864,2.9373133,14.0,1.0
4.6202803,4.332588,0.7790823,2.933393,15.0,1.0
4.6214447,4.3334007,0.77826977,2.929883,16.0,1.0
4.6225004,4.334135,0.77753544,2.926721,17.0,1.0
4.6234617,4.3348017,0.7768688,2.9238577,18.0,1.0
4.624339,4.335411,0.7762594,2.921254,19.0,1.0
4.625145,4.335967,0.77570343,2.9188771,20.0,1.0
4.625888,4.33648,0.77519035,2.9167004,21.0,1.0
4.6265745,4.336954,0.7747164,2.9147015,22.0,1.0
4.6272097,4.337389,0.7742815,2.9128597,23.0,1.0
4.6278,4.3377934,0.77387714,2.9111588,24.0,1.0
4.6283503,4.33817,0.77350044,2.909587,25.0,1.0
4.6288586,4.338516,0.77315426,2.908136,26.0,1.0
4.6293287,4.3388376,0.7728329,2.9068003,27.0,1.0
4.6297607,4.3391294,0.77254105,2.9055743,28.0,1.0
4.6301584,4.3394003,0.7722702,2.9044478,29.0,1.0
4.6305256,4.3396482,0.77202225,2.9034104,30.0,1.0
4.630866,4.33988,0.7717905,2.9024503,31.0,1.0
4.6311827,4.3400936,0.7715769,2.9015574,32.0,1.0
4.631482,4.340295,0.77137566,2.9007235,33.0,1.0
4.6317635,4.3404846,0.7711859,2.8999417,34.0,1.0
4.6320295,4.340663,0.77100754,2.8992062,35.0,1.0
4.6322823,4.3408318,0.77083874,2.8985114,36.0,1.0
4.6325226,4.340992,0.7706785,2.8978534,37.0,1.0
4.6327534,4.3411465,0.770524,2.8972278,38.0,1.0
4.6329765,4.3412933,0.77037716,2.896631,39.0,1.0
4.6331882,4.3414335,0.77023697,2.8960598,40.0,1.0
4.6333923,4.34157,0.7701006,2.8955112,41.0,1.0
4.6335917,4.3417015,0.769969,2.8949823,42.0,1.0
4.6337852,4.3418283,0.76984215,2.8944714,43.0,1.0
4.633971,4.3419514,0.7697191,2.893976,44.0,1.0
4.6341543,4.3420725,0.769598,2.893494,45.0,1.0
4.6343336,4.342188,0.7694826,2.893024,46.0,1.0
4.63451,4.342304,0.76936626,2.8925648,47.0,1.0
4.6346807,4.342416,0.7692547,2.8921144,48.0,1.0
4.6348495,4.3425264,0.76914406,2.8916728,49.0,1.0
4.6350183,4.342635,0.76903534,2.8912382,50.0,1.0
4.6351833,4.342744,0.7689266,2.8908105,51.0,1.0
4.6353455,4.3428507,0.7688198,2.890389,52.0,1.0
