complexity,accuracy,distortion,mse,round,run
5.7359114,4.2272997,0.8843708,580.20703,0.0,1.0
3.8939328,3.6554894,1.456181,12.5417795,1.0,1.0
3.603526,3.4590397,1.6526308,13.133251,2.0,1.0
3.419508,3.31006,1.8016105,19.272196,3.0,1.0
3.3810592,3.2850375,1.826633,16.625193,4.0,1.0
3.3465085,3.2589607,1.8527098,16.53396,5.0,1.0
3.3220243,3.2416668,1.8700037,17.53025,6.0,1.0
3.3361692,3.2556267,1.8560438,17.980623,7.0,1.0
3.3550825,3.2728682,1.8388023,18.007605,8.0,1.0
3.3716693,3.288,1.8236704,17.86487,9.0,1.0
3.3867855,3.3019,1.8097706,17.628584,10.0,1.0
3.4020352,3.3160024,1.7956681,17.321606,11.0,1.0
3.4185166,3.3313065,1.780364,16.954897,12.0,1.0
3.4359207,3.3475237,1.7641468,16.549305,13.0,1.0
3.4526596,3.3631845,1.748486,16.138357,14.0,1.0
3.4672422,3.3768978,1.7347727,15.750578,15.0,1.0
3.4792304,3.388246,1.7234244,15.396738,16.0,1.0
3.4890232,3.397583,1.7140875,15.073928,17.0,1.0
3.4972763,3.4054933,1.7061772,14.774907,18.0,1.0
3.5045233,3.4124556,1.6992149,14.494092,19.0,1.0
3.5110817,3.4187555,1.692915,14.229232,20.0,1.0
3.5170865,3.4245195,1.687151,13.980156,21.0,1.0
3.5225906,3.4298115,1.681859,13.746557,22.0,1.0
3.5276604,3.4346972,1.6769733,13.5267515,23.0,1.0
3.532402,3.4392753,1.6723952,13.318171,24.0,1.0
3.536934,3.4436474,1.6680231,13.118626,25.0,1.0
3.5413537,3.4478998,1.6637707,12.926832,26.0,1.0
3.5457506,3.4521155,1.659555,12.741487,27.0,1.0
3.5502748,3.4564385,1.655232,12.559236,28.0,1.0
3.5552506,3.461176,1.6504946,12.3725195,29.0,1.0
3.5612917,3.4668894,1.6447811,12.167973,30.0,1.0
3.5693145,3.4744287,1.6372418,11.92678,31.0,1.0
3.5802398,3.4846563,1.6270142,11.630913,32.0,1.0
3.5941925,3.4977074,1.6139631,11.2792015,33.0,1.0
3.6096983,3.5122166,1.5994539,10.903675,34.0,1.0
3.6242557,3.5258584,1.5858121,10.555387,35.0,1.0
3.6362562,3.5371265,1.574544,10.265124,36.0,1.0
3.6456065,3.5459166,1.5657539,10.034329,37.0,1.0
3.6529074,3.5527806,1.5588899,9.851351,38.0,1.0
3.6588407,3.558354,1.5533166,9.70273,39.0,1.0
3.663927,3.5631127,1.5485578,9.578064,40.0,1.0
3.6684475,3.5673218,1.5443487,9.471074,41.0,1.0
3.6725216,3.5711002,1.5405703,9.3781185,42.0,1.0
3.6762123,3.5745182,1.5371523,9.296522,43.0,1.0
3.6795845,3.5776362,1.5340343,9.223988,44.0,1.0
3.682692,3.5805073,1.5311632,9.158716,45.0,1.0
3.6855745,3.5831661,1.5285044,9.099526,46.0,1.0
3.6882467,3.5856285,1.526042,9.045725,47.0,1.0
3.690709,3.5878983,1.5237722,8.996849,48.0,1.0
3.6929674,3.589981,1.5216894,8.952447,49.0,1.0
3.6950336,3.5918918,1.5197787,8.911997,50.0,1.0
3.6969333,3.5936518,1.5180187,8.874922,51.0,1.0
3.6986918,3.5952864,1.5163841,8.840666,52.0,1.0
3.7003384,3.596817,1.5148535,8.808747,53.0,1.0
3.7018957,3.5982656,1.5134048,8.778789,54.0,1.0
3.7033806,3.599647,1.5120234,8.750511,55.0,1.0
3.7048035,3.6009703,1.5107002,8.72371,56.0,1.0
3.7061758,3.602244,1.5094266,8.698235,57.0,1.0
3.7075014,3.6034746,1.5081959,8.673957,58.0,1.0
3.708788,3.6046686,1.5070019,8.65075,59.0,1.0
3.710041,3.605832,1.5058384,8.628483,60.0,1.0
3.7112727,3.606975,1.5046954,8.607002,61.0,1.0
3.712492,3.6081076,1.5035629,8.586132,62.0,1.0
3.7137165,3.6092443,1.5024261,8.565667,63.0,1.0
3.7149653,3.610402,1.5012684,8.545357,64.0,1.0
3.7162633,3.6116033,1.5000672,8.524874,65.0,1.0
3.7176495,3.6128836,1.4987869,8.503752,66.0,1.0
3.71918,3.6142936,1.4973769,8.481285,67.0,1.0
3.7209425,3.6159124,1.495758,8.456339,68.0,1.0
3.7230802,3.6178722,1.4937983,8.427046,69.0,1.0
3.7258267,3.6203876,1.4912829,8.390383,70.0,1.0
3.7295303,3.6237755,1.487895,8.341768,71.0,1.0
3.7346458,3.628457,1.4832134,8.27523,72.0,1.0
3.741599,3.6348248,1.4768457,8.185289,73.0,1.0
3.7504535,3.6429358,1.4687347,8.071305,74.0,1.0
3.7605867,3.6522255,1.459445,7.941692,75.0,1.0
3.7708216,3.661613,1.4500575,7.8119345,76.0,1.0
3.7800636,3.670094,1.4415765,7.696012,77.0,1.0
