complexity,accuracy,distortion,mse,round,run
0.6886139,0.3317566,4.779914,1667.9985,0.0,1.0
1.2839737,0.6729107,4.43876,1545.3745,1.0,1.0
3.9737453,2.6382322,2.4734383,1047.1554,2.0,1.0
5.4602523,3.9652185,1.146452,640.85846,3.0,1.0
5.962161,4.4519815,0.65968895,405.6286,4.0,1.0
6.165021,4.6519146,0.4597559,262.61066,5.0,1.0
6.269964,4.7545357,0.35713482,188.89322,6.0,1.0
6.317704,4.801841,0.3098297,167.8977,7.0,1.0
6.3351126,4.819229,0.29244137,161.30972,8.0,1.0
6.3369665,4.8210716,0.29059887,161.06088,9.0,1.0
6.337327,4.8214245,0.290246,160.99869,10.0,1.0
6.3378534,4.821948,0.28972244,160.88817,11.0,1.0
6.338696,4.8227873,0.2888832,160.67188,12.0,1.0
6.340169,4.8242607,0.28740978,160.20415,13.0,1.0
6.3430367,4.8271303,0.28454018,159.16356,14.0,1.0
6.3485312,4.83263,0.27904034,157.54007,15.0,1.0
6.353719,4.837826,0.27384472,156.8044,16.0,1.0
6.3542805,4.8383884,0.27328205,156.77182,17.0,1.0
6.3542786,4.8383884,0.27328205,156.77087,18.0,1.0
6.3542786,4.8383884,0.27328205,156.76999,19.0,1.0
6.3542776,4.8383894,0.2732811,156.76907,20.0,1.0
6.354276,4.8383884,0.27328205,156.76816,21.0,1.0
6.3542743,4.8383894,0.2732811,156.76726,22.0,1.0
6.354273,4.8383894,0.2732811,156.76634,23.0,1.0
6.354271,4.8383884,0.27328205,156.76544,24.0,1.0
6.354269,4.8383884,0.27328205,156.76453,25.0,1.0
6.3542676,4.8383884,0.27328205,156.76361,26.0,1.0
6.354266,4.8383894,0.2732811,156.76271,27.0,1.0
6.354266,4.8383894,0.2732811,156.7618,28.0,1.0
6.3542643,4.8383884,0.27328205,156.76088,29.0,1.0
6.354263,4.8383884,0.27328205,156.75998,30.0,1.0
6.3542604,4.8383884,0.27328205,156.75906,31.0,1.0
6.354259,4.8383894,0.2732811,156.75813,32.0,1.0
6.3542576,4.8383884,0.27328205,156.75723,33.0,1.0
6.3542566,4.8383884,0.27328205,156.75632,34.0,1.0
6.3542557,4.8383875,0.273283,156.7554,35.0,1.0
