complexity,accuracy,distortion,mse,round,run
0.0070056915,0.007003784,6.6354256,1666.6321,0.0,1.0
6.484985e-05,6.67572e-05,6.6423626,1536.5353,1.0,1.0
6.771088e-05,6.771088e-05,6.6423616,1499.9015,2.0,1.0
8.010864e-05,8.010864e-05,6.6423492,1488.873,3.0,1.0
9.6321106e-05,9.6321106e-05,6.642333,1485.5372,4.0,1.0
0.00011253357,0.00011444092,6.642315,1484.5142,5.0,1.0
0.0001335144,0.0001335144,6.642296,1484.1821,6.0,1.0
0.00015354156,0.00015354156,6.642276,1484.0533,7.0,1.0
0.00017929077,0.0001783371,6.642251,1483.9807,8.0,1.0
0.000207901,0.00020694733,6.6422224,1483.9192,9.0,1.0
0.00024223328,0.00024318695,6.642186,1483.855,10.0,1.0
0.00028038025,0.00028038025,6.642149,1483.7823,11.0,1.0
0.00032615662,0.00032615662,6.642103,1483.6986,12.0,1.0
0.0003786087,0.00037956238,6.64205,1483.6018,13.0,1.0
0.00044059753,0.00044059753,6.6419888,1483.4894,14.0,1.0
0.00051116943,0.00051116943,6.641918,1483.359,15.0,1.0
0.0005941391,0.0005941391,6.641835,1483.208,16.0,1.0
0.00068855286,0.00068950653,6.64174,1483.033,17.0,1.0
0.0008010864,0.0008010864,6.6416283,1482.8303,18.0,1.0
0.0009279251,0.00092697144,6.6415024,1482.596,19.0,1.0
0.0010757446,0.0010766983,6.6413527,1482.3252,20.0,1.0
0.0012454987,0.0012454987,6.641184,1482.0123,21.0,1.0
0.0014438629,0.0014448166,6.6409845,1481.6516,22.0,1.0
0.0016727448,0.0016727448,6.6407566,1481.236,23.0,1.0
0.0019340515,0.0019340515,6.6404953,1480.7578,24.0,1.0
0.0022354126,0.0022354126,6.640194,1480.2089,25.0,1.0
0.002579689,0.0025806427,6.6398487,1479.5795,26.0,1.0
0.002978325,0.0029764175,6.639453,1478.8597,27.0,1.0
0.0034294128,0.0034294128,6.639,1478.0383,28.0,1.0
0.0039434433,0.003944397,6.638485,1477.1034,29.0,1.0
0.0045289993,0.004529953,6.6378994,1476.0426,30.0,1.0
0.0051937103,0.005194664,6.6372347,1474.8427,31.0,1.0
0.005944252,0.0059452057,6.636484,1473.4902,32.0,1.0
0.0067873,0.0067873,6.635642,1471.9717,33.0,1.0
0.007733345,0.007733345,6.634696,1470.2742,34.0,1.0
0.008788109,0.008788109,6.6336412,1468.3848,35.0,1.0
0.009958267,0.009958267,6.632471,1466.2925,36.0,1.0
0.01125145,0.011252403,6.631177,1463.9873,37.0,1.0
0.012673378,0.012674332,6.629755,1461.4615,38.0,1.0
0.014224052,0.014224052,6.6282053,1458.7102,39.0,1.0
0.015909195,0.015911102,6.6265182,1455.7313,40.0,1.0
0.017728806,0.017730713,6.6246986,1452.5264,41.0,1.0
0.019677162,0.019678116,6.622751,1449.1002,42.0,1.0
0.021752357,0.021751404,6.620678,1445.4624,43.0,1.0
0.023946762,0.023946762,6.6184826,1441.6263,44.0,1.0
