complexity,accuracy,distortion,mse,round,run
9.536743e-07,1.9073486e-06,6.6424274,1666.5024,0.0,1.0
0.0,9.536743e-07,6.6424284,1577.6671,1.0,1.0
0.0,0.0,6.6424294,1549.2639,2.0,1.0
0.0,0.0,6.6424294,1539.5225,3.0,1.0
0.0,1.9073486e-06,6.6424274,1536.1573,4.0,1.0
0.0,9.536743e-07,6.6424284,1534.9937,5.0,1.0
9.536743e-07,9.536743e-07,6.6424284,1534.5907,6.0,1.0
1.9073486e-06,1.9073486e-06,6.6424274,1534.4493,7.0,1.0
3.8146973e-06,5.722046e-06,6.6424236,1534.3953,8.0,1.0
1.1444092e-05,1.04904175e-05,6.642419,1534.3644,9.0,1.0
2.4795532e-05,2.4795532e-05,6.6424046,1534.324,10.0,1.0
6.0081482e-05,5.9127808e-05,6.64237,1534.2386,11.0,1.0
0.00014305115,0.00014305115,6.6422863,1534.0364,12.0,1.0
0.0003452301,0.00034332275,6.642086,1533.5504,13.0,1.0
0.0008325577,0.000834465,6.641595,1532.3823,14.0,1.0
0.0020008087,0.002002716,6.6404266,1529.596,15.0,1.0
0.0047721863,0.0047721863,6.637657,1523.061,16.0,1.0
0.011170387,0.011170387,6.631259,1508.3049,17.0,1.0
0.025165558,0.025165558,6.617264,1477.4258,18.0,1.0
0.052659035,0.052659035,6.5897703,1420.7522,19.0,1.0
0.09806633,0.09806538,6.544364,1334.6139,20.0,1.0
0.15759659,0.15759659,6.484833,1230.5503,21.0,1.0
0.2181158,0.21811485,6.4243145,1131.8329,22.0,1.0
0.26667976,0.26668072,6.3757486,1056.5028,23.0,1.0
0.2990837,0.29908466,6.3433447,1007.6219,24.0,1.0
0.31830883,0.31830978,6.3241196,978.77045,25.0,1.0
0.32909775,0.32909775,6.3133316,962.3491,26.0,1.0
0.33508968,0.33509064,6.3073387,952.97095,27.0,1.0
0.3384781,0.33847904,6.3039503,947.4834,28.0,1.0
0.34045506,0.3404541,6.3019753,944.1753,29.0,1.0
0.34164333,0.3416443,6.300785,942.1314,30.0,1.0
0.3423767,0.34237766,6.3000517,940.85077,31.0,1.0
0.34283447,0.34283352,6.299596,940.046,32.0,1.0
0.34312153,0.34312057,6.299309,939.54315,33.0,1.0
0.34329796,0.34329796,6.2991314,939.23206,34.0,1.0
0.34340763,0.34340858,6.299021,939.0417,35.0,1.0
0.3434744,0.34347534,6.298954,938.92615,36.0,1.0
0.3435135,0.34351444,6.298915,938.8563,37.0,1.0
0.34353924,0.34353924,6.29889,938.8142,38.0,1.0
0.3435526,0.34355354,6.298876,938.7887,39.0,1.0
0.34356308,0.34356308,6.2988663,938.773,40.0,1.0
0.34356785,0.34356785,6.2988615,938.7632,41.0,1.0
0.34357262,0.3435707,6.2988586,938.75684,42.0,1.0
0.34357262,0.34357357,6.298856,938.75256,43.0,1.0
0.34357548,0.34357643,6.298853,938.7495,44.0,1.0
0.34357643,0.34357643,6.298853,938.7474,45.0,1.0
0.34357834,0.34357834,6.298851,938.7458,46.0,1.0
0.34357834,0.34357834,6.298851,938.74457,47.0,1.0
0.34357834,0.34357834,6.298851,938.74365,48.0,1.0
0.34357834,0.3435793,6.29885,938.7429,49.0,1.0
0.3435793,0.34357834,6.298851,938.74255,50.0,1.0
0.34357834,0.3435793,6.29885,938.7422,51.0,1.0
0.3435793,0.3435793,6.29885,938.74207,52.0,1.0
0.34357834,0.3435793,6.29885,938.742,53.0,1.0
0.34358025,0.3435793,6.29885,938.74194,54.0,1.0
0.3435793,0.3435793,6.29885,938.7419,55.0,1.0
0.3435793,0.34358025,6.298849,938.7418,56.0,1.0
0.3435793,0.3435793,6.29885,938.7418,57.0,1.0
0.3435793,0.34358025,6.298849,938.7418,58.0,1.0
0.34357834,0.3435793,6.29885,938.7418,59.0,1.0
0.34358025,0.3435793,6.29885,938.7419,60.0,1.0
0.3435793,0.34358025,6.298849,938.7418,61.0,1.0
0.3435793,0.34357834,6.298851,938.7418,62.0,1.0
0.34357834,0.34357834,6.298851,938.7419,63.0,1.0
0.34358025,0.34357834,6.298851,938.7418,64.0,1.0
0.3435793,0.34357834,6.298851,938.7418,65.0,1.0
0.3435793,0.34357834,6.298851,938.7418,66.0,1.0
0.34357834,0.34357834,6.298851,938.7418,67.0,1.0
0.3435793,0.34358025,6.298849,938.7418,68.0,1.0
0.3435793,0.34358025,6.298849,938.7418,69.0,1.0
0.3435793,0.34357834,6.298851,938.7418,70.0,1.0
0.3435793,0.3435793,6.29885,938.7419,71.0,1.0
0.3435793,0.3435793,6.29885,938.7419,72.0,1.0
0.3435793,0.34357834,6.298851,938.7418,73.0,1.0
0.3435793,0.34357834,6.298851,938.7418,74.0,1.0
0.34357834,0.34358025,6.298849,938.7418,75.0,1.0
0.34357834,0.34358025,6.298849,938.7419,76.0,1.0
0.34357834,0.34358025,6.298849,938.7418,77.0,1.0
0.34358025,0.34358025,6.298849,938.7418,78.0,1.0
0.34357834,0.34358025,6.298849,938.7418,79.0,1.0
