complexity,accuracy,distortion,mse,round,run
0.0,0.0,6.642436,1666.4999,0.0,1.0
0.0,0.0,6.642434,1666.3735,1.0,1.0
0.0,0.0,6.642434,1666.2793,2.0,1.0
0.0,0.0,6.642434,1666.2021,3.0,1.0
0.0,0.0,6.642432,1666.1357,4.0,1.0
0.0,0.0,6.6424294,1666.0771,5.0,1.0
0.0,0.0,6.6424294,1666.0239,6.0,1.0
0.0,9.536743e-07,6.6424284,1665.9749,7.0,1.0
0.0,1.9073486e-06,6.6424274,1665.9293,8.0,1.0
0.0,0.0,6.6424294,1665.8866,9.0,1.0
0.0,9.536743e-07,6.6424284,1665.8463,10.0,1.0
0.0,9.536743e-07,6.6424284,1665.808,11.0,1.0
1.9073486e-06,1.9073486e-06,6.6424274,1665.771,12.0,1.0
3.8146973e-06,4.7683716e-06,6.6424246,1665.7346,13.0,1.0
2.861023e-05,3.0517578e-05,6.642399,1665.6924,14.0,1.0
0.00019264221,0.00019454956,6.642235,1665.6006,15.0,1.0
0.0012807846,0.0012817383,6.6411476,1665.1635,16.0,1.0
0.008506775,0.008506775,6.6339226,1662.3093,17.0,1.0
0.05630207,0.056301117,6.586128,1641.9734,18.0,1.0
0.3551731,0.3551731,6.2872562,1500.9288,19.0,1.0
1.5943413,1.5943356,5.048094,963.8539,20.0,1.0
3.2334938,3.2334766,3.4089527,320.61346,21.0,1.0
4.004343,4.0043106,2.6381187,74.90689,22.0,1.0
4.308197,4.308152,2.3342772,22.648544,23.0,1.0
4.449436,4.449383,2.1930466,6.7538543,24.0,1.0
4.518096,4.5180387,2.1243906,2.5805337,25.0,1.0
4.5543327,4.5542717,2.0881577,2.158768,26.0,1.0
4.576026,4.575965,2.0664644,2.072435,27.0,1.0
4.589843,4.58978,2.0526495,2.0361607,28.0,1.0
4.599037,4.598974,2.0434551,2.0123346,29.0,1.0
4.605419,4.605357,2.0370722,1.9957647,30.0,1.0
4.6100464,4.6099834,2.032446,1.9837154,31.0,1.0
4.6135254,4.6134615,2.0289679,1.9746394,32.0,1.0
4.616212,4.616148,2.0262814,1.967623,33.0,1.0
4.618329,4.618265,2.0241642,1.9620907,34.0,1.0
4.6200256,4.6199617,2.0224676,1.9576545,35.0,1.0
4.6214075,4.6213436,2.0210857,1.9540391,36.0,1.0
4.622551,4.622486,2.0199432,1.9510427,37.0,1.0
4.6235113,4.6234455,2.0189838,1.9485152,38.0,1.0
4.6243334,4.6242695,2.0181599,1.9463446,39.0,1.0
4.6250515,4.6249866,2.0174427,1.9444461,40.0,1.0
4.6256886,4.6256237,2.0168056,1.9427558,41.0,1.0
4.6262636,4.626199,2.0162306,1.9412256,42.0,1.0
4.626792,4.626726,2.0157032,1.9398196,43.0,1.0
4.627283,4.6272182,2.015211,1.9385115,44.0,1.0
4.6277447,4.62768,2.0147495,1.9372824,45.0,1.0
4.6281824,4.6281157,2.0143137,1.9361198,46.0,1.0
4.628599,4.6285334,2.013896,1.9350153,47.0,1.0
4.628995,4.62893,2.0134993,1.9339643,48.0,1.0
4.6293736,4.6293087,2.0131207,1.9329638,49.0,1.0
4.629736,4.62967,2.0127592,1.9320126,50.0,1.0
4.6300783,4.6300135,2.012416,1.931109,51.0,1.0
4.6304045,4.6303396,2.0120897,1.930252,52.0,1.0
4.6307144,4.6306496,2.0117798,1.9294399,53.0,1.0
4.631008,4.6309433,2.011486,1.9286714,54.0,1.0
4.6312866,4.631222,2.0112076,1.927944,55.0,1.0
4.63155,4.631485,2.0109444,1.9272562,56.0,1.0
4.6317987,4.631734,2.0106955,1.9266064,57.0,1.0
4.6320343,4.6319685,2.0104609,1.9259923,58.0,1.0
4.6322575,4.6321926,2.0102367,1.9254122,59.0,1.0
4.632468,4.6324034,2.010026,1.9248642,60.0,1.0
4.6326675,4.6326027,2.0098267,1.9243462,61.0,1.0
4.6328564,4.6327896,2.0096397,1.9238555,62.0,1.0
4.6330347,4.632968,2.0094614,1.923391,63.0,1.0
4.6332035,4.6331387,2.0092907,1.92295,64.0,1.0
4.6333656,4.6333,2.0091295,1.9225308,65.0,1.0
4.633519,4.6334543,2.008975,1.9221318,66.0,1.0
4.633665,4.6335993,2.00883,1.9217511,67.0,1.0
4.6338053,4.6337404,2.008689,1.9213876,68.0,1.0
4.6339407,4.633873,2.0085564,1.9210396,69.0,1.0
4.6340675,4.6340027,2.0084267,1.9207062,70.0,1.0
4.6341906,4.6341257,2.0083036,1.9203858,71.0,1.0
4.634309,4.634244,2.0081854,1.9200778,72.0,1.0
4.6344233,4.6343575,2.008072,1.919781,73.0,1.0
4.634533,4.634468,2.0079613,1.9194949,74.0,1.0
4.6346397,4.634575,2.0078545,1.9192185,75.0,1.0
4.634741,4.634676,2.0077534,1.9189513,76.0,1.0
4.634842,4.634776,2.0076532,1.9186931,77.0,1.0
4.6349373,4.6348724,2.007557,1.9184427,78.0,1.0
4.6350307,4.634966,2.0074635,1.9182004,79.0,1.0
4.6351213,4.6350555,2.0073738,1.9179653,80.0,1.0
4.635209,4.6351433,2.007286,1.9177376,81.0,1.0
4.635294,4.635228,2.0072012,1.9175167,82.0,1.0
4.635377,4.635311,2.0071182,1.9173025,83.0,1.0
4.635456,4.6353903,2.007039,1.9170947,84.0,1.0
4.6355343,4.6354694,2.00696,1.9168931,85.0,1.0
4.6356096,4.635544,2.0068855,1.9166975,86.0,1.0
4.635681,4.6356163,2.006813,1.9165075,87.0,1.0
4.6357536,4.635688,2.0067415,1.9163234,88.0,1.0
4.6358223,4.6357565,2.0066729,1.9161448,89.0,1.0
4.635888,4.6358232,2.006606,1.9159714,90.0,1.0
4.635954,4.635888,2.0065413,1.9158032,91.0,1.0
4.636017,4.63595,2.0064793,1.9156399,92.0,1.0
4.636078,4.636012,2.0064173,1.9154818,93.0,1.0
4.636138,4.636072,2.0063572,1.9153283,94.0,1.0
4.636195,4.6361294,2.0063,1.9151796,95.0,1.0
4.6362514,4.6361856,2.0062437,1.9150355,96.0,1.0
4.636304,4.636238,2.0061913,1.9148958,97.0,1.0
4.6363564,4.6362915,2.0061378,1.9147606,98.0,1.0
4.636409,4.636343,2.0060863,1.9146298,99.0,1.0
4.6364574,4.6363926,2.0060368,1.9145033,100.0,1.0
4.636504,4.6364384,2.005991,1.9143813,101.0,1.0
4.636552,4.636486,2.0059433,1.9142634,102.0,1.0
4.6365957,4.63653,2.0058994,1.9141498,103.0,1.0
4.6366377,4.636572,2.0058575,1.9140401,104.0,1.0
4.6366796,4.636614,2.0058155,1.913935,105.0,1.0
4.6367207,4.636654,2.0057755,1.9138336,106.0,1.0
4.636758,4.636693,2.0057364,1.9137362,107.0,1.0
4.636795,4.63673,2.0056992,1.9136431,108.0,1.0
4.6368313,4.6367664,2.005663,1.9135538,109.0,1.0
4.6368647,4.6368,2.0056295,1.9134684,110.0,1.0
4.636897,4.636832,2.005597,1.9133866,111.0,1.0
4.6369295,4.6368637,2.0055656,1.9133085,112.0,1.0
4.636959,4.6368933,2.005536,1.9132338,113.0,1.0
4.6369886,4.636923,2.0055065,1.9131627,114.0,1.0
4.6370163,4.6369495,2.0054798,1.9130948,115.0,1.0
4.637042,4.6369762,2.005453,1.9130301,116.0,1.0
4.637068,4.637002,2.0054274,1.9129682,117.0,1.0
4.6370916,4.637027,2.0054026,1.912909,118.0,1.0
4.6371136,4.6370487,2.0053806,1.9128522,119.0,1.0
4.6371365,4.6370716,2.0053577,1.9127977,120.0,1.0
4.6371574,4.6370926,2.0053368,1.9127451,121.0,1.0
4.6371784,4.6371136,2.0053158,1.9126941,122.0,1.0
4.6372004,4.6371336,2.0052958,1.9126444,123.0,1.0
4.6372194,4.6371536,2.0052757,1.9125956,124.0,1.0
4.6372395,4.6371737,2.0052557,1.9125473,125.0,1.0
