complexity,accuracy,distortion,mse,round,run
7.05719e-05,7.05719e-05,6.6437855,1666.5227,0.0,1.0
0.0001411438,0.0001411438,6.643715,1666.5164,1.0,1.0
0.0009212494,0.00091934204,6.6429367,1666.4763,2.0,1.0
0.006303787,0.006303787,6.6375523,1666.1963,3.0,1.0
0.043226242,0.043226242,6.60063,1664.135,4.0,1.0
0.29540634,0.29540634,6.3484497,1645.8312,5.0,1.0
1.7877731,1.7877731,4.856083,1454.2556,6.0,1.0
4.563895,4.563896,2.0799599,890.2491,7.0,1.0
5.679925,5.679925,0.9639311,527.4553,8.0,1.0
6.039636,6.039636,0.6042199,383.2296,9.0,1.0
6.2006836,6.2006836,0.44317245,310.94116,10.0,1.0
6.2848816,6.2848825,0.3589735,234.43167,11.0,1.0
6.351832,6.351832,0.29202414,169.23203,12.0,1.0
6.373372,6.373372,0.27048397,161.73929,13.0,1.0
6.3811426,6.381143,0.26271296,161.43462,14.0,1.0
6.3837957,6.3837957,0.2600603,161.40031,15.0,1.0
6.383856,6.383856,0.26000023,161.4,16.0,1.0
